feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
exists in several kinds: classical or jazz,2,0,-3,-2,-2,1,2,0,-3,1,1,-3,-0.5,1.9771421064483223
films are made of it,-3,3,-3,-2,-3,-2,2,3,-3,1,1,0,-0.5,2.4308621740219887
gamble,-1,-3,-3,-3,-3,-1,-1,0,-2,2,-1,-3,-1.5833333333333333,1.5642792899510294
gives a kick,-2,3,0,1,-2,2,3,3,1,2,3,2,1.3333333333333333,1.8257418583505536
go up with a ski lift,2,0,-3,-3,2,-1,3,2,2,1,1,0,0.5,1.9771421064483223
happens on vacantion,-2,2,-1,-1,1,1,1,3,1,2,-1,0,0.5,1.5075567228888183
has a lot of media attention,0,3,1,1,3,-1,3,2,-1,2,2,2,1.4166666666666667,1.4433756729740645
has a pitcher,2,1,-3,-2,1,1,2,0,1,1,0,0,0.3333333333333333,1.497472618255253
has an specific point system,-3,3,2,0,3,2,3,2,3,1,3,3,1.8333333333333333,1.80067327475704
has been practised by knights,2,1,-3,-2,-1,1,2,0,2,2,-1,-1,0.16666666666666666,1.7494587907710375
has bishops,2,-3,-2,1,3,2,2,0,-1,1,1,0,0.5,1.7837651700316894
has different disciplines,-2,3,3,-1,3,1,3,0,2,2,0,3,1.4166666666666667,1.7816403745544227
has holds,1,-1,-3,0,1,1,2,0,1,1,1,0,0.3333333333333333,1.3026778945578592
has its own terminology,-2,2,2,-1,3,2,3,3,1,1,3,3,1.6666666666666667,1.6696942198734437
has several accessories,-2,3,0,-2,-2,1,3,0,-2,1,-1,3,0.16666666666666666,2.0375267241229382
has several colours of belts in order of level,2,1,-3,-2,1,1,2,1,2,2,1,0,0.6666666666666666,1.6143297699232972
has several styles,-1,2,1,-2,1,2,3,3,-3,1,1,2,0.8333333333333334,1.898963034411309
has several weight,0,0,-3,-2,1,1,2,1,2,2,1,0,0.4166666666666667,1.5642792899510294
has some rules of play,-3,3,2,2,3,3,3,3,3,2,3,3,2.25,1.712255291076124
hit a ball,0,-2,-3,-1,-3,1,2,0,-2,1,-2,-2,-0.9166666666666666,1.6764862244009227
in the centre is a net,1,1,-1,-2,2,1,3,0,1,1,1,1,0.75,1.2880570286640687
is a ball sport,-2,0,-1,-1,3,2,2,0,3,1,1,1,0.75,1.6025547785276542
is a discipline within athletics,2,-3,-3,1,2,2,2,0,2,1,1,1,0.6666666666666666,1.8257418583505538
is a fighting sport,2,1,-2,-2,2,1,1,0,0,2,1,1,0.5833333333333334,1.378954368902449
is a game,3,3,1,2,3,3,2,3,2,2,0,2,2.1666666666666665,0.9374368665610922
is a hobby,-3,3,2,2,3,2,1,3,2,1,2,3,1.75,1.6583123951777
is a kind of dancing,1,1,-3,-2,-1,1,2,0,-2,1,1,-3,-0.3333333333333333,1.775250729197189
is a kind of moving himself,1,-2,-3,-3,-1,1,1,2,-3,2,0,-3,-0.6666666666666666,2.059714602177749
is a mental game,1,-3,-3,-2,-1,1,-1,0,-1,1,1,-1,-0.6666666666666666,1.497472618255253
is a part of triathlon,2,-3,-3,-2,2,1,1,1,3,1,2,0,0.4166666666666667,2.0207259421636903
is a party game,1,0,-3,-3,-1,1,1,2,-2,-2,1,-2,-0.5833333333333334,1.7816403745544227
is a physical activity,-3,3,3,2,3,3,3,3,2,2,2,3,2.1666666666666665,1.696699112626596
is a rough sport,1,1,-2,-1,2,0,1,0,1,1,1,0,0.4166666666666667,1.0836246694508318
is a sport,-3,3,3,3,3,3,3,3,3,2,3,3,2.4166666666666665,1.7298624923456323
is a sport with acrobatics,-1,1,-3,-1,-2,1,1,0,-1,1,1,0,-0.25,1.3568010505999362
is a teamsport,1,2,1,1,3,2,1,0,2,1,1,1,1.3333333333333333,0.7784989441615229
is a tranquil sport,0,1,-2,-1,-2,1,2,3,1,2,1,1,0.5833333333333334,1.5642792899510294
is a verb,-2,3,-3,0,3,3,3,1,3,1,-1,2,1.0833333333333333,2.151461800448216
is a water sport,1,1,-2,0,1,1,1,0,1,1,1,0,0.5,0.9045340337332909
is about speed,1,2,0,1,2,2,3,2,0,1,1,1,1.3333333333333333,0.8876253645985945
is accompanied by a fashion,1,2,-1,-2,-3,1,1,2,-3,1,0,1,0.0,1.8090680674665818
is accompanied by music,2,1,-2,-1,0,1,1,1,2,2,1,0,0.6666666666666666,1.2309149097933272
is active,-3,3,3,3,3,3,3,3,2,3,3,3,2.4166666666666665,1.729862492345632
is age-old,1,3,-2,-2,1,-2,3,3,-2,3,-2,2,0.5,2.3159525823376357
is aggressive,-1,2,0,0,1,1,0,-2,0,-3,-1,0,-0.25,1.3568010505999362
is an activity,-1,3,3,-2,3,3,3,3,-2,3,2,3,1.75,2.0943647333651407
is an intensive sport,-1,2,0,2,3,2,2,3,2,2,1,2,1.6666666666666667,1.1547005383792515
is an olympic discipline,1,0,-3,1,3,1,3,3,2,2,1,1,1.25,1.6583123951777
is bad for certain parts of the body,-1,2,-3,-2,3,1,1,0,2,1,1,0,0.4166666666666667,1.7298624923456323
is beautiful to see,-1,2,-2,-1,3,1,3,3,1,2,0,1,1.0,1.7056057308448835
is boring,-3,-3,-3,0,-3,-2,-2,-2,1,-3,-1,-2,-1.9166666666666667,1.3113721705515067
is cold,1,-3,-3,-1,2,-3,-2,0,-3,0,0,-1,-1.0833333333333333,1.729862492345632
is dangerous,-1,1,0,0,-3,0,1,0,-1,-1,1,0,-0.25,1.1381803659589922
is difficult to learn,-2,0,0,-1,-2,-1,1,3,-2,0,-1,1,-0.3333333333333333,1.497472618255253
is dificult,-3,1,0,1,0,1,2,3,-1,1,-1,1,0.4166666666666667,1.5642792899510296
is elegant,-2,2,-3,-2,-2,1,2,0,-3,-1,0,0,-0.6666666666666666,1.775250729197189
is elitist,-2,1,-2,0,-3,-2,1,-3,-1,-2,-2,0,-1.25,1.4222261679238197
is expensive,-2,2,-2,1,-2,-1,1,1,-2,1,-2,2,-0.25,1.712255291076124
is fast,-1,2,0,1,3,2,3,0,-1,1,-1,2,0.9166666666666666,1.5050420310248864
is fun,-3,3,2,2,3,3,3,3,1,2,2,3,2.0,1.7056057308448835
is good for the condition,-2,3,3,3,3,3,3,3,2,3,2,3,2.4166666666666665,1.4433756729740645
is hard,-1,2,0,-1,2,2,2,3,1,1,-1,1,0.9166666666666666,1.3789543689024488
is healthy,-3,3,3,3,3,3,3,3,2,2,2,3,2.25,1.712255291076124
is heavy,-3,2,2,1,2,2,2,3,1,2,-1,0,1.0833333333333333,1.6764862244009224
is learnt in ballet schools,2,3,3,3,3,3,3,3,3,3,3,3,2.9166666666666665,0.28867513459481275
is little popular,-2,-3,-3,1,-3,-1,-2,3,-1,-2,-2,-2,-1.4166666666666667,1.7816403745544231
is mostly practised by boys,-3,0,-2,1,3,1,2,-1,-3,1,-2,-1,-0.3333333333333333,1.9694638556693238
is mostly practised by girls,-1,0,-3,-1,-2,1,-2,0,-2,-3,-2,-2,-1.4166666666666667,1.2401124093721456
is mostly practised by men,-1,1,-3,1,2,0,-2,-1,-2,0,-2,-2,-0.75,1.5447859516333116
is mostly practised by old men,-2,-3,-3,-2,-3,0,1,-3,-2,1,-1,0,-1.4166666666666667,1.5642792899510294
is mostly practised by old people,-3,-3,-3,-2,-3,0,-1,-3,-3,3,-1,-2,-1.75,1.815338686155987
is mostly practised by two people,-1,-2,1,0,1,2,2,0,-2,1,0,1,0.25,1.3568010505999362
is mostly practised in the summer,0,1,1,2,-2,1,1,3,-1,0,-1,1,0.5,1.381698559415515
is mostly practised in the winter,1,0,-2,-2,0,1,1,0,-1,1,-1,0,-0.16666666666666666,1.1146408580454255
is not an olympic discipline,1,-3,-3,1,-2,0,0,3,1,-2,0,0,-0.3333333333333333,1.825741858350554
is not fun,-3,-3,-3,0,-3,-2,-2,-3,2,-3,-2,-2,-2.0,1.5374122295716148
is often practised at the buck,2,0,-3,-3,1,1,2,2,2,1,1,0,0.5,1.7837651700316894
is originating from America,-1,0,-3,-3,-2,-2,1,2,-3,1,-2,0,-1.0,1.7580981459830651
is originating from Asia,-1,0,-3,-3,-2,1,1,3,-3,2,-2,0,-0.5833333333333334,2.0652243256245835
is originating from China,0,-2,-3,-2,-2,1,1,3,-3,1,-1,0,-0.5833333333333334,1.8809249819912512
is originating from Japan,-1,0,-3,-3,-2,0,1,0,-3,1,-2,0,-1.0,1.5374122295716148
is originating from the Greek,0,3,0,-2,-2,-2,2,3,-3,1,0,0,0.0,2.0
is originating from the United Kingdom,-1,3,-3,0,3,0,2,3,0,2,2,2,1.0833333333333333,1.8809249819912512
is played at a billiard table,2,-3,-3,-2,0,-1,2,1,0,2,1,0,-0.08333333333333333,1.8319554050414562
is played on a field,1,2,1,1,3,2,3,0,-1,1,2,1,1.3333333333333333,1.1547005383792515
is played with a black ball that must be the latest in the hole,2,0,-3,-2,1,1,1,1,-2,2,0,0,0.08333333333333333,1.6213537179739277
is played with a white ball to kick the other balls,2,1,-3,-3,-2,1,1,0,2,1,1,0,0.08333333333333333,1.781640374554423
is played with basketball,3,2,-3,-3,2,2,2,0,2,1,1,0,0.75,1.9598237397554634
is played with pawns with their own function,3,-3,-3,-2,0,1,1,0,2,1,1,-2,-0.08333333333333333,1.97522534195852
is popular,-3,3,3,1,3,2,1,3,1,2,2,3,1.75,1.712255291076124
is popular in America,0,2,-2,-2,0,1,0,-3,-2,1,-2,1,-0.5,1.6236882817719773
is popular in Belgium,-2,3,1,0,3,2,1,3,1,2,-2,3,1.25,1.815338686155987
is popular in Great Britain,-2,2,-3,-3,2,1,2,0,1,1,-2,2,0.08333333333333333,2.0207259421636903
is popular with young girls,-2,2,-3,-1,-1,0,-1,1,0,2,-2,1,-0.3333333333333333,1.6143297699232972
is practised against a wall,3,0,-3,-2,0,1,3,0,-1,1,1,0,0.25,1.764549903980152
is practised alone,2,1,0,0,1,1,2,0,-2,1,0,1,0.5833333333333334,1.0836246694508316
is practised alone or in group,-2,-1,-3,-3,-3,1,-1,3,-3,0,1,-2,-1.0833333333333333,1.97522534195852
is practised at a lake,1,2,1,2,0,1,1,0,-3,1,1,2,0.75,1.3568010505999362
is practised at school,-2,2,0,2,3,2,2,3,-2,-2,0,3,0.9166666666666666,2.0207259421636903
is practised at sea,2,1,-2,-3,-1,1,1,0,-3,1,1,-2,-0.3333333333333333,1.775250729197189
is practised at the youth movement,-1,0,-2,-1,-2,1,1,1,-2,1,-1,1,-0.3333333333333333,1.3026778945578594
is practised by a ball with blebs to improve the grip,0,2,-3,-2,3,0,2,0,2,1,2,0,0.5833333333333334,1.7816403745544227
is practised by a horseman,1,-2,1,1,1,2,2,-3,1,1,0,1,0.5,1.5075567228888183
