exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,9.0,17.0,7.0,12.0,19.0,6.0,7.0,7.0,12.0,10.0,10.0,8.0,10.0,12.0,12.0,5.0,6.0,11.0,7.0,7.0,15.0,14.0,15.0,19.0,8.0
bloedzuiger,9.0,20.0,9.0,15.0,10.0,10.0,7.0,12.0,9.0,4.0,8.0,9.0,6.0,17.0,7.0,8.0,9.0,11.0,11.0,11.0,8.0,4.0,5.0,15.0,8.0,15.0
daas,17.0,9.0,20.0,5.0,17.0,18.0,6.0,6.0,10.0,11.0,5.0,9.0,7.0,6.0,12.0,5.0,4.0,8.0,8.0,5.0,10.0,18.0,5.0,12.0,17.0,4.0
duizendpoot,7.0,15.0,5.0,20.0,6.0,10.0,14.0,12.0,6.0,8.0,10.0,9.0,12.0,6.0,5.0,7.0,12.0,15.0,16.0,8.0,7.0,9.0,5.0,10.0,9.0,14.0
fruitvlieg,12.0,10.0,17.0,6.0,20.0,18.0,10.0,14.0,7.0,12.0,7.0,12.0,8.0,10.0,10.0,17.0,5.0,6.0,7.0,6.0,10.0,19.0,15.0,17.0,10.0,5.0
hommel,19.0,10.0,18.0,10.0,18.0,20.0,4.0,7.0,7.0,14.0,8.0,12.0,7.0,11.0,11.0,10.0,9.0,10.0,8.0,4.0,7.0,18.0,10.0,12.0,17.0,6.0
kakkerlak,6.0,7.0,6.0,14.0,10.0,4.0,20.0,18.0,16.0,5.0,12.0,8.0,12.0,9.0,6.0,8.0,8.0,16.0,14.0,10.0,8.0,7.0,11.0,8.0,9.0,11.0
kever,7.0,12.0,6.0,12.0,14.0,7.0,18.0,20.0,17.0,6.0,17.0,3.0,19.0,11.0,7.0,10.0,9.0,17.0,10.0,15.0,8.0,13.0,9.0,11.0,14.0,12.0
krekel,7.0,9.0,10.0,6.0,7.0,7.0,16.0,17.0,20.0,10.0,12.0,7.0,17.0,8.0,8.0,11.0,7.0,15.0,11.0,4.0,12.0,13.0,7.0,14.0,7.0,7.0
libel,12.0,4.0,11.0,8.0,12.0,14.0,5.0,6.0,10.0,20.0,13.0,10.0,7.0,8.0,14.0,17.0,10.0,7.0,8.0,12.0,7.0,16.0,9.0,11.0,11.0,10.0
lieveheersbeestje,10.0,8.0,5.0,10.0,7.0,8.0,12.0,17.0,12.0,13.0,20.0,9.0,12.0,10.0,6.0,5.0,4.0,7.0,10.0,5.0,7.0,10.0,7.0,10.0,7.0,6.0
luis,10.0,9.0,9.0,9.0,12.0,12.0,8.0,3.0,7.0,10.0,9.0,20.0,8.0,6.0,10.0,12.0,7.0,14.0,6.0,7.0,7.0,10.0,10.0,19.0,9.0,7.0
meikever,8.0,6.0,7.0,12.0,8.0,7.0,12.0,19.0,17.0,7.0,12.0,8.0,20.0,7.0,7.0,10.0,5.0,8.0,7.0,7.0,7.0,7.0,7.0,9.0,11.0,4.0
mier,10.0,17.0,6.0,6.0,10.0,11.0,9.0,11.0,8.0,8.0,10.0,6.0,7.0,20.0,5.0,9.0,12.0,12.0,13.0,3.0,9.0,6.0,10.0,11.0,7.0,15.0
mot,12.0,7.0,12.0,5.0,10.0,11.0,6.0,7.0,8.0,14.0,6.0,10.0,7.0,5.0,20.0,14.0,5.0,7.0,11.0,8.0,5.0,9.0,17.0,10.0,13.0,6.0
mug,12.0,8.0,5.0,7.0,17.0,10.0,8.0,10.0,11.0,17.0,5.0,12.0,10.0,9.0,14.0,20.0,5.0,5.0,7.0,10.0,6.0,16.0,14.0,17.0,11.0,4.0
oorworm,5.0,9.0,4.0,12.0,5.0,9.0,8.0,9.0,7.0,10.0,4.0,7.0,5.0,12.0,5.0,5.0,20.0,12.0,12.0,8.0,7.0,4.0,5.0,7.0,5.0,19.0
pissebed,6.0,11.0,8.0,15.0,6.0,10.0,16.0,17.0,15.0,7.0,7.0,14.0,8.0,12.0,7.0,5.0,12.0,20.0,8.0,7.0,7.0,8.0,10.0,17.0,7.0,15.0
rups,11.0,11.0,8.0,16.0,7.0,8.0,14.0,10.0,11.0,8.0,10.0,6.0,7.0,13.0,11.0,7.0,12.0,8.0,20.0,8.0,7.0,6.0,10.0,10.0,10.0,9.0
spin,7.0,11.0,5.0,8.0,6.0,4.0,10.0,15.0,4.0,12.0,5.0,7.0,7.0,3.0,8.0,10.0,8.0,7.0,8.0,20.0,12.0,5.0,10.0,11.0,7.0,5.0
sprinkhaan,7.0,8.0,10.0,7.0,10.0,7.0,8.0,8.0,12.0,7.0,7.0,7.0,7.0,9.0,5.0,6.0,7.0,7.0,7.0,12.0,20.0,10.0,7.0,10.0,8.0,7.0
vlieg,15.0,4.0,18.0,9.0,19.0,18.0,7.0,13.0,13.0,16.0,10.0,10.0,7.0,6.0,9.0,16.0,4.0,8.0,6.0,5.0,10.0,20.0,14.0,15.0,14.0,11.0
