exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,11.0,17.0,10.0,15.0,19.0,9.0,14.0,7.0,13.0,14.0,10.0,12.0,8.0,13.0,16.0,16.0,9.0,9.0,6.0,9.0,15.0,11.0,14.0,19.0,9.0
bloedzuiger,11.0,20.0,18.0,14.0,9.0,7.0,10.0,10.0,9.0,17.0,4.0,12.0,9.0,10.0,11.0,18.0,11.0,10.0,9.0,9.0,10.0,6.0,8.0,13.0,10.0,11.0
daas,17.0,18.0,20.0,14.0,14.0,14.0,15.0,14.0,7.0,15.0,10.0,13.0,12.0,9.0,14.0,19.0,10.0,13.0,11.0,10.0,10.0,15.0,8.0,11.0,16.0,8.0
duizendpoot,10.0,14.0,14.0,20.0,12.0,10.0,14.0,17.0,11.0,13.0,11.0,12.0,11.0,10.0,9.0,10.0,11.0,13.0,12.0,10.0,12.0,10.0,11.0,13.0,8.0,13.0
fruitvlieg,15.0,9.0,14.0,12.0,20.0,11.0,9.0,9.0,11.0,13.0,12.0,9.0,13.0,9.0,12.0,17.0,15.0,11.0,11.0,5.0,9.0,18.0,14.0,15.0,17.0,9.0
hommel,19.0,7.0,14.0,10.0,11.0,20.0,11.0,10.0,10.0,15.0,13.0,8.0,10.0,9.0,11.0,12.0,9.0,9.0,9.0,9.0,9.0,17.0,11.0,9.0,15.0,7.0
kakkerlak,9.0,10.0,15.0,14.0,9.0,11.0,20.0,15.0,15.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,12.0,13.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0
kever,14.0,10.0,14.0,17.0,9.0,10.0,15.0,20.0,12.0,14.0,15.0,11.0,19.0,9.0,9.0,2.0,11.0,12.0,13.0,9.0,11.0,11.0,15.0,11.0,11.0,10.0
krekel,7.0,9.0,7.0,11.0,11.0,10.0,15.0,12.0,20.0,13.0,14.0,9.0,10.0,15.0,9.0,11.0,9.0,10.0,11.0,5.0,14.0,9.0,11.0,9.0,10.0,9.0
libel,13.0,17.0,15.0,13.0,13.0,15.0,11.0,14.0,13.0,20.0,13.0,10.0,13.0,11.0,13.0,16.0,7.0,10.0,11.0,10.0,16.0,15.0,15.0,11.0,12.0,9.0
lieveheersbeestje,14.0,4.0,10.0,11.0,12.0,13.0,11.0,15.0,14.0,13.0,20.0,9.0,10.0,8.0,13.0,7.0,8.0,9.0,8.0,9.0,13.0,14.0,9.0,10.0,9.0,9.0
luis,10.0,12.0,13.0,12.0,9.0,8.0,9.0,11.0,9.0,10.0,9.0,20.0,12.0,11.0,14.0,10.0,14.0,16.0,14.0,15.0,10.0,9.0,9.0,19.0,12.0,9.0
meikever,12.0,9.0,12.0,11.0,13.0,10.0,10.0,19.0,10.0,13.0,10.0,12.0,20.0,9.0,9.0,12.0,10.0,14.0,8.0,9.0,13.0,13.0,12.0,10.0,10.0,7.0
mier,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,15.0,11.0,8.0,11.0,9.0,20.0,9.0,8.0,11.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0
mot,13.0,11.0,14.0,9.0,12.0,11.0,10.0,9.0,9.0,13.0,13.0,14.0,9.0,9.0,20.0,12.0,9.0,15.0,10.0,10.0,11.0,17.0,15.0,15.0,13.0,8.0
mug,16.0,18.0,19.0,10.0,17.0,12.0,10.0,2.0,11.0,16.0,7.0,10.0,12.0,8.0,12.0,20.0,11.0,10.0,9.0,10.0,11.0,15.0,12.0,18.0,18.0,12.0
oorworm,16.0,11.0,10.0,11.0,15.0,9.0,10.0,11.0,9.0,7.0,8.0,14.0,10.0,11.0,9.0,11.0,20.0,11.0,12.0,9.0,10.0,12.0,8.0,14.0,10.0,13.0
pissebed,9.0,10.0,13.0,13.0,11.0,9.0,12.0,12.0,10.0,10.0,9.0,16.0,14.0,11.0,15.0,10.0,11.0,20.0,15.0,15.0,12.0,10.0,7.0,12.0,9.0,9.0
rups,9.0,9.0,11.0,12.0,11.0,9.0,13.0,13.0,11.0,11.0,8.0,14.0,8.0,8.0,10.0,9.0,12.0,15.0,20.0,12.0,12.0,12.0,13.0,10.0,9.0,17.0
spin,6.0,9.0,10.0,10.0,5.0,9.0,9.0,9.0,5.0,10.0,9.0,15.0,9.0,8.0,10.0,10.0,9.0,15.0,12.0,20.0,10.0,10.0,9.0,11.0,9.0,9.0
sprinkhaan,9.0,10.0,10.0,12.0,9.0,9.0,10.0,11.0,14.0,16.0,13.0,10.0,13.0,9.0,11.0,11.0,10.0,12.0,12.0,10.0,20.0,10.0,11.0,11.0,9.0,7.0
vlieg,15.0,6.0,15.0,10.0,18.0,17.0,10.0,11.0,9.0,15.0,14.0,9.0,13.0,9.0,17.0,15.0,12.0,10.0,12.0,10.0,10.0,20.0,10.0,9.0,13.0,9.0
vlinder,11.0,8.0,8.0,11.0,14.0,11.0,10.0,15.0,11.0,15.0,9.0,9.0,12.0,9.0,15.0,12.0,8.0,7.0,13.0,9.0,11.0,10.0,20.0,9.0,10.0,8.0
vlo,14.0,13.0,11.0,13.0,15.0,9.0,10.0,11.0,9.0,11.0,10.0,19.0,10.0,10.0,15.0,18.0,14.0,12.0,10.0,11.0,11.0,9.0,9.0,20.0,11.0,7.0
wesp,19.0,10.0,16.0,8.0,17.0,15.0,8.0,11.0,10.0,12.0,9.0,12.0,10.0,9.0,13.0,18.0,10.0,9.0,9.0,9.0,9.0,13.0,10.0,11.0,20.0,9.0
worm,9.0,11.0,8.0,13.0,9.0,7.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,10.0,8.0,12.0,13.0,9.0,17.0,9.0,7.0,9.0,8.0,7.0,9.0,20.0
