exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,9.0,9.0,6.0,17.0,18.0,5.0,8.0,7.0,15.0,12.0,8.0,18.0,10.0,10.0,8.0,12.0,14.0,18.0,7.0,6.0,13.0,18.0,15.0,20.0,10.0
bloedzuiger,9.0,20.0,18.0,16.0,7.0,8.0,15.0,9.0,12.0,8.0,11.0,15.0,9.0,3.0,15.0,11.0,16.0,13.0,13.0,10.0,13.0,15.0,13.0,10.0,11.0,14.0
daas,9.0,18.0,20.0,7.0,12.0,12.0,14.0,9.0,11.0,15.0,9.0,19.0,12.0,9.0,20.0,19.0,12.0,14.0,9.0,6.0,14.0,16.0,9.0,19.0,15.0,7.0
duizendpoot,6.0,16.0,7.0,20.0,15.0,10.0,9.0,16.0,10.0,17.0,6.0,9.0,14.0,11.0,4.0,4.0,19.0,13.0,17.0,11.0,17.0,9.0,5.0,14.0,13.0,16.0
fruitvlieg,17.0,7.0,12.0,15.0,20.0,9.0,17.0,13.0,13.0,9.0,14.0,13.0,15.0,9.0,18.0,17.0,17.0,6.0,11.0,12.0,11.0,20.0,11.0,18.0,4.0,9.0
hommel,18.0,8.0,12.0,10.0,9.0,20.0,5.0,13.0,10.0,13.0,8.0,6.0,16.0,5.0,18.0,18.0,4.0,7.0,8.0,10.0,12.0,11.0,11.0,9.0,16.0,1.0
kakkerlak,5.0,15.0,14.0,9.0,17.0,5.0,20.0,14.0,16.0,7.0,12.0,12.0,16.0,8.0,15.0,9.0,16.0,16.0,7.0,11.0,14.0,10.0,5.0,13.0,12.0,15.0
kever,8.0,9.0,9.0,16.0,13.0,13.0,14.0,20.0,13.0,9.0,19.0,11.0,20.0,16.0,14.0,15.0,7.0,12.0,12.0,10.0,15.0,13.0,5.0,4.0,10.0,12.0
krekel,7.0,12.0,11.0,10.0,13.0,10.0,16.0,13.0,20.0,12.0,12.0,7.0,12.0,7.0,15.0,5.0,8.0,10.0,9.0,11.0,16.0,11.0,7.0,14.0,11.0,15.0
libel,15.0,8.0,15.0,17.0,9.0,13.0,7.0,9.0,12.0,20.0,7.0,13.0,17.0,14.0,10.0,13.0,12.0,12.0,12.0,13.0,11.0,12.0,14.0,12.0,13.0,8.0
lieveheersbeestje,12.0,11.0,9.0,6.0,14.0,8.0,12.0,19.0,12.0,7.0,20.0,6.0,16.0,5.0,18.0,10.0,9.0,12.0,15.0,5.0,13.0,12.0,16.0,10.0,12.0,5.0
luis,8.0,15.0,19.0,9.0,13.0,6.0,12.0,11.0,7.0,13.0,6.0,20.0,5.0,10.0,9.0,13.0,9.0,19.0,9.0,6.0,16.0,8.0,13.0,19.0,4.0,4.0
meikever,18.0,9.0,12.0,14.0,15.0,16.0,16.0,20.0,12.0,17.0,16.0,5.0,20.0,10.0,16.0,8.0,12.0,15.0,13.0,9.0,12.0,16.0,12.0,11.0,10.0,11.0
mier,10.0,3.0,9.0,11.0,9.0,5.0,8.0,16.0,7.0,14.0,5.0,10.0,10.0,20.0,7.0,18.0,16.0,12.0,12.0,11.0,11.0,9.0,11.0,8.0,7.0,12.0
mot,10.0,15.0,20.0,4.0,18.0,18.0,15.0,14.0,15.0,10.0,18.0,9.0,16.0,7.0,20.0,13.0,13.0,19.0,15.0,9.0,7.0,18.0,15.0,8.0,7.0,8.0
mug,8.0,11.0,19.0,4.0,17.0,18.0,9.0,15.0,5.0,13.0,10.0,13.0,8.0,18.0,13.0,20.0,10.0,8.0,14.0,19.0,12.0,17.0,12.0,11.0,17.0,8.0
oorworm,12.0,16.0,12.0,19.0,17.0,4.0,16.0,7.0,8.0,12.0,9.0,9.0,12.0,16.0,13.0,10.0,20.0,16.0,14.0,5.0,5.0,13.0,12.0,12.0,14.0,17.0
pissebed,14.0,13.0,14.0,13.0,6.0,7.0,16.0,12.0,10.0,12.0,12.0,19.0,15.0,12.0,19.0,8.0,16.0,20.0,15.0,19.0,15.0,10.0,7.0,5.0,7.0,11.0
rups,18.0,13.0,9.0,17.0,11.0,8.0,7.0,12.0,9.0,12.0,15.0,9.0,13.0,12.0,15.0,14.0,14.0,15.0,20.0,10.0,8.0,12.0,13.0,7.0,15.0,18.0
spin,7.0,10.0,6.0,11.0,12.0,10.0,11.0,10.0,11.0,13.0,5.0,6.0,9.0,11.0,9.0,19.0,5.0,19.0,10.0,20.0,16.0,9.0,6.0,7.0,13.0,8.0
