exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
bloedzuiger,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
daas,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
duizendpoot,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
fruitvlieg,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
hommel,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
kakkerlak,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
kever,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
krekel,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
libel,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
lieveheersbeestje,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
luis,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
meikever,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
mier,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
mot,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
mug,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
oorworm,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
pissebed,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
rups,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
spin,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
sprinkhaan,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
vlieg,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
vlinder,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
vlo,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
wesp,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
worm,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
