exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
lieveheersbeestje,16.0,14.0,16.0,16.0,16.0,15.0,14.0,14.0,16.0,17.0,20.0,16.0,17.0,15.0,16.0,16.0,14.0,16.0,15.0,15.0,15.0,17.0,16.0,16.0,15.0,14.0
luis,15.0,17.0,16.0,16.0,16.0,15.0,16.0,15.0,16.0,15.0,16.0,20.0,16.0,17.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,16.0,14.0,19.0,16.0,14.0
meikever,16.0,16.0,16.0,14.0,16.0,16.0,16.0,17.0,16.0,16.0,17.0,16.0,20.0,16.0,16.0,14.0,16.0,16.0,15.0,16.0,16.0,17.0,16.0,15.0,16.0,15.0
mier,14.0,15.0,16.0,16.0,14.0,14.0,16.0,16.0,16.0,16.0,15.0,17.0,16.0,20.0,15.0,14.0,17.0,16.0,16.0,16.0,15.0,16.0,16.0,14.0,14.0,14.0
mot,16.0,14.0,15.0,14.0,16.0,17.0,15.0,15.0,15.0,17.0,16.0,16.0,16.0,15.0,20.0,16.0,14.0,15.0,14.0,14.0,15.0,17.0,17.0,16.0,16.0,14.0
mug,17.0,14.0,17.0,14.0,17.0,16.0,15.0,14.0,16.0,18.0,16.0,16.0,14.0,14.0,16.0,20.0,14.0,15.0,16.0,14.0,16.0,17.0,17.0,17.0,16.0,14.0
oorworm,14.0,16.0,16.0,16.0,15.0,14.0,16.0,18.0,16.0,15.0,14.0,15.0,16.0,17.0,14.0,14.0,20.0,18.0,17.0,16.0,17.0,15.0,15.0,15.0,15.0,16.0
pissebed,14.0,17.0,15.0,17.0,14.0,15.0,17.0,17.0,16.0,14.0,16.0,16.0,16.0,16.0,15.0,15.0,18.0,20.0,16.0,17.0,16.0,15.0,14.0,15.0,14.0,16.0
rups,14.0,16.0,15.0,16.0,14.0,15.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,16.0,14.0,16.0,17.0,16.0,20.0,16.0,15.0,14.0,16.0,14.0,15.0,18.0
spin,15.0,17.0,14.0,16.0,16.0,14.0,17.0,15.0,15.0,16.0,15.0,15.0,16.0,16.0,14.0,14.0,16.0,17.0,16.0,20.0,16.0,15.0,14.0,15.0,14.0,16.0
sprinkhaan,15.0,16.0,16.0,16.0,14.0,15.0,16.0,16.0,19.0,16.0,15.0,15.0,16.0,15.0,15.0,16.0,17.0,16.0,15.0,16.0,20.0,16.0,15.0,17.0,15.0,15.0
vlieg,17.0,15.0,17.0,14.0,18.0,18.0,14.0,13.0,15.0,17.0,17.0,16.0,17.0,16.0,17.0,17.0,15.0,15.0,14.0,15.0,16.0,20.0,16.0,17.0,17.0,14.0
vlinder,16.0,15.0,17.0,14.0,17.0,17.0,14.0,16.0,16.0,17.0,16.0,14.0,16.0,16.0,17.0,17.0,15.0,14.0,16.0,14.0,15.0,16.0,20.0,15.0,17.0,15.0
vlo,16.0,17.0,17.0,16.0,17.0,16.0,15.0,14.0,12.0,18.0,16.0,19.0,15.0,14.0,16.0,17.0,15.0,15.0,14.0,15.0,17.0,17.0,15.0,20.0,16.0,15.0
wesp,17.0,14.0,17.0,14.0,17.0,18.0,14.0,15.0,14.0,17.0,15.0,16.0,16.0,14.0,16.0,16.0,15.0,14.0,15.0,14.0,15.0,17.0,17.0,16.0,20.0,14.0
worm,15.0,16.0,14.0,18.0,14.0,13.0,12.0,14.0,16.0,13.0,14.0,14.0,15.0,14.0,14.0,14.0,16.0,16.0,18.0,16.0,15.0,14.0,15.0,15.0,14.0,20.0
