exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,12.0,17.0,14.0,17.0,18.0,14.0,15.0,14.0,17.0,16.0,15.0,16.0,14.0,16.0,17.0,14.0,14.0,14.0,15.0,15.0,17.0,16.0,16.0,17.0,15.0
bloedzuiger,12.0,20.0,14.0,16.0,14.0,13.0,17.0,16.0,16.0,15.0,14.0,17.0,16.0,15.0,14.0,14.0,16.0,17.0,16.0,17.0,16.0,15.0,15.0,17.0,14.0,16.0
daas,17.0,14.0,20.0,15.0,17.0,17.0,14.0,16.0,14.0,17.0,16.0,16.0,16.0,16.0,15.0,17.0,16.0,15.0,15.0,14.0,16.0,17.0,17.0,17.0,17.0,14.0
duizendpoot,14.0,16.0,15.0,20.0,13.0,15.0,16.0,16.0,16.0,15.0,16.0,16.0,14.0,16.0,14.0,14.0,16.0,17.0,16.0,16.0,16.0,14.0,14.0,16.0,14.0,18.0
fruitvlieg,17.0,14.0,17.0,13.0,20.0,17.0,15.0,15.0,15.0,17.0,16.0,16.0,16.0,14.0,16.0,17.0,15.0,14.0,14.0,16.0,14.0,18.0,17.0,17.0,17.0,14.0
hommel,18.0,13.0,17.0,15.0,17.0,20.0,15.0,16.0,15.0,17.0,15.0,15.0,16.0,14.0,17.0,16.0,14.0,15.0,15.0,14.0,15.0,18.0,17.0,16.0,18.0,13.0
kakkerlak,14.0,17.0,14.0,16.0,15.0,15.0,20.0,17.0,16.0,15.0,14.0,16.0,16.0,16.0,15.0,15.0,16.0,17.0,16.0,17.0,16.0,14.0,14.0,15.0,14.0,12.0
kever,15.0,16.0,16.0,16.0,15.0,16.0,17.0,20.0,16.0,14.0,14.0,15.0,17.0,16.0,15.0,14.0,18.0,17.0,16.0,15.0,16.0,13.0,16.0,14.0,15.0,14.0
krekel,14.0,16.0,14.0,16.0,15.0,15.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,15.0,19.0,15.0,16.0,12.0,14.0,16.0
libel,17.0,15.0,17.0,15.0,17.0,17.0,15.0,14.0,16.0,20.0,17.0,15.0,16.0,16.0,17.0,18.0,15.0,14.0,16.0,16.0,16.0,17.0,17.0,18.0,17.0,13.0
