exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,7.0,6.0,,3.0,15.0,3.0,5.0,1.0,11.0,4.0,,4.0,1.0,4.0,3.0,1.0,1.0,8.0,2.0,1.0,1.0,3.0,1.0,11.0,12.0,1.0,6.0,4.0,5.0
ajuin,7.0,20.0,4.0,,8.0,8.0,4.0,7.0,6.0,6.0,4.0,,8.0,8.0,4.0,5.0,10.0,4.0,10.0,3.0,3.0,1.0,2.0,1.0,5.0,10.0,2.0,7.0,8.0,5.0
asperges,6.0,4.0,20.0,,6.0,13.0,7.0,5.0,7.0,3.0,8.0,,12.0,4.0,3.0,4.0,6.0,15.0,9.0,5.0,15.0,14.0,3.0,4.0,4.0,5.0,5.0,10.0,9.0,14.0
aubergine,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
augurken,3.0,8.0,6.0,,20.0,2.0,3.0,10.0,13.0,4.0,3.0,,19.0,4.0,1.0,6.0,5.0,6.0,9.0,3.0,4.0,9.0,7.0,6.0,14.0,1.0,7.0,7.0,1.0,8.0
biet,15.0,8.0,13.0,,2.0,20.0,10.0,6.0,5.0,8.0,1.0,,6.0,8.0,8.0,5.0,4.0,8.0,10.0,12.0,7.0,5.0,3.0,3.0,6.0,10.0,7.0,10.0,12.0,8.0
bloemkool,3.0,4.0,7.0,,3.0,10.0,20.0,4.0,4.0,1.0,6.0,,7.0,4.0,5.0,3.0,3.0,4.0,10.0,6.0,12.0,4.0,5.0,5.0,5.0,7.0,1.0,9.0,9.0,3.0
bonen,5.0,7.0,5.0,,10.0,6.0,4.0,20.0,9.0,5.0,13.0,,4.0,14.0,10.0,4.0,9.0,7.0,5.0,2.0,8.0,4.0,4.0,8.0,8.0,3.0,3.0,4.0,4.0,2.0
champignons,1.0,6.0,7.0,,13.0,5.0,4.0,9.0,20.0,1.0,7.0,,5.0,12.0,6.0,4.0,3.0,5.0,10.0,2.0,12.0,7.0,1.0,4.0,6.0,4.0,7.0,3.0,6.0,5.0
courgette,11.0,6.0,3.0,,4.0,8.0,1.0,5.0,1.0,20.0,3.0,,17.0,1.0,4.0,15.0,4.0,13.0,3.0,4.0,8.0,5.0,4.0,3.0,12.0,1.0,3.0,7.0,7.0,6.0
erwten,4.0,4.0,8.0,,3.0,1.0,6.0,13.0,7.0,3.0,20.0,,5.0,6.0,14.0,1.0,10.0,3.0,10.0,2.0,7.0,5.0,8.0,9.0,13.0,4.0,5.0,4.0,3.0,1.0
kervel,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
komkommer,4.0,8.0,12.0,,19.0,6.0,7.0,4.0,5.0,17.0,5.0,,20.0,5.0,8.0,8.0,4.0,10.0,10.0,4.0,8.0,8.0,7.0,8.0,6.0,4.0,3.0,8.0,5.0,9.0
look,1.0,8.0,4.0,,4.0,8.0,4.0,14.0,12.0,1.0,6.0,,5.0,20.0,2.0,5.0,5.0,4.0,15.0,4.0,3.0,4.0,3.0,2.0,8.0,4.0,4.0,8.0,13.0,5.0
maïs,4.0,4.0,3.0,,1.0,8.0,5.0,10.0,6.0,4.0,14.0,,8.0,2.0,20.0,2.0,5.0,5.0,8.0,1.0,8.0,1.0,1.0,6.0,11.0,2.0,3.0,11.0,1.0,12.0
paprika,3.0,5.0,4.0,,6.0,5.0,3.0,4.0,4.0,15.0,1.0,,8.0,5.0,2.0,20.0,7.0,3.0,6.0,5.0,4.0,4.0,4.0,4.0,5.0,10.0,1.0,2.0,1.0,4.0
peterselie,1.0,10.0,6.0,,5.0,4.0,3.0,9.0,3.0,4.0,10.0,,4.0,5.0,5.0,7.0,20.0,11.0,4.0,5.0,3.0,10.0,10.0,15.0,4.0,4.0,15.0,7.0,5.0,1.0
prei,1.0,4.0,15.0,,6.0,8.0,4.0,7.0,5.0,13.0,3.0,,10.0,4.0,5.0,3.0,11.0,20.0,8.0,1.0,11.0,15.0,10.0,9.0,4.0,1.0,7.0,14.0,14.0,8.0
