exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,14.0,14.0,9.0,11.0,13.0,10.0,10.0,9.0,10.0,13.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,12.0,11.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0
ajuin,14.0,20.0,11.0,9.0,11.0,13.0,13.0,10.0,10.0,11.0,9.0,9.0,10.0,12.0,9.0,10.0,11.0,17.0,13.0,11.0,10.0,14.0,13.0,10.0,10.0,11.0,10.0,12.0,12.0,12.0
asperges,14.0,11.0,20.0,10.0,11.0,12.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,14.0,12.0,9.0,13.0,13.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,13.0
aubergine,9.0,9.0,10.0,20.0,13.0,11.0,10.0,10.0,9.0,16.0,9.0,10.0,15.0,9.0,8.0,12.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,10.0,9.0
augurken,11.0,11.0,11.0,13.0,20.0,10.0,9.0,11.0,9.0,15.0,11.0,10.0,16.0,11.0,9.0,12.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0,11.0
biet,13.0,13.0,12.0,11.0,10.0,20.0,11.0,9.0,9.0,12.0,9.0,9.0,11.0,12.0,11.0,10.0,9.0,14.0,15.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,16.0
bloemkool,10.0,13.0,9.0,10.0,9.0,11.0,20.0,9.0,9.0,10.0,11.0,9.0,10.0,13.0,10.0,9.0,9.0,11.0,11.0,17.0,11.0,11.0,13.0,10.0,14.0,9.0,9.0,8.0,17.0,10.0
bonen,10.0,10.0,10.0,10.0,11.0,9.0,9.0,20.0,9.0,13.0,12.0,10.0,11.0,9.0,11.0,13.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,14.0,11.0,9.0,11.0,11.0
champignons,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,20.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,11.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0
courgette,10.0,11.0,10.0,16.0,15.0,12.0,10.0,13.0,9.0,20.0,11.0,10.0,18.0,10.0,10.0,11.0,9.0,12.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,12.0
erwten,13.0,9.0,9.0,9.0,11.0,9.0,11.0,12.0,8.0,11.0,20.0,10.0,11.0,10.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,13.0,12.0,10.0,10.0,9.0,12.0
kervel,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,20.0,10.0,12.0,8.0,9.0,15.0,11.0,11.0,9.0,9.0,9.0,12.0,13.0,9.0,10.0,14.0,10.0,9.0,10.0
komkommer,9.0,10.0,9.0,15.0,16.0,11.0,10.0,11.0,9.0,18.0,11.0,10.0,20.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,8.0,12.0,14.0,12.0,11.0,11.0,11.0,10.0,9.0,10.0
look,10.0,12.0,9.0,9.0,11.0,12.0,13.0,9.0,8.0,10.0,10.0,12.0,9.0,20.0,8.0,10.0,14.0,11.0,13.0,10.0,10.0,9.0,10.0,9.0,9.0,13.0,7.0,10.0,10.0,9.0
maïs,9.0,9.0,8.0,8.0,9.0,11.0,10.0,11.0,8.0,10.0,12.0,8.0,11.0,8.0,20.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0
paprika,9.0,10.0,10.0,12.0,12.0,10.0,9.0,13.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,20.0,9.0,11.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,14.0,10.0,10.0,10.0,9.0
peterselie,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,15.0,10.0,14.0,8.0,9.0,20.0,12.0,9.0,9.0,9.0,10.0,12.0,14.0,9.0,9.0,15.0,11.0,9.0,12.0
prei,12.0,17.0,14.0,10.0,9.0,14.0,11.0,10.0,8.0,12.0,9.0,11.0,10.0,11.0,9.0,11.0,12.0,20.0,12.0,10.0,12.0,12.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,15.0
radijs,12.0,13.0,12.0,10.0,11.0,15.0,11.0,9.0,9.0,10.0,9.0,11.0,10.0,13.0,9.0,9.0,9.0,12.0,20.0,10.0,10.0,14.0,11.0,9.0,9.0,10.0,12.0,11.0,10.0,12.0
rode kool,11.0,11.0,9.0,11.0,9.0,10.0,17.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0,20.0,9.0,12.0,11.0,10.0,15.0,10.0,9.0,12.0,18.0,10.0
schorseneren,10.0,10.0,13.0,10.0,10.0,10.0,11.0,9.0,7.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,12.0,10.0,9.0,20.0,12.0,9.0,10.0,12.0,9.0,9.0,9.0,11.0,10.0
selder,12.0,14.0,13.0,9.0,9.0,11.0,11.0,9.0,8.0,10.0,9.0,9.0,12.0,9.0,8.0,9.0,10.0,12.0,14.0,12.0,12.0,20.0,10.0,10.0,10.0,9.0,9.0,13.0,10.0,10.0
sla,9.0,13.0,9.0,10.0,9.0,9.0,13.0,9.0,9.0,9.0,8.0,12.0,14.0,10.0,9.0,10.0,12.0,10.0,11.0,11.0,9.0,10.0,20.0,13.0,12.0,10.0,13.0,12.0,12.0,9.0
spinazie,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,13.0,12.0,9.0,10.0,9.0,14.0,10.0,9.0,10.0,10.0,10.0,13.0,20.0,12.0,9.0,12.0,9.0,9.0,10.0
spruiten,10.0,10.0,10.0,11.0,10.0,9.0,14.0,10.0,9.0,11.0,13.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,12.0,10.0,12.0,12.0,20.0,10.0,9.0,10.0,16.0,10.0
tomaat,9.0,11.0,9.0,11.0,11.0,9.0,9.0,14.0,11.0,10.0,12.0,10.0,11.0,13.0,10.0,14.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,20.0,13.0,10.0,10.0,10.0
waterkers,9.0,10.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,10.0,10.0,14.0,11.0,7.0,9.0,10.0,15.0,9.0,12.0,9.0,9.0,9.0,13.0,12.0,9.0,13.0,20.0,12.0,9.0,11.0
witloof,9.0,12.0,11.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,11.0,12.0,9.0,13.0,12.0,9.0,10.0,10.0,12.0,20.0,10.0,9.0
witte kool,10.0,12.0,10.0,10.0,11.0,10.0,17.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,10.0,18.0,11.0,10.0,12.0,9.0,16.0,10.0,9.0,10.0,20.0,11.0
wortel,12.0,12.0,13.0,9.0,11.0,16.0,10.0,11.0,9.0,12.0,12.0,10.0,10.0,9.0,10.0,9.0,12.0,15.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,11.0,20.0
