exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,3.0,2.0,3.0,9.0,8.0,11.0,2.0,7.0,11.0,6.0,6.0,2.0,4.0,7.0,4.0,12.0,3.0,6.0,10.0,6.0,11.0,10.0,4.0,8.0,6.0,7.0,6.0,8.0,8.0
ajuin,3.0,20.0,5.0,7.0,3.0,2.0,6.0,2.0,4.0,17.0,13.0,6.0,8.0,8.0,5.0,4.0,2.0,6.0,2.0,4.0,5.0,9.0,7.0,2.0,7.0,6.0,10.0,12.0,6.0,5.0
asperges,2.0,5.0,20.0,9.0,3.0,7.0,13.0,2.0,13.0,4.0,12.0,15.0,5.0,2.0,9.0,3.0,7.0,6.0,10.0,5.0,4.0,2.0,7.0,2.0,15.0,10.0,3.0,2.0,17.0,9.0
aubergine,3.0,7.0,9.0,20.0,7.0,18.0,7.0,17.0,1.0,4.0,8.0,3.0,9.0,14.0,7.0,6.0,1.0,17.0,8.0,4.0,6.0,4.0,6.0,7.0,10.0,7.0,2.0,5.0,4.0,10.0
augurken,9.0,3.0,3.0,7.0,20.0,6.0,13.0,3.0,4.0,5.0,9.0,15.0,5.0,4.0,14.0,6.0,8.0,5.0,9.0,8.0,11.0,4.0,6.0,3.0,11.0,13.0,4.0,9.0,16.0,9.0
biet,8.0,2.0,7.0,18.0,6.0,20.0,4.0,18.0,9.0,8.0,4.0,11.0,2.0,10.0,4.0,6.0,14.0,13.0,5.0,2.0,2.0,4.0,7.0,13.0,2.0,6.0,5.0,3.0,9.0,12.0
bloemkool,11.0,6.0,13.0,7.0,13.0,4.0,20.0,4.0,17.0,6.0,3.0,3.0,3.0,2.0,14.0,5.0,3.0,7.0,16.0,5.0,7.0,6.0,12.0,4.0,5.0,4.0,4.0,7.0,15.0,4.0
bonen,2.0,2.0,2.0,17.0,3.0,18.0,4.0,20.0,10.0,4.0,7.0,8.0,3.0,12.0,6.0,17.0,6.0,17.0,5.0,2.0,7.0,6.0,7.0,17.0,9.0,8.0,2.0,8.0,5.0,7.0
champignons,7.0,4.0,13.0,1.0,4.0,9.0,17.0,10.0,20.0,5.0,5.0,12.0,7.0,11.0,18.0,5.0,4.0,7.0,19.0,3.0,5.0,8.0,6.0,7.0,8.0,17.0,7.0,7.0,6.0,9.0
courgette,11.0,17.0,4.0,4.0,5.0,8.0,6.0,4.0,5.0,20.0,12.0,6.0,9.0,5.0,4.0,7.0,5.0,8.0,8.0,14.0,7.0,10.0,10.0,8.0,9.0,14.0,15.0,14.0,4.0,6.0
erwten,6.0,13.0,12.0,8.0,9.0,4.0,3.0,7.0,5.0,12.0,20.0,4.0,12.0,13.0,9.0,9.0,11.0,8.0,2.0,2.0,10.0,7.0,5.0,3.0,6.0,8.0,9.0,18.0,9.0,6.0
kervel,6.0,6.0,15.0,3.0,15.0,11.0,3.0,8.0,12.0,6.0,4.0,20.0,3.0,7.0,13.0,3.0,4.0,5.0,10.0,1.0,4.0,2.0,6.0,4.0,6.0,16.0,8.0,4.0,10.0,12.0
komkommer,2.0,8.0,5.0,9.0,5.0,2.0,3.0,3.0,7.0,9.0,12.0,3.0,20.0,11.0,2.0,9.0,8.0,4.0,3.0,10.0,3.0,11.0,6.0,5.0,8.0,6.0,5.0,6.0,7.0,3.0
look,4.0,8.0,2.0,14.0,4.0,10.0,2.0,12.0,11.0,5.0,13.0,7.0,11.0,20.0,11.0,17.0,12.0,3.0,6.0,4.0,1.0,8.0,4.0,4.0,7.0,5.0,16.0,6.0,8.0,7.0
