exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,6.0,4.0,6.0,5.0,9.0,4.0,6.0,7.0,5.0,4.0,2.0,3.0,5.0,2.0,7.0,2.0,6.0,5.0,6.0,5.0,3.0,3.0,2.0,7.0,6.0,1.0,3.0,5.0,4.0
ajuin,6.0,20.0,7.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,7.0,3.0,5.0,3.0,3.0,7.0,4.0,3.0,5.0,2.0,5.0,6.0,4.0,3.0,4.0,5.0,2.0
asperges,4.0,7.0,20.0,6.0,5.0,6.0,4.0,5.0,5.0,9.0,1.0,4.0,4.0,4.0,5.0,4.0,6.0,7.0,3.0,2.0,7.0,6.0,2.0,2.0,2.0,2.0,3.0,9.0,5.0,6.0
aubergine,6.0,6.0,6.0,20.0,4.0,4.0,3.0,6.0,4.0,6.0,3.0,4.0,8.0,5.0,6.0,5.0,4.0,8.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,7.0,5.0
augurken,5.0,6.0,5.0,4.0,20.0,5.0,6.0,5.0,7.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,3.0,7.0,4.0,3.0,3.0,3.0,3.0,8.0,6.0,5.0,4.0,3.0,3.0
biet,9.0,6.0,6.0,4.0,5.0,20.0,6.0,6.0,7.0,4.0,4.0,3.0,4.0,7.0,5.0,5.0,3.0,5.0,7.0,5.0,6.0,5.0,4.0,3.0,4.0,7.0,3.0,6.0,7.0,8.0
bloemkool,4.0,4.0,4.0,3.0,6.0,6.0,20.0,3.0,3.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,4.0,4.0,5.0,11.0,4.0,4.0,6.0,6.0,5.0,3.0,2.0,6.0,14.0,4.0
bonen,6.0,3.0,5.0,6.0,5.0,6.0,3.0,20.0,6.0,5.0,6.0,3.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,6.0,3.0,3.0,2.0,9.0,4.0,3.0,3.0,6.0,4.0
champignons,7.0,4.0,5.0,4.0,7.0,7.0,3.0,6.0,20.0,3.0,5.0,4.0,1.0,5.0,2.0,4.0,2.0,2.0,6.0,3.0,5.0,4.0,3.0,2.0,7.0,5.0,3.0,5.0,8.0,3.0
courgette,5.0,4.0,9.0,6.0,4.0,4.0,5.0,5.0,3.0,20.0,4.0,3.0,8.0,10.0,4.0,5.0,3.0,6.0,5.0,5.0,8.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0
erwten,4.0,4.0,1.0,3.0,4.0,4.0,2.0,6.0,5.0,4.0,20.0,6.0,6.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,4.0,6.0,6.0,13.0,3.0,5.0,3.0,3.0,4.0
kervel,2.0,3.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,6.0,20.0,6.0,3.0,3.0,3.0,8.0,10.0,3.0,4.0,4.0,7.0,9.0,8.0,7.0,4.0,8.0,4.0,3.0,4.0
komkommer,3.0,3.0,4.0,8.0,4.0,4.0,2.0,5.0,1.0,8.0,6.0,6.0,20.0,3.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,6.0,6.0,7.0,5.0,6.0,5.0,7.0,2.0,4.0
look,5.0,7.0,4.0,5.0,5.0,7.0,5.0,3.0,5.0,10.0,3.0,3.0,3.0,20.0,4.0,3.0,3.0,3.0,5.0,5.0,8.0,2.0,3.0,2.0,6.0,4.0,9.0,7.0,6.0,4.0
maïs,2.0,3.0,5.0,6.0,5.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,20.0,4.0,4.0,5.0,2.0,2.0,6.0,3.0,2.0,2.0,3.0,2.0,2.0,7.0,4.0,6.0
paprika,7.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,20.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,7.0,6.0,4.0,7.0,5.0
peterselie,2.0,3.0,6.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,5.0,8.0,4.0,3.0,4.0,3.0,20.0,6.0,2.0,3.0,4.0,7.0,6.0,13.0,7.0,2.0,12.0,3.0,5.0,4.0
prei,6.0,3.0,7.0,8.0,3.0,5.0,4.0,4.0,2.0,6.0,4.0,10.0,4.0,3.0,5.0,4.0,6.0,20.0,3.0,4.0,5.0,10.0,5.0,6.0,4.0,2.0,4.0,8.0,5.0,4.0
radijs,5.0,7.0,3.0,4.0,7.0,7.0,5.0,4.0,6.0,5.0,5.0,3.0,3.0,5.0,2.0,5.0,2.0,3.0,20.0,8.0,2.0,2.0,4.0,3.0,9.0,7.0,4.0,2.0,5.0,6.0
rode kool,6.0,4.0,2.0,5.0,4.0,5.0,11.0,3.0,3.0,5.0,2.0,4.0,6.0,5.0,2.0,5.0,3.0,4.0,8.0,20.0,2.0,3.0,7.0,4.0,6.0,7.0,2.0,3.0,14.0,7.0
schorseneren,5.0,3.0,7.0,5.0,3.0,6.0,4.0,6.0,5.0,8.0,2.0,4.0,4.0,8.0,6.0,3.0,4.0,5.0,2.0,2.0,20.0,3.0,2.0,4.0,2.0,2.0,3.0,5.0,4.0,5.0
