exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,15.0,15.0,14.0,15.0,15.0,15.0,17.0,15.0,15.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0
ajuin,15.0,20.0,16.0,15.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,19.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,16.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0
asperges,15.0,16.0,20.0,14.0,15.0,15.0,15.0,15.0,16.0,14.0,16.0,14.0,16.0,16.0,15.0,15.0,15.0,16.0,15.0,15.0,19.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0
aubergine,14.0,15.0,14.0,20.0,16.0,15.0,14.0,15.0,14.0,18.0,15.0,16.0,17.0,16.0,16.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,14.0,16.0
augurken,15.0,16.0,15.0,16.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,19.0,16.0,15.0,16.0,14.0,17.0,15.0,14.0,15.0,15.0,16.0,14.0,15.0,15.0,16.0,15.0,14.0,15.0
biet,15.0,16.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,15.0,14.0,16.0,15.0,15.0,16.0,15.0,15.0,14.0,18.0,18.0,16.0,15.0,16.0,16.0,14.0,16.0,17.0,16.0,14.0,15.0
bloemkool,15.0,15.0,15.0,14.0,15.0,15.0,20.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,17.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,16.0,17.0,15.0
bonen,17.0,16.0,15.0,15.0,15.0,15.0,14.0,20.0,16.0,14.0,18.0,15.0,15.0,17.0,18.0,16.0,15.0,16.0,15.0,15.0,15.0,14.0,15.0,15.0,18.0,15.0,14.0,15.0,15.0,15.0
champignons,15.0,16.0,16.0,14.0,15.0,15.0,15.0,16.0,20.0,14.0,15.0,15.0,16.0,15.0,16.0,16.0,16.0,15.0,15.0,14.0,16.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0
courgette,15.0,16.0,14.0,18.0,15.0,15.0,15.0,14.0,14.0,20.0,14.0,15.0,18.0,16.0,16.0,16.0,16.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0
erwten,16.0,16.0,16.0,15.0,15.0,14.0,14.0,18.0,15.0,14.0,20.0,16.0,16.0,15.0,17.0,15.0,14.0,16.0,15.0,15.0,14.0,15.0,16.0,16.0,17.0,15.0,15.0,16.0,15.0,16.0
kervel,14.0,16.0,14.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0,20.0,16.0,16.0,14.0,16.0,18.0,16.0,17.0,15.0,15.0,17.0,17.0,17.0,16.0,15.0,18.0,15.0,13.0,16.0
komkommer,15.0,16.0,16.0,17.0,19.0,15.0,15.0,15.0,16.0,18.0,16.0,16.0,20.0,16.0,15.0,15.0,14.0,17.0,17.0,15.0,15.0,16.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,16.0
look,15.0,19.0,16.0,16.0,16.0,15.0,15.0,17.0,15.0,16.0,15.0,16.0,16.0,20.0,16.0,15.0,16.0,16.0,15.0,14.0,14.0,15.0,16.0,15.0,16.0,16.0,16.0,15.0,15.0,15.0
maïs,15.0,16.0,15.0,16.0,15.0,16.0,15.0,18.0,16.0,16.0,17.0,14.0,15.0,16.0,20.0,16.0,14.0,15.0,16.0,14.0,16.0,14.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,16.0
paprika,15.0,16.0,15.0,15.0,16.0,15.0,15.0,16.0,16.0,16.0,15.0,16.0,15.0,15.0,16.0,20.0,15.0,15.0,15.0,16.0,15.0,14.0,16.0,16.0,15.0,16.0,16.0,15.0,15.0,15.0
peterselie,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,16.0,16.0,14.0,18.0,14.0,16.0,14.0,15.0,20.0,16.0,16.0,15.0,15.0,16.0,17.0,17.0,15.0,14.0,17.0,14.0,14.0,15.0
prei,15.0,16.0,16.0,14.0,17.0,14.0,16.0,16.0,15.0,15.0,16.0,16.0,17.0,16.0,15.0,15.0,16.0,20.0,14.0,15.0,15.0,16.0,15.0,16.0,15.0,15.0,15.0,16.0,15.0,17.0
radijs,15.0,15.0,15.0,15.0,15.0,18.0,15.0,15.0,15.0,14.0,15.0,17.0,17.0,15.0,16.0,15.0,16.0,14.0,20.0,15.0,16.0,16.0,16.0,15.0,15.0,16.0,17.0,16.0,15.0,16.0
rode kool,15.0,15.0,15.0,15.0,14.0,18.0,17.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,14.0,16.0,15.0,15.0,15.0,20.0,15.0,15.0,14.0,16.0,16.0,15.0,14.0,14.0,18.0,14.0
schorseneren,15.0,15.0,19.0,15.0,15.0,16.0,15.0,15.0,16.0,14.0,14.0,15.0,15.0,14.0,16.0,15.0,15.0,15.0,16.0,15.0,20.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0
selder,16.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,17.0,16.0,15.0,14.0,14.0,16.0,16.0,16.0,15.0,15.0,20.0,15.0,16.0,15.0,16.0,16.0,15.0,14.0,16.0
sla,15.0,15.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,16.0,15.0,16.0,17.0,15.0,16.0,14.0,14.0,15.0,20.0,18.0,16.0,17.0,17.0,16.0,15.0,16.0
