exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,5.0,1.0,5.0,5.0,5.0,6.0,2.0,3.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0,3.0,2.0,5.0,4.0,2.0,4.0,5.0,3.0,3.0,5.0,2.0,3.0,5.0
ajuin,5.0,20.0,3.0,4.0,6.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,15.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0
asperges,1.0,3.0,20.0,2.0,5.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,5.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0
aubergine,5.0,4.0,2.0,20.0,3.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,6.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0
augurken,5.0,6.0,5.0,3.0,20.0,1.0,2.0,2.0,5.0,3.0,4.0,3.0,1.0,2.0,3.0,5.0,5.0,2.0,3.0,6.0,2.0,2.0,2.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0
biet,5.0,5.0,1.0,2.0,1.0,20.0,2.0,5.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,1.0,2.0,3.0,5.0,2.0,5.0,3.0,1.0,3.0,1.0
bloemkool,6.0,2.0,2.0,2.0,2.0,2.0,20.0,6.0,1.0,2.0,3.0,2.0,5.0,2.0,5.0,5.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0
bonen,2.0,2.0,2.0,5.0,2.0,5.0,6.0,20.0,2.0,2.0,5.0,2.0,12.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,2.0,4.0,6.0,3.0,2.0,5.0,5.0,3.0,2.0,7.0
champignons,3.0,2.0,4.0,1.0,5.0,2.0,1.0,2.0,20.0,5.0,4.0,4.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,5.0,5.0,4.0,1.0,2.0,2.0,5.0
courgette,5.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,20.0,2.0,6.0,4.0,3.0,1.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,6.0,1.0,1.0,3.0,5.0,2.0,3.0,3.0
erwten,3.0,3.0,2.0,2.0,4.0,4.0,3.0,5.0,4.0,2.0,20.0,5.0,4.0,3.0,5.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,1.0,3.0,5.0
kervel,1.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,4.0,6.0,5.0,20.0,2.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0
komkommer,5.0,5.0,3.0,3.0,1.0,5.0,5.0,12.0,3.0,4.0,4.0,2.0,20.0,2.0,5.0,2.0,2.0,4.0,4.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0
look,5.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,2.0,20.0,5.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,8.0,1.0,3.0,5.0
maïs,5.0,5.0,2.0,2.0,3.0,3.0,5.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,20.0,4.0,2.0,5.0,3.0,5.0,1.0,5.0,2.0,3.0,5.0,5.0,6.0,2.0,3.0,2.0
paprika,5.0,3.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,4.0,20.0,2.0,3.0,2.0,2.0,6.0,5.0,5.0,2.0,2.0,6.0,3.0,2.0,5.0,3.0
peterselie,2.0,2.0,6.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,20.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,5.0,2.0,1.0,1.0
prei,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,6.0,4.0,4.0,2.0,5.0,3.0,5.0,20.0,3.0,5.0,3.0,5.0,2.0,1.0,6.0,2.0,2.0,3.0,2.0,2.0
radijs,2.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,20.0,2.0,3.0,1.0,3.0,3.0,3.0,6.0,2.0,1.0,7.0,2.0
rode kool,5.0,3.0,2.0,5.0,6.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,6.0,2.0,5.0,2.0,2.0,5.0,2.0,20.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0
schorseneren,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,6.0,2.0,3.0,3.0,5.0,20.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0
