exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,6.0,12.0,15.0,8.0,12.0,5.0,16.0,5.0,1.0,1.0,5.0,9.0,1.0
bagpipe,13.0,20.0,1.0,1.0,16.0,1.0,5.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,6.0,2.0,10.0,6.0,8.0,1.0,1.0,9.0,5.0,1.0
banjo,1.0,1.0,20.0,15.0,2.0,10.0,1.0,2.0,13.0,2.0,5.0,1.0,16.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,6.0,1.0,1.0,8.0
bass guitar,1.0,1.0,15.0,20.0,1.0,10.0,16.0,1.0,17.0,5.0,5.0,1.0,19.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,1.0,1.0,10.0
bassoon,1.0,16.0,2.0,1.0,20.0,1.0,8.0,1.0,1.0,3.0,2.0,1.0,1.0,6.0,1.0,1.0,8.0,5.0,1.0,10.0,12.0,4.0,1.0,1.0,15.0,15.0,1.0
cello,1.0,1.0,10.0,10.0,1.0,20.0,1.0,2.0,15.0,1.0,1.0,1.0,9.0,1.0,10.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0
clarinet,3.0,5.0,1.0,16.0,8.0,1.0,20.0,1.0,5.0,1.0,1.0,9.0,1.0,6.0,1.0,1.0,7.0,5.0,1.0,14.0,16.0,1.0,2.0,1.0,9.0,15.0,1.0
cymbals,1.0,1.0,2.0,1.0,1.0,2.0,1.0,20.0,1.0,14.0,17.0,2.0,1.0,1.0,5.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,9.0,1.0,1.0,3.0,1.0
double bass,1.0,1.0,13.0,17.0,1.0,15.0,5.0,1.0,20.0,6.0,6.0,1.0,5.0,16.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,17.0
drum,1.0,1.0,2.0,5.0,3.0,1.0,1.0,14.0,6.0,20.0,15.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,8.0,2.0,1.0,1.0,6.0,6.0,1.0,2.0,1.0
drum set,1.0,1.0,5.0,5.0,2.0,1.0,1.0,17.0,6.0,15.0,20.0,1.0,2.0,1.0,6.0,3.0,6.0,16.0,5.0,1.0,1.0,8.0,15.0,1.0,4.0,1.0,1.0
flute,5.0,6.0,1.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,20.0,1.0,5.0,1.0,1.0,5.0,17.0,1.0,18.0,5.0,1.0,1.0,1.0,9.0,6.0,1.0
guitar,1.0,1.0,16.0,19.0,1.0,9.0,1.0,1.0,5.0,1.0,2.0,1.0,20.0,1.0,5.0,1.0,1.0,1.0,10.0,1.0,6.0,1.0,5.0,2.0,1.0,1.0,10.0
harmonica,3.0,6.0,1.0,1.0,6.0,1.0,6.0,1.0,16.0,1.0,1.0,5.0,1.0,20.0,1.0,1.0,8.0,13.0,1.0,6.0,7.0,5.0,1.0,1.0,15.0,5.0,1.0
harp,6.0,1.0,5.0,9.0,1.0,10.0,1.0,5.0,16.0,5.0,6.0,1.0,5.0,1.0,20.0,6.0,2.0,1.0,16.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,9.0
harpsichord,12.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,3.0,1.0,1.0,1.0,6.0,20.0,10.0,1.0,18.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
organ,15.0,6.0,1.0,1.0,8.0,1.0,7.0,5.0,1.0,1.0,6.0,5.0,1.0,8.0,2.0,10.0,20.0,12.0,1.0,5.0,8.0,15.0,1.0,1.0,1.0,5.0,5.0
pan flute,8.0,6.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,16.0,17.0,1.0,13.0,1.0,1.0,12.0,20.0,1.0,18.0,17.0,1.0,1.0,1.0,15.0,10.0,2.0
piano,12.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,8.0,5.0,1.0,10.0,1.0,16.0,18.0,1.0,1.0,20.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,2.0
recorder,5.0,10.0,1.0,1.0,10.0,1.0,14.0,1.0,1.0,2.0,1.0,18.0,1.0,6.0,1.0,1.0,5.0,18.0,1.0,20.0,1.0,3.0,1.0,1.0,6.0,10.0,1.0
saxophone,16.0,6.0,5.0,1.0,12.0,1.0,16.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,1.0,1.0,8.0,17.0,1.0,1.0,20.0,1.0,2.0,1.0,15.0,12.0,1.0
synthesizer,5.0,8.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,5.0,1.0,1.0,15.0,1.0,15.0,3.0,1.0,20.0,3.0,1.0,1.0,1.0,1.0
tambourine,1.0,1.0,6.0,6.0,1.0,1.0,2.0,9.0,5.0,6.0,15.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,20.0,1.0,1.0,1.0,1.0
