exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,16.0,17.0,15.0,17.0,16.0,15.0,15.0,14.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0
bagpipe,16.0,20.0,16.0,16.0,15.0,15.0,15.0,14.0,16.0,14.0,15.0,15.0,15.0,14.0,15.0,16.0,15.0,16.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0,14.0,14.0
banjo,15.0,16.0,20.0,16.0,15.0,17.0,14.0,14.0,16.0,14.0,15.0,14.0,16.0,15.0,16.0,14.0,14.0,15.0,15.0,15.0,14.0,15.0,14.0,15.0,14.0,14.0,17.0
bass guitar,15.0,16.0,16.0,20.0,15.0,17.0,14.0,14.0,16.0,13.0,14.0,15.0,19.0,15.0,17.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,14.0,15.0,14.0,17.0
bassoon,15.0,15.0,15.0,15.0,20.0,14.0,18.0,15.0,15.0,15.0,14.0,17.0,14.0,15.0,15.0,14.0,14.0,17.0,15.0,17.0,15.0,13.0,15.0,14.0,17.0,17.0,15.0
cello,15.0,15.0,17.0,17.0,14.0,20.0,15.0,15.0,18.0,15.0,14.0,14.0,17.0,15.0,16.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,17.0
clarinet,15.0,15.0,14.0,14.0,18.0,15.0,20.0,15.0,15.0,14.0,15.0,17.0,14.0,15.0,15.0,15.0,14.0,16.0,15.0,16.0,18.0,15.0,15.0,15.0,16.0,18.0,14.0
cymbals,14.0,14.0,14.0,14.0,15.0,15.0,15.0,20.0,14.0,17.0,15.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0,15.0,15.0,14.0,14.0,17.0,16.0,14.0,14.0,15.0
double bass,15.0,16.0,16.0,16.0,15.0,18.0,15.0,14.0,20.0,14.0,15.0,14.0,17.0,14.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,14.0,14.0,18.0
drum,15.0,14.0,14.0,13.0,15.0,15.0,14.0,17.0,14.0,20.0,18.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,18.0,15.0,14.0,14.0,14.0
drum set,15.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,15.0,18.0,20.0,14.0,15.0,15.0,15.0,16.0,14.0,14.0,15.0,14.0,15.0,15.0,16.0,15.0,15.0,15.0,14.0
flute,15.0,15.0,14.0,15.0,17.0,14.0,17.0,15.0,14.0,15.0,14.0,20.0,15.0,16.0,14.0,15.0,15.0,19.0,15.0,18.0,16.0,15.0,15.0,15.0,16.0,16.0,16.0
guitar,16.0,15.0,16.0,19.0,14.0,17.0,14.0,15.0,17.0,14.0,15.0,15.0,20.0,15.0,17.0,14.0,15.0,14.0,14.0,14.0,14.0,16.0,15.0,15.0,14.0,15.0,17.0
harmonica,17.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,16.0,15.0,20.0,15.0,15.0,16.0,17.0,17.0,14.0,16.0,16.0,15.0,15.0,17.0,15.0,15.0
harp,15.0,15.0,16.0,17.0,15.0,16.0,15.0,14.0,16.0,14.0,15.0,14.0,17.0,15.0,20.0,17.0,15.0,17.0,16.0,15.0,15.0,16.0,15.0,15.0,14.0,14.0,16.0
harpsichord,17.0,16.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,14.0,15.0,17.0,20.0,18.0,15.0,18.0,14.0,15.0,17.0,15.0,15.0,14.0,15.0,15.0
organ,16.0,15.0,14.0,15.0,14.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,16.0,15.0,18.0,20.0,14.0,17.0,15.0,15.0,18.0,15.0,14.0,14.0,15.0,15.0
pan flute,15.0,16.0,15.0,15.0,17.0,14.0,16.0,15.0,15.0,14.0,14.0,19.0,14.0,17.0,17.0,15.0,14.0,20.0,15.0,18.0,17.0,15.0,15.0,14.0,15.0,16.0,15.0
piano,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,17.0,16.0,18.0,17.0,15.0,20.0,15.0,15.0,18.0,15.0,13.0,15.0,14.0,15.0
recorder,14.0,15.0,15.0,14.0,17.0,14.0,16.0,15.0,15.0,15.0,14.0,18.0,14.0,14.0,15.0,14.0,15.0,18.0,15.0,20.0,17.0,15.0,15.0,15.0,16.0,17.0,14.0
saxophone,15.0,14.0,14.0,15.0,15.0,15.0,18.0,14.0,15.0,15.0,15.0,16.0,14.0,16.0,15.0,15.0,15.0,17.0,15.0,17.0,20.0,15.0,16.0,15.0,18.0,18.0,15.0
synthesizer,16.0,14.0,15.0,15.0,13.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,17.0,18.0,15.0,18.0,15.0,15.0,20.0,14.0,15.0,15.0,15.0,15.0
