exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,12.0,11.0,8.0,8.0,8.0,7.0,8.0,11.0,7.0,9.0,8.0,8.0,11.0,8.0,10.0,9.0,9.0,7.0,8.0,9.0,7.0,10.0,11.0,8.0,8.0,10.0
bagpipe,12.0,20.0,6.0,7.0,15.0,8.0,8.0,6.0,6.0,8.0,7.0,9.0,8.0,10.0,6.0,11.0,7.0,7.0,7.0,13.0,9.0,9.0,7.0,5.0,7.0,11.0,8.0
banjo,11.0,6.0,20.0,15.0,7.0,8.0,7.0,7.0,10.0,11.0,7.0,7.0,15.0,8.0,13.0,8.0,8.0,8.0,8.0,7.0,9.0,6.0,10.0,7.0,10.0,8.0,12.0
bass guitar,8.0,7.0,15.0,20.0,7.0,8.0,9.0,10.0,9.0,6.0,6.0,8.0,17.0,10.0,7.0,7.0,8.0,6.0,9.0,7.0,8.0,11.0,7.0,8.0,10.0,9.0,11.0
bassoon,8.0,15.0,7.0,7.0,20.0,8.0,14.0,7.0,6.0,8.0,8.0,12.0,8.0,9.0,7.0,7.0,7.0,11.0,8.0,15.0,13.0,7.0,7.0,8.0,12.0,13.0,9.0
cello,8.0,8.0,8.0,8.0,8.0,20.0,7.0,6.0,14.0,8.0,9.0,7.0,13.0,11.0,13.0,10.0,9.0,9.0,12.0,8.0,8.0,8.0,7.0,6.0,7.0,12.0,12.0
clarinet,7.0,8.0,7.0,9.0,14.0,7.0,20.0,9.0,7.0,7.0,9.0,14.0,9.0,9.0,9.0,8.0,8.0,14.0,7.0,16.0,14.0,9.0,7.0,11.0,11.0,13.0,8.0
cymbals,8.0,6.0,7.0,10.0,7.0,6.0,9.0,20.0,7.0,7.0,15.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,8.0,13.0,8.0,9.0,14.0,6.0,9.0,9.0
double bass,11.0,6.0,10.0,9.0,6.0,14.0,7.0,7.0,20.0,8.0,7.0,8.0,11.0,8.0,8.0,10.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,6.0,8.0,8.0,10.0
drum,7.0,8.0,11.0,6.0,8.0,8.0,7.0,7.0,8.0,20.0,15.0,7.0,10.0,7.0,7.0,9.0,7.0,8.0,7.0,9.0,10.0,8.0,8.0,9.0,7.0,8.0,10.0
drum set,9.0,7.0,7.0,6.0,8.0,9.0,9.0,15.0,7.0,15.0,20.0,9.0,10.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,6.0,7.0,11.0,7.0,12.0,7.0,8.0
flute,8.0,9.0,7.0,8.0,12.0,7.0,14.0,7.0,8.0,7.0,9.0,20.0,8.0,10.0,6.0,8.0,9.0,16.0,10.0,18.0,12.0,6.0,7.0,9.0,14.0,12.0,8.0
guitar,8.0,8.0,15.0,17.0,8.0,13.0,9.0,7.0,11.0,10.0,10.0,8.0,20.0,9.0,9.0,10.0,8.0,6.0,7.0,8.0,10.0,7.0,8.0,8.0,8.0,7.0,12.0
harmonica,11.0,10.0,8.0,10.0,9.0,11.0,9.0,7.0,8.0,7.0,7.0,10.0,9.0,20.0,9.0,8.0,7.0,13.0,8.0,13.0,9.0,7.0,8.0,14.0,7.0,12.0,7.0
harp,8.0,6.0,13.0,7.0,7.0,13.0,9.0,8.0,8.0,7.0,7.0,6.0,9.0,9.0,20.0,12.0,8.0,8.0,12.0,9.0,11.0,8.0,6.0,8.0,10.0,7.0,9.0
harpsichord,10.0,11.0,8.0,7.0,7.0,10.0,8.0,8.0,10.0,9.0,7.0,8.0,10.0,8.0,12.0,20.0,16.0,9.0,14.0,8.0,9.0,4.0,8.0,7.0,7.0,10.0,8.0
organ,9.0,7.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,8.0,16.0,20.0,7.0,16.0,9.0,7.0,16.0,8.0,10.0,7.0,6.0,7.0
pan flute,9.0,7.0,8.0,6.0,11.0,9.0,14.0,7.0,8.0,8.0,7.0,16.0,6.0,13.0,8.0,9.0,7.0,20.0,8.0,13.0,8.0,7.0,9.0,11.0,11.0,11.0,7.0
piano,7.0,7.0,8.0,9.0,8.0,12.0,7.0,6.0,8.0,7.0,9.0,10.0,7.0,8.0,12.0,14.0,16.0,8.0,20.0,10.0,8.0,16.0,7.0,8.0,8.0,8.0,7.0
recorder,8.0,13.0,7.0,7.0,15.0,8.0,16.0,8.0,7.0,9.0,7.0,18.0,8.0,13.0,9.0,8.0,9.0,13.0,10.0,20.0,13.0,8.0,9.0,9.0,11.0,13.0,12.0
saxophone,9.0,9.0,9.0,8.0,13.0,8.0,14.0,13.0,8.0,10.0,6.0,12.0,10.0,9.0,11.0,9.0,7.0,8.0,8.0,13.0,20.0,8.0,12.0,6.0,12.0,15.0,8.0
synthesizer,7.0,9.0,6.0,11.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,8.0,4.0,16.0,7.0,16.0,8.0,8.0,20.0,7.0,7.0,7.0,8.0,7.0
tambourine,10.0,7.0,10.0,7.0,7.0,7.0,7.0,9.0,7.0,8.0,11.0,7.0,8.0,8.0,6.0,8.0,8.0,9.0,7.0,9.0,12.0,7.0,20.0,11.0,7.0,11.0,8.0
triangle,11.0,5.0,7.0,8.0,8.0,6.0,11.0,14.0,6.0,9.0,7.0,9.0,8.0,14.0,8.0,7.0,10.0,11.0,8.0,9.0,6.0,7.0,11.0,20.0,7.0,6.0,8.0
trombone,8.0,7.0,10.0,10.0,12.0,7.0,11.0,6.0,8.0,7.0,12.0,14.0,8.0,7.0,10.0,7.0,7.0,11.0,8.0,11.0,12.0,7.0,7.0,7.0,20.0,17.0,13.0
trumpet,8.0,11.0,8.0,9.0,13.0,12.0,13.0,9.0,8.0,8.0,7.0,12.0,7.0,12.0,7.0,10.0,6.0,11.0,8.0,13.0,15.0,8.0,11.0,6.0,17.0,20.0,10.0
violin,10.0,8.0,12.0,11.0,9.0,12.0,8.0,9.0,10.0,10.0,8.0,8.0,12.0,7.0,9.0,8.0,7.0,7.0,7.0,12.0,8.0,7.0,8.0,8.0,13.0,10.0,20.0
