exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,11.0,9.0,4.0,4.0,3.0,10.0,2.0,2.0,3.0,7.0,3.0,9.0,15.0,2.0,2.0,9.0,6.0,2.0,5.0,11.0,7.0,10.0,2.0,3.0,5.0,2.0
bagpipe,11.0,20.0,2.0,2.0,8.0,2.0,14.0,2.0,2.0,8.0,2.0,4.0,2.0,12.0,2.0,3.0,11.0,6.0,1.0,3.0,2.0,5.0,3.0,2.0,9.0,3.0,1.0
banjo,9.0,2.0,20.0,17.0,3.0,11.0,2.0,4.0,14.0,6.0,3.0,2.0,18.0,12.0,11.0,1.0,2.0,5.0,2.0,3.0,4.0,3.0,17.0,3.0,3.0,3.0,12.0
bass guitar,4.0,2.0,17.0,20.0,1.0,15.0,2.0,2.0,15.0,7.0,5.0,2.0,18.0,4.0,11.0,11.0,1.0,7.0,6.0,2.0,10.0,5.0,4.0,3.0,3.0,2.0,8.0
bassoon,4.0,8.0,3.0,1.0,20.0,3.0,19.0,2.0,11.0,2.0,1.0,17.0,2.0,10.0,3.0,3.0,12.0,4.0,2.0,18.0,17.0,1.0,2.0,2.0,12.0,9.0,5.0
cello,3.0,2.0,11.0,15.0,3.0,20.0,2.0,2.0,11.0,3.0,2.0,3.0,14.0,2.0,14.0,3.0,4.0,2.0,6.0,1.0,2.0,2.0,9.0,3.0,3.0,2.0,17.0
clarinet,10.0,14.0,2.0,2.0,19.0,2.0,20.0,2.0,7.0,2.0,2.0,14.0,2.0,6.0,9.0,2.0,10.0,11.0,2.0,14.0,17.0,2.0,4.0,2.0,14.0,12.0,3.0
cymbals,2.0,2.0,4.0,2.0,2.0,2.0,2.0,20.0,3.0,9.0,10.0,2.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,9.0,17.0,15.0,3.0,1.0,2.0
double bass,2.0,2.0,14.0,15.0,11.0,11.0,7.0,3.0,20.0,5.0,2.0,3.0,16.0,1.0,11.0,9.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,6.0
drum,3.0,8.0,6.0,7.0,2.0,3.0,2.0,9.0,5.0,20.0,15.0,2.0,8.0,4.0,1.0,5.0,4.0,3.0,7.0,1.0,6.0,3.0,15.0,9.0,2.0,3.0,3.0
drum set,7.0,2.0,3.0,5.0,1.0,2.0,2.0,10.0,2.0,15.0,20.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,10.0,13.0,11.0,2.0,2.0,5.0
flute,3.0,4.0,2.0,2.0,17.0,3.0,14.0,2.0,3.0,2.0,2.0,20.0,2.0,14.0,2.0,2.0,11.0,17.0,8.0,16.0,9.0,1.0,3.0,1.0,12.0,3.0,4.0
guitar,9.0,2.0,18.0,18.0,2.0,14.0,2.0,5.0,16.0,8.0,5.0,2.0,20.0,3.0,14.0,9.0,1.0,2.0,2.0,1.0,3.0,3.0,8.0,2.0,7.0,2.0,14.0
harmonica,15.0,12.0,12.0,4.0,10.0,2.0,6.0,3.0,1.0,4.0,3.0,14.0,3.0,20.0,3.0,2.0,9.0,16.0,3.0,9.0,14.0,3.0,10.0,4.0,11.0,11.0,1.0
harp,2.0,2.0,11.0,11.0,3.0,14.0,9.0,1.0,11.0,1.0,2.0,2.0,14.0,3.0,20.0,14.0,3.0,8.0,8.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,16.0
harpsichord,2.0,3.0,1.0,11.0,3.0,3.0,2.0,2.0,9.0,5.0,2.0,2.0,9.0,2.0,14.0,20.0,1.0,2.0,17.0,2.0,2.0,12.0,9.0,2.0,3.0,4.0,13.0
organ,9.0,11.0,2.0,1.0,12.0,4.0,10.0,2.0,4.0,4.0,3.0,11.0,1.0,9.0,3.0,1.0,20.0,11.0,15.0,9.0,10.0,17.0,2.0,1.0,4.0,13.0,3.0
pan flute,6.0,6.0,5.0,7.0,4.0,2.0,11.0,1.0,3.0,3.0,2.0,17.0,2.0,16.0,8.0,2.0,11.0,20.0,2.0,14.0,11.0,2.0,3.0,11.0,4.0,5.0,1.0
piano,2.0,1.0,2.0,6.0,2.0,6.0,2.0,2.0,3.0,7.0,3.0,8.0,2.0,3.0,8.0,17.0,15.0,2.0,20.0,6.0,3.0,14.0,1.0,9.0,2.0,2.0,3.0
recorder,5.0,3.0,3.0,2.0,18.0,1.0,14.0,2.0,2.0,1.0,2.0,16.0,1.0,9.0,2.0,2.0,9.0,14.0,6.0,20.0,5.0,2.0,2.0,3.0,11.0,6.0,2.0
saxophone,11.0,2.0,4.0,10.0,17.0,2.0,17.0,2.0,3.0,6.0,3.0,9.0,3.0,14.0,1.0,2.0,10.0,11.0,3.0,5.0,20.0,5.0,1.0,2.0,16.0,18.0,3.0
synthesizer,7.0,5.0,3.0,5.0,1.0,2.0,2.0,9.0,2.0,3.0,10.0,1.0,3.0,3.0,2.0,12.0,17.0,2.0,14.0,2.0,5.0,20.0,1.0,2.0,2.0,2.0,1.0
tambourine,10.0,3.0,17.0,4.0,2.0,9.0,4.0,17.0,3.0,15.0,13.0,3.0,8.0,10.0,3.0,9.0,2.0,3.0,1.0,2.0,1.0,1.0,20.0,14.0,3.0,4.0,2.0
triangle,2.0,2.0,3.0,3.0,2.0,3.0,2.0,15.0,3.0,9.0,11.0,1.0,2.0,4.0,4.0,2.0,1.0,11.0,9.0,3.0,2.0,2.0,14.0,20.0,2.0,2.0,2.0
trombone,3.0,9.0,3.0,3.0,12.0,3.0,14.0,3.0,2.0,2.0,2.0,12.0,7.0,11.0,2.0,3.0,4.0,4.0,2.0,11.0,16.0,2.0,3.0,2.0,20.0,18.0,8.0
trumpet,5.0,3.0,3.0,2.0,9.0,2.0,12.0,1.0,2.0,3.0,2.0,3.0,2.0,11.0,1.0,4.0,13.0,5.0,2.0,6.0,18.0,2.0,4.0,2.0,18.0,20.0,2.0
violin,2.0,1.0,12.0,8.0,5.0,17.0,3.0,2.0,6.0,3.0,5.0,4.0,14.0,1.0,16.0,13.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,8.0,2.0,20.0
