exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,4.0,7.0,5.0,5.0,6.0,4.0,5.0,7.0,5.0,3.0,5.0,6.0,6.0,8.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,7.0,4.0,5.0
bagpipe,4.0,20.0,5.0,4.0,6.0,3.0,9.0,6.0,7.0,5.0,5.0,9.0,4.0,5.0,7.0,5.0,6.0,6.0,6.0,11.0,7.0,7.0,3.0,8.0,6.0,7.0,6.0
banjo,7.0,5.0,20.0,13.0,6.0,8.0,6.0,6.0,6.0,4.0,7.0,6.0,12.0,3.0,4.0,7.0,5.0,6.0,5.0,6.0,4.0,5.0,7.0,7.0,5.0,6.0,4.0
bass guitar,5.0,4.0,13.0,20.0,5.0,8.0,5.0,5.0,8.0,3.0,4.0,4.0,17.0,6.0,8.0,4.0,6.0,7.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,5.0
bassoon,5.0,6.0,6.0,5.0,20.0,5.0,9.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,5.0,9.0,5.0,13.0,9.0,6.0,5.0,6.0,4.0,9.0,7.0
cello,6.0,3.0,8.0,8.0,5.0,20.0,5.0,7.0,9.0,4.0,5.0,4.0,7.0,6.0,8.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,8.0,6.0,7.0
clarinet,4.0,9.0,6.0,5.0,9.0,5.0,20.0,5.0,4.0,6.0,5.0,9.0,5.0,5.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,8.0,7.0,9.0,9.0,6.0
cymbals,5.0,6.0,6.0,5.0,5.0,7.0,5.0,20.0,4.0,6.0,15.0,4.0,4.0,4.0,8.0,5.0,6.0,7.0,5.0,4.0,5.0,7.0,10.0,9.0,6.0,6.0,7.0
double bass,7.0,7.0,6.0,8.0,5.0,9.0,4.0,4.0,20.0,4.0,6.0,7.0,8.0,5.0,9.0,6.0,6.0,5.0,5.0,3.0,5.0,7.0,6.0,7.0,8.0,7.0,11.0
drum,5.0,5.0,4.0,3.0,5.0,4.0,6.0,6.0,4.0,20.0,4.0,6.0,4.0,4.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,8.0,4.0,7.0,5.0,5.0
drum set,3.0,5.0,7.0,4.0,5.0,5.0,5.0,15.0,6.0,4.0,20.0,3.0,4.0,3.0,6.0,14.0,4.0,6.0,4.0,6.0,5.0,5.0,9.0,6.0,6.0,4.0,5.0
flute,5.0,9.0,6.0,4.0,7.0,4.0,9.0,4.0,7.0,6.0,3.0,20.0,6.0,9.0,5.0,6.0,7.0,13.0,5.0,13.0,7.0,5.0,3.0,7.0,6.0,14.0,4.0
guitar,6.0,4.0,12.0,17.0,6.0,7.0,5.0,4.0,8.0,4.0,4.0,6.0,20.0,4.0,8.0,7.0,7.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,5.0,4.0,8.0
harmonica,6.0,5.0,3.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,3.0,9.0,4.0,20.0,4.0,7.0,6.0,6.0,3.0,6.0,8.0,4.0,7.0,6.0,7.0,6.0,5.0
harp,8.0,7.0,4.0,8.0,6.0,8.0,9.0,8.0,9.0,6.0,6.0,5.0,8.0,4.0,20.0,7.0,7.0,6.0,7.0,5.0,6.0,8.0,6.0,4.0,5.0,5.0,9.0
harpsichord,6.0,5.0,7.0,4.0,6.0,6.0,7.0,5.0,6.0,7.0,14.0,6.0,7.0,7.0,7.0,20.0,7.0,8.0,5.0,5.0,6.0,9.0,6.0,6.0,8.0,4.0,5.0
organ,7.0,6.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,5.0,4.0,7.0,7.0,6.0,7.0,7.0,20.0,4.0,8.0,5.0,8.0,9.0,6.0,5.0,9.0,5.0,6.0
pan flute,6.0,6.0,6.0,7.0,9.0,5.0,7.0,7.0,5.0,6.0,6.0,13.0,6.0,6.0,6.0,8.0,4.0,20.0,6.0,12.0,6.0,6.0,5.0,5.0,7.0,8.0,7.0
piano,6.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,6.0,4.0,5.0,6.0,3.0,7.0,5.0,8.0,6.0,20.0,6.0,6.0,16.0,5.0,6.0,5.0,6.0,5.0
recorder,6.0,11.0,6.0,5.0,13.0,5.0,7.0,4.0,3.0,5.0,6.0,13.0,5.0,6.0,5.0,5.0,5.0,12.0,6.0,20.0,8.0,7.0,6.0,6.0,11.0,14.0,6.0
saxophone,5.0,7.0,4.0,6.0,9.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,6.0,6.0,8.0,6.0,6.0,8.0,20.0,7.0,6.0,6.0,6.0,12.0,13.0
synthesizer,5.0,7.0,5.0,5.0,6.0,6.0,5.0,7.0,7.0,6.0,5.0,5.0,6.0,4.0,8.0,9.0,9.0,6.0,16.0,7.0,7.0,20.0,5.0,6.0,6.0,5.0,5.0
tambourine,6.0,3.0,7.0,5.0,5.0,5.0,8.0,10.0,6.0,8.0,9.0,3.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,20.0,8.0,8.0,5.0,6.0
triangle,5.0,8.0,7.0,6.0,6.0,6.0,7.0,9.0,7.0,4.0,6.0,7.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,8.0,20.0,6.0,4.0,4.0
trombone,7.0,6.0,5.0,5.0,4.0,8.0,9.0,6.0,8.0,7.0,6.0,6.0,5.0,7.0,5.0,8.0,9.0,7.0,5.0,11.0,6.0,6.0,8.0,6.0,20.0,15.0,5.0
trumpet,4.0,7.0,6.0,4.0,9.0,6.0,9.0,6.0,7.0,5.0,4.0,14.0,4.0,6.0,5.0,4.0,5.0,8.0,6.0,14.0,12.0,5.0,5.0,4.0,15.0,20.0,6.0
violin,5.0,6.0,4.0,5.0,7.0,7.0,6.0,7.0,11.0,5.0,5.0,4.0,8.0,5.0,9.0,5.0,6.0,7.0,5.0,6.0,13.0,5.0,6.0,4.0,5.0,6.0,20.0
