exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,10.0,8.0,9.0,5.0,5.0,5.0,7.0,5.0,6.0,4.0,5.0,6.0,11.0,6.0,4.0,8.0,6.0,5.0,5.0,7.0,6.0,7.0,5.0,5.0,5.0,6.0
bagpipe,10.0,20.0,5.0,7.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,11.0,5.0,5.0,6.0,3.0,5.0,4.0,6.0,4.0,5.0,5.0,6.0,7.0,5.0
banjo,8.0,5.0,20.0,15.0,6.0,11.0,6.0,5.0,9.0,6.0,4.0,5.0,18.0,5.0,10.0,7.0,7.0,7.0,5.0,6.0,4.0,4.0,8.0,4.0,4.0,6.0,9.0
bass guitar,9.0,7.0,15.0,20.0,5.0,10.0,7.0,5.0,14.0,5.0,9.0,7.0,17.0,5.0,9.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0,5.0,7.0,7.0,12.0
bassoon,5.0,6.0,6.0,5.0,20.0,5.0,12.0,5.0,5.0,5.0,5.0,7.0,4.0,8.0,5.0,6.0,5.0,6.0,4.0,10.0,11.0,4.0,7.0,4.0,7.0,6.0,6.0
cello,5.0,5.0,11.0,10.0,5.0,20.0,9.0,8.0,17.0,5.0,4.0,6.0,11.0,6.0,8.0,8.0,5.0,5.0,7.0,7.0,5.0,8.0,4.0,4.0,6.0,5.0,18.0
clarinet,5.0,5.0,6.0,7.0,12.0,9.0,20.0,6.0,6.0,5.0,5.0,8.0,9.0,5.0,6.0,7.0,5.0,7.0,4.0,13.0,8.0,5.0,6.0,6.0,7.0,9.0,6.0
cymbals,7.0,5.0,5.0,5.0,5.0,8.0,6.0,20.0,7.0,9.0,11.0,4.0,6.0,6.0,9.0,3.0,6.0,4.0,6.0,8.0,5.0,6.0,14.0,12.0,8.0,6.0,5.0
double bass,5.0,6.0,9.0,14.0,5.0,17.0,6.0,7.0,20.0,4.0,5.0,5.0,7.0,5.0,9.0,8.0,7.0,5.0,11.0,6.0,6.0,4.0,6.0,9.0,6.0,6.0,12.0
drum,6.0,6.0,6.0,5.0,5.0,5.0,5.0,9.0,4.0,20.0,18.0,6.0,6.0,7.0,3.0,6.0,4.0,4.0,5.0,8.0,5.0,6.0,11.0,10.0,6.0,8.0,5.0
drum set,4.0,6.0,4.0,9.0,5.0,4.0,5.0,11.0,5.0,18.0,20.0,5.0,13.0,6.0,5.0,1.0,5.0,4.0,5.0,5.0,6.0,4.0,8.0,7.0,4.0,5.0,7.0
flute,5.0,5.0,5.0,7.0,7.0,6.0,8.0,4.0,5.0,6.0,5.0,20.0,6.0,5.0,6.0,6.0,5.0,12.0,5.0,12.0,7.0,4.0,6.0,4.0,7.0,6.0,6.0
guitar,6.0,5.0,18.0,17.0,4.0,11.0,9.0,6.0,7.0,6.0,13.0,6.0,20.0,7.0,9.0,5.0,4.0,5.0,7.0,5.0,6.0,7.0,9.0,5.0,7.0,7.0,9.0
harmonica,11.0,11.0,5.0,5.0,8.0,6.0,5.0,6.0,5.0,7.0,6.0,5.0,7.0,20.0,4.0,7.0,7.0,7.0,5.0,7.0,7.0,4.0,7.0,6.0,6.0,5.0,5.0
harp,6.0,5.0,10.0,9.0,5.0,8.0,6.0,9.0,9.0,3.0,5.0,6.0,9.0,4.0,20.0,10.0,7.0,7.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,7.0,8.0
harpsichord,4.0,5.0,7.0,5.0,6.0,8.0,7.0,3.0,8.0,6.0,1.0,6.0,5.0,7.0,10.0,20.0,10.0,5.0,19.0,6.0,5.0,13.0,6.0,9.0,5.0,5.0,8.0
organ,8.0,6.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,4.0,5.0,5.0,4.0,7.0,7.0,10.0,20.0,5.0,12.0,10.0,5.0,15.0,5.0,5.0,6.0,4.0,5.0
pan flute,6.0,3.0,7.0,5.0,6.0,5.0,7.0,4.0,5.0,4.0,4.0,12.0,5.0,7.0,7.0,5.0,5.0,20.0,4.0,18.0,6.0,4.0,10.0,8.0,9.0,8.0,6.0
piano,5.0,5.0,5.0,7.0,4.0,7.0,4.0,6.0,11.0,5.0,5.0,5.0,7.0,5.0,5.0,19.0,12.0,4.0,20.0,6.0,5.0,12.0,6.0,7.0,6.0,6.0,7.0
recorder,5.0,4.0,6.0,5.0,10.0,7.0,13.0,8.0,6.0,8.0,5.0,12.0,5.0,7.0,5.0,6.0,10.0,18.0,6.0,20.0,6.0,4.0,7.0,9.0,7.0,10.0,8.0
saxophone,7.0,6.0,4.0,6.0,11.0,5.0,8.0,5.0,6.0,5.0,6.0,7.0,6.0,7.0,6.0,5.0,5.0,6.0,5.0,6.0,20.0,6.0,5.0,4.0,7.0,7.0,4.0
synthesizer,6.0,4.0,4.0,6.0,4.0,8.0,5.0,6.0,4.0,6.0,4.0,4.0,7.0,4.0,4.0,13.0,15.0,4.0,12.0,4.0,6.0,20.0,4.0,4.0,4.0,5.0,4.0
tambourine,7.0,5.0,8.0,5.0,7.0,4.0,6.0,14.0,6.0,11.0,8.0,6.0,9.0,7.0,6.0,6.0,5.0,10.0,6.0,7.0,5.0,4.0,20.0,8.0,6.0,6.0,6.0
triangle,5.0,5.0,4.0,5.0,4.0,4.0,6.0,12.0,9.0,10.0,7.0,4.0,5.0,6.0,6.0,9.0,5.0,8.0,7.0,9.0,4.0,4.0,8.0,20.0,3.0,6.0,5.0
trombone,5.0,6.0,4.0,7.0,7.0,6.0,7.0,8.0,6.0,6.0,4.0,7.0,7.0,6.0,6.0,5.0,6.0,9.0,6.0,7.0,7.0,4.0,6.0,3.0,20.0,13.0,8.0
