exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,13.0,4.0,6.0,,5.0,,6.0,7.0,,4.0,6.0,,,,,,,,,,,,,,,
bagpipe,13.0,20.0,5.0,4.0,,5.0,,6.0,4.0,,5.0,5.0,,,,,,,,,,,,,,,
banjo,4.0,5.0,20.0,16.0,,5.0,,7.0,7.0,,5.0,4.0,,,,,,,,,,,,,,,
bass guitar,6.0,4.0,16.0,20.0,,5.0,,5.0,7.0,,8.0,4.0,,,,,,,,,,,,,,,
bassoon,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
cello,5.0,5.0,5.0,5.0,,20.0,,6.0,5.0,,5.0,8.0,,,,,,,,,,,,,,,
clarinet,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
cymbals,6.0,6.0,7.0,5.0,,6.0,,20.0,5.0,,6.0,4.0,,,,,,,,,,,,,,,
double bass,7.0,4.0,7.0,7.0,,5.0,,5.0,20.0,,5.0,4.0,,,,,,,,,,,,,,,
drum,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
drum set,4.0,5.0,5.0,8.0,,5.0,,6.0,5.0,,20.0,3.0,,,,,,,,,,,,,,,
flute,6.0,5.0,4.0,4.0,,8.0,,4.0,4.0,,3.0,20.0,,,,,,,,,,,,,,,
guitar,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
harmonica,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
harp,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
harpsichord,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
organ,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
pan flute,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
piano,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
recorder,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
saxophone,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
synthesizer,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
tambourine,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
triangle,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
trombone,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
trumpet,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
violin,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
