exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,14.0,8.0,9.0,11.0,8.0,12.0,9.0,13.0,10.0,6.0,11.0,8.0,14.0,10.0,11.0,13.0,8.0,8.0,8.0,11.0,14.0,8.0,7.0,10.0,11.0,10.0
bagpipe,14.0,20.0,8.0,9.0,12.0,7.0,14.0,6.0,10.0,7.0,9.0,15.0,9.0,11.0,9.0,8.0,19.0,9.0,8.0,12.0,11.0,9.0,9.0,7.0,12.0,13.0,11.0
banjo,8.0,8.0,20.0,12.0,8.0,14.0,9.0,9.0,10.0,5.0,7.0,8.0,17.0,12.0,13.0,11.0,10.0,7.0,10.0,5.0,10.0,7.0,8.0,5.0,5.0,8.0,11.0
bass guitar,9.0,9.0,12.0,20.0,12.0,13.0,7.0,8.0,19.0,10.0,5.0,8.0,18.0,9.0,13.0,7.0,9.0,8.0,11.0,5.0,10.0,7.0,5.0,7.0,12.0,11.0,13.0
bassoon,11.0,12.0,8.0,12.0,20.0,9.0,18.0,6.0,11.0,5.0,5.0,12.0,5.0,9.0,11.0,8.0,12.0,13.0,7.0,16.0,15.0,11.0,8.0,6.0,13.0,13.0,11.0
cello,8.0,7.0,14.0,13.0,9.0,20.0,8.0,6.0,17.0,8.0,6.0,8.0,12.0,7.0,12.0,11.0,9.0,8.0,10.0,12.0,11.0,8.0,9.0,6.0,10.0,10.0,18.0
clarinet,12.0,14.0,9.0,7.0,18.0,8.0,20.0,5.0,9.0,8.0,4.0,14.0,7.0,11.0,7.0,8.0,11.0,11.0,11.0,13.0,16.0,5.0,10.0,7.0,13.0,14.0,9.0
cymbals,9.0,6.0,9.0,8.0,6.0,6.0,5.0,20.0,9.0,12.0,12.0,7.0,9.0,8.0,7.0,4.0,8.0,6.0,8.0,8.0,10.0,8.0,14.0,5.0,5.0,8.0,8.0
double bass,13.0,10.0,10.0,19.0,11.0,17.0,9.0,9.0,20.0,8.0,4.0,10.0,15.0,5.0,12.0,8.0,7.0,9.0,11.0,10.0,8.0,6.0,7.0,4.0,12.0,9.0,12.0
drum,10.0,7.0,5.0,10.0,5.0,8.0,8.0,12.0,8.0,20.0,19.0,4.0,8.0,9.0,8.0,5.0,6.0,4.0,10.0,9.0,9.0,8.0,16.0,12.0,8.0,8.0,7.0
drum set,6.0,9.0,7.0,5.0,5.0,6.0,4.0,12.0,4.0,19.0,20.0,6.0,7.0,8.0,5.0,10.0,8.0,5.0,6.0,4.0,4.0,6.0,10.0,10.0,5.0,7.0,3.0
flute,11.0,15.0,8.0,8.0,12.0,8.0,14.0,7.0,10.0,4.0,6.0,20.0,6.0,12.0,8.0,7.0,10.0,16.0,11.0,16.0,12.0,5.0,7.0,8.0,11.0,9.0,7.0
guitar,8.0,9.0,17.0,18.0,5.0,12.0,7.0,9.0,15.0,8.0,7.0,6.0,20.0,6.0,12.0,10.0,8.0,4.0,12.0,11.0,10.0,8.0,9.0,6.0,9.0,9.0,11.0
harmonica,14.0,11.0,12.0,9.0,9.0,7.0,11.0,8.0,5.0,9.0,8.0,12.0,6.0,20.0,7.0,10.0,11.0,14.0,11.0,10.0,11.0,7.0,6.0,11.0,11.0,11.0,7.0
harp,10.0,9.0,13.0,13.0,11.0,12.0,7.0,7.0,12.0,8.0,5.0,8.0,12.0,7.0,20.0,11.0,9.0,7.0,12.0,10.0,10.0,8.0,9.0,7.0,8.0,7.0,1.0
harpsichord,11.0,8.0,11.0,7.0,8.0,11.0,8.0,4.0,8.0,5.0,10.0,7.0,10.0,10.0,11.0,20.0,17.0,8.0,18.0,9.0,9.0,15.0,7.0,7.0,8.0,7.0,9.0
organ,13.0,19.0,10.0,9.0,12.0,9.0,11.0,8.0,7.0,6.0,8.0,10.0,8.0,11.0,9.0,17.0,20.0,12.0,17.0,10.0,13.0,14.0,9.0,6.0,13.0,12.0,9.0
pan flute,8.0,9.0,7.0,8.0,13.0,8.0,11.0,6.0,9.0,4.0,5.0,16.0,4.0,14.0,7.0,8.0,12.0,20.0,7.0,16.0,11.0,8.0,7.0,6.0,13.0,12.0,10.0
piano,8.0,8.0,10.0,11.0,7.0,10.0,11.0,8.0,11.0,10.0,6.0,11.0,12.0,11.0,12.0,18.0,17.0,7.0,20.0,9.0,8.0,17.0,8.0,8.0,10.0,9.0,10.0
recorder,8.0,12.0,5.0,5.0,16.0,12.0,13.0,8.0,10.0,9.0,4.0,16.0,11.0,10.0,10.0,9.0,10.0,16.0,9.0,20.0,14.0,8.0,7.0,8.0,13.0,12.0,9.0
saxophone,11.0,11.0,10.0,10.0,15.0,11.0,16.0,10.0,8.0,9.0,4.0,12.0,10.0,11.0,10.0,9.0,13.0,11.0,8.0,14.0,20.0,9.0,5.0,9.0,14.0,14.0,9.0
synthesizer,14.0,9.0,7.0,7.0,11.0,8.0,5.0,8.0,6.0,8.0,6.0,5.0,8.0,7.0,8.0,15.0,14.0,8.0,17.0,8.0,9.0,20.0,9.0,10.0,11.0,8.0,7.0
