exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,11.0,3.0,5.0,3.0,2.0,5.0,7.0,2.0,9.0,7.0,4.0,2.0,3.0,9.0,5.0,7.0,3.0,5.0,5.0,3.0,6.0,5.0,6.0,5.0,4.0,7.0,6.0,4.0,15.0
airplane,11.0,20.0,6.0,8.0,12.0,11.0,6.0,9.0,6.0,14.0,11.0,6.0,2.0,6.0,14.0,3.0,9.0,8.0,6.0,9.0,8.0,11.0,5.0,8.0,11.0,6.0,10.0,6.0,5.0,14.0
bicycle,3.0,6.0,20.0,8.0,7.0,10.0,9.0,8.0,14.0,4.0,4.0,7.0,11.0,15.0,5.0,18.0,12.0,6.0,7.0,4.0,6.0,9.0,4.0,11.0,9.0,4.0,6.0,3.0,6.0,6.0
boat,5.0,8.0,8.0,20.0,11.0,8.0,4.0,10.0,5.0,7.0,14.0,9.0,2.0,6.0,8.0,7.0,5.0,4.0,5.0,16.0,7.0,5.0,5.0,10.0,7.0,7.0,9.0,5.0,7.0,8.0
bus,3.0,12.0,7.0,11.0,20.0,15.0,7.0,7.0,11.0,5.0,9.0,14.0,6.0,11.0,8.0,11.0,9.0,8.0,5.0,8.0,14.0,13.0,13.0,11.0,12.0,13.0,17.0,15.0,15.0,7.0
car,2.0,11.0,10.0,8.0,15.0,20.0,9.0,8.0,11.0,7.0,7.0,18.0,6.0,14.0,8.0,13.0,14.0,3.0,9.0,9.0,9.0,19.0,15.0,12.0,10.0,11.0,15.0,15.0,18.0,7.0
carriage,5.0,6.0,9.0,4.0,7.0,9.0,20.0,16.0,10.0,6.0,5.0,8.0,5.0,7.0,6.0,6.0,6.0,8.0,13.0,3.0,12.0,6.0,12.0,14.0,7.0,7.0,11.0,9.0,8.0,7.0
cart,7.0,9.0,8.0,10.0,7.0,8.0,16.0,20.0,11.0,5.0,4.0,9.0,13.0,7.0,3.0,8.0,5.0,8.0,10.0,6.0,9.0,8.0,6.0,16.0,11.0,10.0,12.0,7.0,10.0,4.0
go-cart,2.0,6.0,14.0,5.0,11.0,11.0,10.0,11.0,20.0,4.0,3.0,6.0,8.0,6.0,4.0,10.0,7.0,12.0,13.0,5.0,5.0,6.0,6.0,5.0,7.0,5.0,9.0,6.0,10.0,4.0
helicopter,9.0,14.0,4.0,7.0,5.0,7.0,6.0,5.0,4.0,20.0,8.0,6.0,5.0,5.0,11.0,9.0,6.0,3.0,5.0,4.0,7.0,7.0,10.0,6.0,6.0,8.0,4.0,8.0,5.0,12.0
hovercraft,7.0,11.0,4.0,14.0,9.0,7.0,5.0,4.0,3.0,8.0,20.0,7.0,5.0,8.0,12.0,4.0,8.0,4.0,6.0,11.0,4.0,8.0,5.0,6.0,5.0,8.0,10.0,7.0,7.0,10.0
jeep,4.0,6.0,7.0,9.0,14.0,18.0,8.0,9.0,6.0,6.0,7.0,20.0,7.0,8.0,5.0,10.0,10.0,4.0,4.0,5.0,8.0,15.0,14.0,8.0,6.0,7.0,15.0,15.0,16.0,4.0
kick scooter,2.0,2.0,11.0,2.0,6.0,6.0,5.0,13.0,8.0,5.0,5.0,7.0,20.0,13.0,7.0,9.0,10.0,16.0,15.0,2.0,4.0,8.0,5.0,11.0,5.0,7.0,6.0,5.0,3.0,2.0
motorbike (moto),3.0,6.0,15.0,6.0,11.0,14.0,7.0,7.0,6.0,5.0,8.0,8.0,13.0,20.0,9.0,18.0,18.0,6.0,4.0,6.0,7.0,8.0,9.0,5.0,8.0,8.0,14.0,9.0,13.0,9.0
rocket,9.0,14.0,5.0,8.0,8.0,8.0,6.0,3.0,4.0,11.0,12.0,5.0,7.0,9.0,20.0,7.0,9.0,11.0,4.0,12.0,10.0,5.0,9.0,6.0,12.0,10.0,10.0,11.0,9.0,7.0
scooter (bromfiets),5.0,3.0,18.0,7.0,11.0,13.0,6.0,8.0,10.0,9.0,4.0,10.0,9.0,18.0,7.0,20.0,18.0,10.0,11.0,4.0,8.0,9.0,9.0,6.0,7.0,10.0,4.0,7.0,8.0,10.0
