exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
airplane,9.0,20.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,15.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0
bicycle,1.0,1.0,20.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,15.0,2.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
boat,1.0,3.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bus,1.0,2.0,1.0,1.0,20.0,9.0,3.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,4.0,2.0,11.0,10.0,13.0,11.0,14.0,13.0,3.0
car,1.0,2.0,2.0,2.0,9.0,20.0,1.0,2.0,3.0,2.0,1.0,16.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,20.0,2.0,15.0,2.0,5.0,16.0,16.0,16.0,1.0
carriage,1.0,1.0,1.0,1.0,3.0,1.0,20.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,12.0,1.0,5.0,2.0,1.0,1.0
cart,1.0,1.0,1.0,1.0,2.0,2.0,5.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,16.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0
go-cart,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,20.0,1.0,1.0,2.0,3.0,4.0,1.0,6.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0
helicopter,6.0,15.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
