exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,13.0,2.0,4.0,2.0,3.0,12.0,3.0,2.0,10.0,1.0,4.0,3.0,4.0,7.0,4.0,7.0,2.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,15.0
airplane,13.0,20.0,1.0,8.0,8.0,7.0,4.0,2.0,4.0,12.0,13.0,8.0,1.0,7.0,15.0,3.0,6.0,1.0,2.0,7.0,4.0,9.0,3.0,4.0,4.0,5.0,5.0,6.0,5.0,14.0
bicycle,2.0,1.0,20.0,3.0,5.0,7.0,6.0,10.0,13.0,1.0,1.0,4.0,10.0,14.0,3.0,16.0,18.0,6.0,1.0,4.0,7.0,5.0,4.0,3.0,8.0,9.0,2.0,3.0,5.0,4.0
boat,4.0,8.0,3.0,20.0,10.0,5.0,12.0,3.0,2.0,1.0,20.0,4.0,4.0,5.0,4.0,3.0,4.0,8.0,1.0,14.0,4.0,4.0,6.0,10.0,6.0,5.0,13.0,12.0,10.0,4.0
bus,2.0,8.0,5.0,10.0,20.0,15.0,12.0,3.0,7.0,5.0,11.0,11.0,5.0,9.0,10.0,7.0,6.0,1.0,2.0,7.0,15.0,14.0,6.0,14.0,17.0,15.0,17.0,13.0,12.0,11.0
car,3.0,7.0,7.0,5.0,15.0,20.0,10.0,12.0,10.0,2.0,2.0,14.0,7.0,8.0,3.0,2.0,7.0,3.0,4.0,10.0,4.0,20.0,1.0,7.0,7.0,4.0,14.0,11.0,15.0,8.0
carriage,12.0,4.0,6.0,12.0,12.0,10.0,20.0,14.0,13.0,3.0,3.0,14.0,1.0,4.0,2.0,3.0,6.0,2.0,11.0,1.0,8.0,12.0,12.0,17.0,9.0,14.0,8.0,6.0,8.0,3.0
cart,3.0,2.0,10.0,3.0,3.0,12.0,14.0,20.0,9.0,2.0,3.0,6.0,6.0,5.0,1.0,7.0,10.0,11.0,4.0,3.0,7.0,10.0,11.0,12.0,8.0,6.0,6.0,7.0,3.0,4.0
go-cart,2.0,4.0,13.0,2.0,7.0,10.0,13.0,9.0,20.0,2.0,11.0,10.0,10.0,12.0,1.0,7.0,14.0,10.0,2.0,4.0,5.0,6.0,5.0,4.0,7.0,4.0,6.0,8.0,10.0,2.0
helicopter,10.0,12.0,1.0,1.0,5.0,2.0,3.0,2.0,2.0,20.0,3.0,2.0,1.0,4.0,5.0,1.0,4.0,6.0,5.0,1.0,3.0,5.0,4.0,1.0,5.0,6.0,1.0,1.0,6.0,14.0
hovercraft,1.0,13.0,1.0,20.0,11.0,2.0,3.0,3.0,11.0,3.0,20.0,6.0,2.0,5.0,2.0,4.0,6.0,3.0,4.0,12.0,7.0,6.0,5.0,12.0,7.0,7.0,4.0,5.0,5.0,6.0
jeep,4.0,8.0,4.0,4.0,11.0,14.0,14.0,6.0,10.0,2.0,6.0,20.0,3.0,10.0,3.0,7.0,11.0,1.0,4.0,7.0,4.0,16.0,14.0,8.0,6.0,7.0,15.0,14.0,13.0,1.0
kick scooter,3.0,1.0,10.0,4.0,5.0,7.0,1.0,6.0,10.0,1.0,2.0,3.0,20.0,8.0,4.0,13.0,12.0,13.0,13.0,4.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,1.0,6.0,1.0
motorbike (moto),4.0,7.0,14.0,5.0,9.0,8.0,4.0,5.0,12.0,4.0,5.0,10.0,8.0,20.0,3.0,17.0,18.0,7.0,4.0,1.0,4.0,10.0,8.0,7.0,5.0,7.0,4.0,6.0,3.0,4.0
rocket,7.0,15.0,3.0,4.0,10.0,3.0,2.0,1.0,1.0,5.0,2.0,3.0,4.0,3.0,20.0,4.0,6.0,4.0,1.0,13.0,7.0,4.0,2.0,1.0,15.0,4.0,8.0,7.0,4.0,10.0
scooter (bromfiets),4.0,3.0,16.0,3.0,7.0,2.0,3.0,7.0,7.0,1.0,4.0,7.0,13.0,17.0,4.0,20.0,20.0,3.0,3.0,2.0,4.0,7.0,5.0,5.0,2.0,3.0,7.0,4.0,7.0,6.0
scooter (brommer),7.0,6.0,18.0,4.0,6.0,7.0,6.0,10.0,14.0,4.0,6.0,11.0,12.0,18.0,6.0,20.0,20.0,4.0,7.0,1.0,5.0,7.0,5.0,4.0,4.0,7.0,4.0,2.0,3.0,3.0
skateboard,2.0,1.0,6.0,8.0,1.0,3.0,2.0,11.0,10.0,6.0,3.0,1.0,13.0,7.0,4.0,3.0,4.0,20.0,15.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
sled,1.0,2.0,1.0,1.0,2.0,4.0,11.0,4.0,2.0,5.0,4.0,4.0,13.0,4.0,1.0,3.0,7.0,15.0,20.0,1.0,4.0,8.0,2.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0
submarine,3.0,7.0,4.0,14.0,7.0,10.0,1.0,3.0,4.0,1.0,12.0,7.0,4.0,1.0,13.0,2.0,1.0,1.0,1.0,20.0,10.0,4.0,6.0,9.0,14.0,4.0,12.0,6.0,8.0,12.0
subway train,4.0,4.0,7.0,4.0,15.0,4.0,8.0,7.0,5.0,3.0,7.0,4.0,5.0,4.0,7.0,4.0,5.0,1.0,4.0,10.0,20.0,6.0,2.0,14.0,19.0,19.0,6.0,10.0,8.0,1.0
taxi,2.0,9.0,5.0,4.0,14.0,20.0,12.0,10.0,6.0,5.0,6.0,16.0,2.0,10.0,4.0,7.0,7.0,9.0,8.0,4.0,6.0,20.0,5.0,10.0,10.0,7.0,5.0,11.0,13.0,5.0
tractor,4.0,3.0,4.0,6.0,6.0,1.0,12.0,11.0,5.0,4.0,5.0,14.0,2.0,8.0,2.0,5.0,5.0,1.0,2.0,6.0,2.0,5.0,20.0,12.0,6.0,5.0,12.0,15.0,12.0,6.0
