exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,16.0,7.0,8.0,8.0,4.0,12.0,4.0,8.0,15.0,8.0,8.0,7.0,4.0,16.0,7.0,9.0,4.0,6.0,3.0,8.0,8.0,7.0,6.0,4.0,7.0,6.0,9.0,7.0,19.0
airplane,16.0,20.0,8.0,8.0,14.0,11.0,9.0,9.0,2.0,19.0,9.0,8.0,4.0,9.0,16.0,8.0,9.0,5.0,2.0,6.0,8.0,8.0,8.0,8.0,14.0,11.0,7.0,8.0,14.0,16.0
bicycle,7.0,8.0,20.0,8.0,14.0,15.0,18.0,14.0,18.0,7.0,6.0,14.0,17.0,18.0,9.0,19.0,19.0,17.0,6.0,2.0,11.0,14.0,12.0,12.0,11.0,13.0,11.0,12.0,12.0,4.0
boat,8.0,8.0,8.0,20.0,14.0,11.0,7.0,9.0,2.0,3.0,19.0,10.0,4.0,4.0,4.0,5.0,11.0,6.0,4.0,12.0,7.0,2.0,6.0,14.0,9.0,5.0,11.0,11.0,6.0,9.0
bus,8.0,14.0,14.0,14.0,20.0,19.0,14.0,12.0,11.0,8.0,10.0,15.0,10.0,12.0,5.0,14.0,14.0,11.0,9.0,8.0,12.0,17.0,15.0,17.0,16.0,17.0,16.0,17.0,15.0,12.0
car,4.0,11.0,15.0,11.0,19.0,20.0,16.0,14.0,16.0,8.0,6.0,20.0,15.0,18.0,8.0,17.0,18.0,14.0,15.0,6.0,12.0,19.0,18.0,15.0,18.0,15.0,18.0,19.0,19.0,12.0
carriage,12.0,9.0,18.0,7.0,14.0,16.0,20.0,18.0,6.0,7.0,8.0,13.0,12.0,12.0,8.0,14.0,13.0,8.0,9.0,6.0,15.0,17.0,14.0,16.0,12.0,15.0,13.0,14.0,14.0,8.0
cart,4.0,9.0,14.0,9.0,12.0,14.0,18.0,20.0,14.0,7.0,12.0,13.0,11.0,16.0,6.0,12.0,12.0,11.0,14.0,8.0,12.0,14.0,14.0,14.0,14.0,13.0,15.0,14.0,16.0,5.0
go-cart,8.0,2.0,18.0,2.0,11.0,16.0,6.0,14.0,20.0,7.0,4.0,15.0,12.0,8.0,4.0,12.0,14.0,11.0,14.0,6.0,8.0,12.0,11.0,13.0,7.0,12.0,9.0,13.0,12.0,7.0
helicopter,15.0,19.0,7.0,3.0,8.0,8.0,7.0,7.0,7.0,20.0,4.0,5.0,3.0,8.0,17.0,6.0,9.0,4.0,8.0,8.0,5.0,7.0,4.0,6.0,6.0,8.0,7.0,8.0,8.0,15.0
hovercraft,8.0,9.0,6.0,19.0,10.0,6.0,8.0,12.0,4.0,4.0,20.0,5.0,5.0,7.0,7.0,5.0,7.0,5.0,8.0,16.0,8.0,3.0,5.0,8.0,6.0,12.0,8.0,2.0,4.0,12.0
jeep,8.0,8.0,14.0,10.0,15.0,20.0,13.0,13.0,15.0,5.0,5.0,20.0,9.0,14.0,8.0,13.0,14.0,11.0,7.0,7.0,11.0,18.0,15.0,14.0,13.0,9.0,17.0,7.0,18.0,3.0
kick scooter,7.0,4.0,17.0,4.0,10.0,15.0,12.0,11.0,12.0,3.0,5.0,9.0,20.0,17.0,3.0,16.0,14.0,18.0,11.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,6.0,4.0,12.0,4.0
motorbike (moto),4.0,9.0,18.0,4.0,12.0,18.0,12.0,16.0,8.0,8.0,7.0,14.0,17.0,20.0,4.0,18.0,19.0,12.0,9.0,7.0,3.0,14.0,14.0,11.0,7.0,5.0,12.0,15.0,12.0,4.0
rocket,16.0,16.0,9.0,4.0,5.0,8.0,8.0,6.0,4.0,17.0,7.0,8.0,3.0,4.0,20.0,7.0,4.0,2.0,2.0,5.0,3.0,7.0,4.0,4.0,6.0,8.0,5.0,5.0,2.0,15.0
scooter (bromfiets),7.0,8.0,19.0,5.0,14.0,17.0,14.0,12.0,12.0,6.0,5.0,13.0,16.0,18.0,7.0,20.0,19.0,13.0,6.0,6.0,5.0,14.0,14.0,11.0,5.0,9.0,14.0,12.0,11.0,2.0
scooter (brommer),9.0,9.0,19.0,11.0,14.0,18.0,13.0,12.0,14.0,9.0,7.0,14.0,14.0,19.0,4.0,19.0,20.0,11.0,8.0,6.0,10.0,15.0,15.0,7.0,8.0,12.0,13.0,11.0,11.0,9.0
skateboard,4.0,5.0,17.0,6.0,11.0,14.0,8.0,11.0,11.0,4.0,5.0,11.0,18.0,12.0,2.0,13.0,11.0,20.0,16.0,8.0,4.0,11.0,6.0,8.0,2.0,3.0,12.0,12.0,9.0,4.0
sled,6.0,2.0,6.0,4.0,9.0,15.0,9.0,14.0,14.0,8.0,8.0,7.0,11.0,9.0,2.0,6.0,8.0,16.0,20.0,5.0,5.0,9.0,4.0,7.0,12.0,8.0,6.0,8.0,5.0,4.0
submarine,3.0,6.0,2.0,12.0,8.0,6.0,6.0,8.0,6.0,8.0,16.0,7.0,7.0,7.0,5.0,6.0,6.0,8.0,5.0,20.0,8.0,7.0,6.0,4.0,5.0,9.0,9.0,8.0,4.0,5.0
subway train,8.0,8.0,11.0,7.0,12.0,12.0,15.0,12.0,8.0,5.0,8.0,11.0,8.0,3.0,3.0,5.0,10.0,4.0,5.0,8.0,20.0,13.0,7.0,11.0,16.0,19.0,9.0,11.0,13.0,8.0
taxi,8.0,8.0,14.0,2.0,17.0,19.0,17.0,14.0,12.0,7.0,3.0,18.0,8.0,14.0,7.0,14.0,15.0,11.0,9.0,7.0,13.0,20.0,12.0,14.0,15.0,12.0,13.0,11.0,16.0,5.0
tractor,7.0,8.0,12.0,6.0,15.0,18.0,14.0,14.0,11.0,4.0,5.0,15.0,8.0,14.0,4.0,14.0,15.0,6.0,4.0,6.0,7.0,12.0,20.0,13.0,11.0,12.0,14.0,18.0,17.0,7.0
trailer,6.0,8.0,12.0,14.0,17.0,15.0,16.0,14.0,13.0,6.0,8.0,14.0,8.0,11.0,4.0,11.0,7.0,8.0,7.0,4.0,11.0,14.0,13.0,20.0,12.0,11.0,17.0,14.0,16.0,6.0
train,4.0,14.0,11.0,9.0,16.0,18.0,12.0,14.0,7.0,6.0,6.0,13.0,9.0,7.0,6.0,5.0,8.0,2.0,12.0,5.0,16.0,15.0,11.0,12.0,20.0,19.0,9.0,14.0,9.0,8.0
tram,7.0,11.0,13.0,5.0,17.0,15.0,15.0,13.0,12.0,8.0,12.0,9.0,8.0,5.0,8.0,9.0,12.0,3.0,8.0,9.0,19.0,12.0,12.0,11.0,19.0,20.0,12.0,12.0,13.0,4.0
truck (camion),6.0,7.0,11.0,11.0,16.0,18.0,13.0,15.0,9.0,7.0,8.0,17.0,6.0,12.0,5.0,14.0,13.0,12.0,6.0,9.0,9.0,13.0,14.0,17.0,9.0,12.0,20.0,18.0,19.0,4.0
truck (vrachtwagen),9.0,8.0,12.0,11.0,17.0,19.0,14.0,14.0,13.0,8.0,2.0,7.0,4.0,15.0,5.0,12.0,11.0,12.0,8.0,8.0,11.0,11.0,18.0,14.0,14.0,12.0,18.0,20.0,18.0,11.0
van,7.0,14.0,12.0,6.0,15.0,19.0,14.0,16.0,12.0,8.0,4.0,18.0,12.0,12.0,2.0,11.0,11.0,9.0,5.0,4.0,13.0,16.0,17.0,16.0,9.0,13.0,19.0,18.0,20.0,6.0
zeppelin,19.0,16.0,4.0,9.0,12.0,12.0,8.0,5.0,7.0,15.0,12.0,3.0,4.0,4.0,15.0,2.0,9.0,4.0,4.0,5.0,8.0,5.0,7.0,6.0,8.0,4.0,4.0,11.0,6.0,20.0
