exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,9.0,1.0,4.0,4.0,7.0,10.0,8.0,6.0,14.0,9.0,5.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,3.0,9.0,4.0,1.0,4.0,8.0,2.0,11.0,6.0,2.0,17.0
airplane,9.0,20.0,1.0,8.0,13.0,8.0,8.0,2.0,4.0,12.0,7.0,9.0,1.0,6.0,11.0,5.0,4.0,2.0,1.0,5.0,5.0,10.0,5.0,3.0,11.0,4.0,12.0,9.0,12.0,12.0
bicycle,1.0,1.0,20.0,5.0,4.0,2.0,3.0,3.0,6.0,2.0,3.0,2.0,12.0,15.0,2.0,17.0,16.0,4.0,1.0,1.0,2.0,5.0,1.0,5.0,2.0,4.0,4.0,2.0,1.0,2.0
boat,4.0,8.0,5.0,20.0,11.0,5.0,12.0,5.0,2.0,5.0,13.0,2.0,1.0,3.0,6.0,8.0,4.0,3.0,6.0,15.0,9.0,11.0,2.0,9.0,11.0,11.0,6.0,5.0,8.0,3.0
bus,4.0,13.0,4.0,11.0,20.0,14.0,16.0,10.0,5.0,10.0,10.0,11.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,15.0,13.0,8.0,12.0,13.0,16.0,16.0,15.0,12.0,7.0
car,7.0,8.0,2.0,5.0,14.0,20.0,12.0,13.0,11.0,5.0,5.0,18.0,4.0,2.0,6.0,10.0,6.0,6.0,5.0,5.0,11.0,20.0,15.0,2.0,12.0,9.0,16.0,14.0,12.0,7.0
carriage,10.0,8.0,3.0,12.0,16.0,12.0,20.0,15.0,10.0,8.0,14.0,10.0,3.0,5.0,2.0,5.0,5.0,2.0,9.0,8.0,12.0,12.0,11.0,15.0,15.0,13.0,14.0,13.0,9.0,3.0
cart,8.0,2.0,3.0,5.0,10.0,13.0,15.0,20.0,13.0,6.0,3.0,14.0,10.0,2.0,1.0,4.0,6.0,7.0,6.0,1.0,11.0,10.0,11.0,8.0,8.0,13.0,7.0,8.0,9.0,8.0
go-cart,6.0,4.0,6.0,2.0,5.0,11.0,10.0,13.0,20.0,3.0,3.0,12.0,8.0,12.0,2.0,10.0,4.0,12.0,9.0,4.0,5.0,7.0,12.0,5.0,4.0,6.0,2.0,7.0,9.0,1.0
helicopter,14.0,12.0,2.0,5.0,10.0,5.0,8.0,6.0,3.0,20.0,2.0,9.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,8.0,6.0,2.0,10.0,4.0,8.0,7.0,6.0,12.0
hovercraft,9.0,7.0,3.0,13.0,10.0,5.0,14.0,3.0,3.0,2.0,20.0,9.0,1.0,3.0,4.0,4.0,4.0,1.0,4.0,11.0,2.0,8.0,8.0,10.0,10.0,9.0,7.0,9.0,5.0,5.0
jeep,5.0,9.0,2.0,2.0,11.0,18.0,10.0,14.0,12.0,9.0,9.0,20.0,4.0,5.0,4.0,9.0,8.0,9.0,7.0,4.0,7.0,15.0,14.0,9.0,10.0,6.0,16.0,10.0,15.0,4.0
kick scooter,1.0,1.0,12.0,1.0,3.0,4.0,3.0,10.0,8.0,2.0,1.0,4.0,20.0,10.0,1.0,7.0,15.0,16.0,4.0,2.0,2.0,1.0,2.0,5.0,3.0,6.0,3.0,1.0,1.0,1.0
motorbike (moto),4.0,6.0,15.0,3.0,5.0,2.0,5.0,2.0,12.0,4.0,3.0,5.0,10.0,20.0,7.0,17.0,18.0,3.0,4.0,4.0,5.0,11.0,6.0,6.0,3.0,2.0,4.0,12.0,4.0,3.0
rocket,2.0,11.0,2.0,6.0,3.0,6.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,7.0,20.0,4.0,2.0,1.0,1.0,10.0,4.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,8.0
scooter (bromfiets),2.0,5.0,17.0,8.0,5.0,10.0,5.0,4.0,10.0,4.0,4.0,9.0,7.0,17.0,4.0,20.0,19.0,1.0,2.0,2.0,9.0,4.0,5.0,2.0,4.0,5.0,9.0,3.0,7.0,2.0
scooter (brommer),3.0,4.0,16.0,4.0,2.0,6.0,5.0,6.0,4.0,3.0,4.0,8.0,15.0,18.0,2.0,19.0,20.0,1.0,2.0,2.0,4.0,3.0,10.0,2.0,3.0,7.0,4.0,4.0,3.0,2.0
skateboard,4.0,2.0,4.0,3.0,4.0,6.0,2.0,7.0,12.0,1.0,1.0,9.0,16.0,3.0,1.0,1.0,1.0,20.0,12.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,2.0,1.0,1.0
sled,1.0,1.0,1.0,6.0,4.0,5.0,9.0,6.0,9.0,1.0,4.0,7.0,4.0,4.0,1.0,2.0,2.0,12.0,20.0,1.0,5.0,5.0,4.0,4.0,2.0,4.0,6.0,5.0,3.0,1.0
submarine,3.0,5.0,1.0,15.0,3.0,5.0,8.0,1.0,4.0,2.0,11.0,4.0,2.0,4.0,10.0,2.0,2.0,1.0,1.0,20.0,8.0,5.0,6.0,5.0,8.0,5.0,10.0,6.0,8.0,9.0
subway train,9.0,5.0,2.0,9.0,15.0,11.0,12.0,11.0,5.0,3.0,2.0,7.0,2.0,5.0,4.0,9.0,4.0,3.0,5.0,8.0,20.0,12.0,3.0,3.0,15.0,16.0,13.0,11.0,8.0,2.0
taxi,4.0,10.0,5.0,11.0,13.0,20.0,12.0,10.0,7.0,8.0,8.0,15.0,1.0,11.0,3.0,4.0,3.0,4.0,5.0,5.0,12.0,20.0,14.0,6.0,10.0,10.0,12.0,14.0,12.0,9.0
tractor,1.0,5.0,1.0,2.0,8.0,15.0,11.0,11.0,12.0,6.0,8.0,14.0,2.0,6.0,4.0,5.0,10.0,4.0,4.0,6.0,3.0,14.0,20.0,7.0,5.0,5.0,8.0,9.0,13.0,4.0
trailer,4.0,3.0,5.0,9.0,12.0,2.0,15.0,8.0,5.0,2.0,10.0,9.0,5.0,6.0,1.0,2.0,2.0,2.0,4.0,5.0,3.0,6.0,7.0,20.0,11.0,5.0,12.0,7.0,10.0,9.0
train,8.0,11.0,2.0,11.0,13.0,12.0,15.0,8.0,4.0,10.0,10.0,10.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,8.0,15.0,10.0,5.0,11.0,20.0,16.0,12.0,13.0,14.0,8.0
tram,2.0,4.0,4.0,11.0,16.0,9.0,13.0,13.0,6.0,4.0,9.0,6.0,6.0,2.0,1.0,5.0,7.0,4.0,4.0,5.0,16.0,10.0,5.0,5.0,16.0,20.0,10.0,8.0,9.0,7.0
truck (camion),11.0,12.0,4.0,6.0,16.0,16.0,14.0,7.0,2.0,8.0,7.0,16.0,3.0,4.0,2.0,9.0,4.0,2.0,6.0,10.0,13.0,12.0,8.0,12.0,12.0,10.0,20.0,20.0,18.0,9.0
truck (vrachtwagen),6.0,9.0,2.0,5.0,15.0,14.0,13.0,8.0,7.0,7.0,9.0,10.0,1.0,12.0,2.0,3.0,4.0,2.0,5.0,6.0,11.0,14.0,9.0,7.0,13.0,8.0,20.0,20.0,19.0,6.0
van,2.0,12.0,1.0,8.0,12.0,12.0,9.0,9.0,9.0,6.0,5.0,15.0,1.0,4.0,2.0,7.0,3.0,1.0,3.0,8.0,8.0,12.0,13.0,10.0,14.0,9.0,18.0,19.0,20.0,6.0
zeppelin,17.0,12.0,2.0,3.0,7.0,7.0,3.0,8.0,1.0,12.0,5.0,4.0,1.0,3.0,8.0,2.0,2.0,1.0,1.0,9.0,2.0,9.0,4.0,9.0,8.0,7.0,9.0,6.0,6.0,20.0
