exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,14.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,12.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,14.0,18.0
airplane,14.0,20.0,12.0,12.0,11.0,12.0,10.0,10.0,10.0,18.0,9.0,9.0,10.0,11.0,13.0,14.0,11.0,9.0,10.0,10.0,9.0,15.0,9.0,9.0,12.0,11.0,9.0,11.0,11.0,14.0
bicycle,9.0,12.0,20.0,9.0,10.0,11.0,10.0,9.0,13.0,9.0,9.0,9.0,17.0,15.0,8.0,16.0,14.0,13.0,9.0,12.0,9.0,10.0,10.0,9.0,10.0,12.0,10.0,11.0,10.0,12.0
boat,10.0,12.0,9.0,20.0,12.0,9.0,11.0,12.0,10.0,9.0,17.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,18.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,12.0,10.0,16.0
bus,9.0,11.0,10.0,12.0,20.0,14.0,11.0,10.0,13.0,9.0,9.0,14.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,14.0,12.0,13.0,9.0,16.0,15.0,12.0,12.0,13.0,9.0
car,10.0,12.0,11.0,9.0,14.0,20.0,12.0,10.0,14.0,11.0,12.0,18.0,10.0,12.0,9.0,11.0,10.0,11.0,18.0,11.0,9.0,19.0,12.0,13.0,10.0,10.0,15.0,13.0,13.0,8.0
carriage,10.0,10.0,10.0,11.0,11.0,12.0,20.0,12.0,10.0,10.0,10.0,10.0,11.0,9.0,8.0,9.0,11.0,11.0,12.0,9.0,9.0,10.0,13.0,10.0,11.0,10.0,9.0,9.0,13.0,9.0
cart,10.0,10.0,9.0,12.0,10.0,10.0,12.0,20.0,12.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0,13.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0
go-cart,9.0,10.0,13.0,10.0,13.0,14.0,10.0,12.0,20.0,10.0,12.0,11.0,14.0,11.0,14.0,10.0,9.0,14.0,13.0,10.0,10.0,12.0,9.0,11.0,9.0,11.0,11.0,10.0,12.0,8.0
helicopter,12.0,18.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,20.0,13.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,13.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,13.0
hovercraft,9.0,9.0,9.0,17.0,9.0,12.0,10.0,9.0,12.0,13.0,20.0,10.0,9.0,11.0,15.0,9.0,9.0,17.0,9.0,14.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,13.0,8.0,9.0
jeep,9.0,9.0,9.0,10.0,14.0,18.0,10.0,10.0,11.0,9.0,10.0,20.0,12.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,14.0,12.0,10.0,9.0,10.0,18.0,13.0,14.0,9.0
kick scooter,10.0,10.0,17.0,9.0,10.0,10.0,11.0,9.0,14.0,9.0,9.0,12.0,20.0,11.0,9.0,10.0,11.0,14.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0
motorbike (moto),9.0,11.0,15.0,9.0,10.0,12.0,9.0,9.0,11.0,10.0,11.0,11.0,11.0,20.0,16.0,16.0,17.0,12.0,11.0,11.0,9.0,11.0,9.0,9.0,14.0,9.0,9.0,11.0,10.0,13.0
rocket,11.0,13.0,8.0,9.0,9.0,9.0,8.0,10.0,14.0,10.0,15.0,9.0,9.0,16.0,20.0,8.0,10.0,12.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,12.0
scooter (bromfiets),10.0,14.0,16.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,16.0,8.0,20.0,20.0,10.0,10.0,10.0,9.0,10.0,12.0,10.0,9.0,10.0,11.0,11.0,12.0,9.0
scooter (brommer),9.0,11.0,14.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,11.0,17.0,10.0,20.0,20.0,9.0,12.0,11.0,10.0,10.0,10.0,9.0,10.0,13.0,11.0,11.0,11.0,9.0
skateboard,9.0,9.0,13.0,8.0,9.0,11.0,11.0,10.0,14.0,9.0,17.0,9.0,14.0,12.0,12.0,10.0,9.0,20.0,12.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0
sled,10.0,10.0,9.0,9.0,11.0,18.0,12.0,12.0,13.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,12.0,12.0,20.0,9.0,11.0,11.0,9.0,9.0,9.0,9.0,12.0,9.0,10.0,11.0
submarine,10.0,10.0,12.0,18.0,9.0,11.0,9.0,9.0,10.0,11.0,14.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,20.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,12.0
subway train,9.0,9.0,9.0,9.0,14.0,9.0,9.0,10.0,10.0,13.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,20.0,10.0,10.0,10.0,15.0,19.0,10.0,10.0,10.0,10.0
