exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,11.0,4.0,6.0,6.0,5.0,4.0,6.0,5.0,11.0,10.0,5.0,4.0,4.0,8.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,3.0,4.0,6.0,7.0,6.0,5.0,14.0
airplane,11.0,20.0,4.0,6.0,7.0,3.0,7.0,4.0,5.0,12.0,6.0,5.0,4.0,4.0,14.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,7.0,7.0,7.0,5.0,8.0,2.0,9.0
bicycle,4.0,4.0,20.0,5.0,9.0,9.0,9.0,10.0,12.0,4.0,2.0,6.0,15.0,13.0,4.0,11.0,12.0,11.0,6.0,4.0,7.0,3.0,5.0,7.0,8.0,6.0,5.0,8.0,5.0,6.0
boat,6.0,6.0,5.0,20.0,6.0,5.0,6.0,6.0,5.0,6.0,12.0,5.0,4.0,7.0,4.0,5.0,4.0,4.0,1.0,13.0,6.0,8.0,4.0,6.0,5.0,3.0,6.0,9.0,5.0,5.0
bus,6.0,7.0,9.0,6.0,20.0,9.0,6.0,7.0,8.0,5.0,5.0,8.0,5.0,8.0,7.0,7.0,7.0,4.0,7.0,6.0,9.0,10.0,7.0,11.0,6.0,10.0,12.0,11.0,11.0,5.0
car,5.0,3.0,9.0,5.0,9.0,20.0,11.0,13.0,13.0,7.0,5.0,14.0,6.0,6.0,4.0,7.0,8.0,7.0,6.0,6.0,5.0,17.0,11.0,12.0,6.0,6.0,10.0,10.0,13.0,4.0
carriage,4.0,7.0,9.0,6.0,6.0,11.0,20.0,19.0,16.0,3.0,5.0,8.0,8.0,7.0,6.0,6.0,4.0,9.0,14.0,4.0,7.0,14.0,8.0,10.0,9.0,11.0,5.0,10.0,8.0,4.0
cart,6.0,4.0,10.0,6.0,7.0,13.0,19.0,20.0,11.0,5.0,6.0,10.0,14.0,9.0,4.0,9.0,9.0,9.0,12.0,4.0,8.0,13.0,12.0,8.0,6.0,7.0,9.0,7.0,9.0,4.0
go-cart,5.0,5.0,12.0,5.0,8.0,13.0,16.0,11.0,20.0,5.0,4.0,8.0,11.0,6.0,4.0,10.0,6.0,7.0,9.0,4.0,9.0,9.0,8.0,7.0,6.0,8.0,7.0,9.0,7.0,6.0
helicopter,11.0,12.0,4.0,6.0,5.0,7.0,3.0,5.0,5.0,20.0,7.0,7.0,5.0,5.0,11.0,6.0,6.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,6.0,5.0,5.0,12.0,6.0,11.0
hovercraft,10.0,6.0,2.0,12.0,5.0,5.0,5.0,6.0,4.0,7.0,20.0,5.0,5.0,5.0,9.0,4.0,4.0,4.0,5.0,10.0,2.0,2.0,4.0,6.0,9.0,6.0,5.0,5.0,5.0,5.0
jeep,5.0,5.0,6.0,5.0,8.0,14.0,8.0,10.0,8.0,7.0,5.0,20.0,7.0,9.0,5.0,7.0,5.0,7.0,6.0,9.0,5.0,9.0,10.0,8.0,7.0,6.0,12.0,8.0,12.0,6.0
kick scooter,4.0,4.0,15.0,4.0,5.0,6.0,8.0,14.0,11.0,5.0,5.0,7.0,20.0,7.0,4.0,8.0,8.0,18.0,9.0,4.0,4.0,6.0,5.0,3.0,6.0,6.0,3.0,5.0,5.0,4.0
motorbike (moto),4.0,4.0,13.0,7.0,8.0,6.0,7.0,9.0,6.0,5.0,5.0,9.0,7.0,20.0,5.0,15.0,19.0,10.0,5.0,5.0,5.0,11.0,9.0,6.0,5.0,6.0,4.0,7.0,6.0,5.0
rocket,8.0,14.0,4.0,4.0,7.0,4.0,6.0,4.0,4.0,11.0,9.0,5.0,4.0,5.0,20.0,5.0,6.0,4.0,7.0,5.0,7.0,4.0,4.0,5.0,10.0,7.0,3.0,6.0,2.0,10.0
scooter (bromfiets),6.0,5.0,11.0,5.0,7.0,7.0,6.0,9.0,10.0,6.0,4.0,7.0,8.0,15.0,5.0,20.0,19.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,9.0,5.0,5.0,6.0
scooter (brommer),5.0,6.0,12.0,4.0,7.0,8.0,4.0,9.0,6.0,6.0,4.0,5.0,8.0,19.0,6.0,19.0,20.0,7.0,2.0,5.0,5.0,9.0,10.0,9.0,7.0,8.0,7.0,5.0,7.0,4.0
skateboard,5.0,4.0,11.0,4.0,4.0,7.0,9.0,9.0,7.0,5.0,4.0,7.0,18.0,10.0,4.0,6.0,7.0,20.0,10.0,4.0,5.0,8.0,4.0,6.0,4.0,6.0,4.0,1.0,4.0,4.0
sled,6.0,5.0,6.0,1.0,7.0,6.0,14.0,12.0,9.0,4.0,5.0,6.0,9.0,5.0,7.0,5.0,2.0,10.0,20.0,3.0,6.0,7.0,2.0,8.0,3.0,7.0,6.0,7.0,5.0,5.0
