exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,5.0,5.0,7.0,6.0,12.0,5.0,6.0,7.0,6.0,4.0,6.0,4.0,6.0,10.0,8.0,6.0,7.0,5.0,5.0
bazooka,5.0,20.0,4.0,13.0,5.0,5.0,13.0,13.0,5.0,12.0,13.0,16.0,4.0,7.0,6.0,6.0,4.0,6.0,14.0,6.0
bow,5.0,4.0,20.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,4.0,9.0,5.0,12.0,5.0,6.0,5.0,7.0
canon,7.0,13.0,5.0,20.0,6.0,7.0,13.0,10.0,5.0,12.0,13.0,13.0,5.0,5.0,5.0,6.0,4.0,5.0,14.0,4.0
club,6.0,5.0,5.0,6.0,20.0,5.0,5.0,8.0,8.0,5.0,6.0,9.0,8.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0
dagger,12.0,5.0,7.0,7.0,5.0,20.0,5.0,5.0,4.0,5.0,6.0,8.0,4.0,6.0,5.0,8.0,8.0,14.0,5.0,4.0
double-barreled shotgun,5.0,13.0,5.0,13.0,5.0,5.0,20.0,9.0,5.0,10.0,13.0,16.0,7.0,5.0,8.0,5.0,5.0,7.0,13.0,4.0
grenade,6.0,13.0,5.0,10.0,8.0,5.0,9.0,20.0,8.0,10.0,10.0,9.0,4.0,5.0,8.0,6.0,4.0,5.0,8.0,5.0
knuckle dusters,7.0,5.0,5.0,5.0,8.0,4.0,5.0,8.0,20.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0
machine gun,6.0,12.0,7.0,12.0,5.0,5.0,10.0,10.0,5.0,20.0,9.0,12.0,5.0,12.0,5.0,5.0,10.0,7.0,13.0,12.0
pistol,4.0,13.0,5.0,13.0,6.0,6.0,13.0,10.0,5.0,9.0,20.0,16.0,4.0,8.0,10.0,5.0,4.0,6.0,8.0,5.0
rifle,6.0,16.0,7.0,13.0,9.0,8.0,16.0,9.0,6.0,12.0,16.0,20.0,4.0,4.0,8.0,8.0,5.0,9.0,10.0,4.0
rope,4.0,4.0,4.0,5.0,8.0,4.0,7.0,4.0,4.0,5.0,4.0,4.0,20.0,4.0,10.0,5.0,5.0,5.0,4.0,13.0
shield,6.0,7.0,9.0,5.0,5.0,6.0,5.0,5.0,6.0,12.0,8.0,4.0,4.0,20.0,5.0,9.0,5.0,6.0,4.0,5.0
slingshot,10.0,6.0,5.0,5.0,6.0,5.0,8.0,8.0,5.0,5.0,10.0,8.0,10.0,5.0,20.0,8.0,9.0,8.0,6.0,7.0
spear,8.0,6.0,12.0,6.0,5.0,8.0,5.0,6.0,5.0,5.0,5.0,8.0,5.0,9.0,8.0,20.0,14.0,10.0,5.0,6.0
stick,6.0,4.0,5.0,4.0,5.0,8.0,5.0,4.0,6.0,10.0,4.0,5.0,5.0,5.0,9.0,14.0,20.0,8.0,4.0,13.0
sword,7.0,6.0,6.0,5.0,5.0,14.0,7.0,5.0,5.0,7.0,6.0,9.0,5.0,6.0,8.0,10.0,8.0,20.0,5.0,7.0
tank,5.0,14.0,5.0,14.0,5.0,5.0,13.0,8.0,5.0,13.0,8.0,10.0,4.0,4.0,6.0,5.0,4.0,5.0,20.0,4.0
whip,5.0,6.0,7.0,4.0,6.0,4.0,4.0,5.0,6.0,12.0,5.0,4.0,13.0,5.0,7.0,6.0,13.0,7.0,4.0,20.0
