exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,14.0,17.0,16.0,18.0,18.0,12.0,12.0,16.0,10.0,12.0,14.0,10.0,18.0,16.0,18.0,18.0,18.0,16.0,17.0
bazooka,14.0,20.0,8.0,17.0,14.0,12.0,14.0,18.0,16.0,18.0,14.0,16.0,7.0,7.0,18.0,12.0,8.0,5.0,17.0,12.0
bow,17.0,8.0,20.0,16.0,11.0,19.0,13.0,17.0,12.0,13.0,15.0,14.0,18.0,19.0,17.0,19.0,10.0,18.0,17.0,15.0
canon,16.0,17.0,16.0,20.0,11.0,14.0,15.0,18.0,12.0,18.0,17.0,14.0,13.0,17.0,18.0,14.0,12.0,11.0,18.0,7.0
club,18.0,14.0,11.0,11.0,20.0,18.0,16.0,14.0,16.0,14.0,17.0,14.0,17.0,18.0,16.0,18.0,20.0,13.0,12.0,13.0
dagger,18.0,12.0,19.0,14.0,18.0,20.0,12.0,12.0,18.0,16.0,15.0,14.0,12.0,19.0,17.0,19.0,12.0,19.0,11.0,17.0
double-barreled shotgun,12.0,14.0,13.0,15.0,16.0,12.0,20.0,16.0,11.0,18.0,17.0,19.0,11.0,11.0,18.0,11.0,14.0,14.0,16.0,12.0
grenade,12.0,18.0,17.0,18.0,14.0,12.0,16.0,20.0,17.0,15.0,19.0,17.0,8.0,14.0,16.0,13.0,12.0,12.0,18.0,12.0
knuckle dusters,16.0,16.0,12.0,12.0,16.0,18.0,11.0,17.0,20.0,18.0,18.0,13.0,11.0,12.0,11.0,10.0,12.0,14.0,15.0,13.0
machine gun,10.0,18.0,13.0,18.0,14.0,16.0,18.0,15.0,18.0,20.0,19.0,18.0,7.0,10.0,17.0,16.0,12.0,15.0,19.0,11.0
pistol,12.0,14.0,15.0,17.0,17.0,15.0,17.0,19.0,18.0,19.0,20.0,16.0,14.0,13.0,6.0,14.0,14.0,14.0,18.0,16.0
rifle,14.0,16.0,14.0,14.0,14.0,14.0,19.0,17.0,13.0,18.0,16.0,20.0,17.0,15.0,17.0,18.0,13.0,12.0,13.0,14.0
rope,10.0,7.0,18.0,13.0,17.0,12.0,11.0,8.0,11.0,7.0,14.0,17.0,20.0,14.0,17.0,12.0,19.0,12.0,12.0,18.0
shield,18.0,7.0,19.0,17.0,18.0,19.0,11.0,14.0,12.0,10.0,13.0,15.0,14.0,20.0,15.0,20.0,19.0,20.0,13.0,17.0
slingshot,16.0,18.0,17.0,18.0,16.0,17.0,18.0,16.0,11.0,17.0,6.0,17.0,17.0,15.0,20.0,19.0,14.0,16.0,16.0,16.0
spear,18.0,12.0,19.0,14.0,18.0,19.0,11.0,13.0,10.0,16.0,14.0,18.0,12.0,20.0,19.0,20.0,18.0,17.0,11.0,11.0
stick,18.0,8.0,10.0,12.0,20.0,12.0,14.0,12.0,12.0,12.0,14.0,13.0,19.0,19.0,14.0,18.0,20.0,17.0,8.0,16.0
sword,18.0,5.0,18.0,11.0,13.0,19.0,14.0,12.0,14.0,15.0,14.0,12.0,12.0,20.0,16.0,17.0,17.0,20.0,16.0,19.0
tank,16.0,17.0,17.0,18.0,12.0,11.0,16.0,18.0,15.0,19.0,18.0,13.0,12.0,13.0,16.0,11.0,8.0,16.0,20.0,11.0
whip,17.0,12.0,15.0,7.0,13.0,17.0,12.0,12.0,13.0,11.0,16.0,14.0,18.0,17.0,16.0,11.0,16.0,19.0,11.0,20.0
