exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,20.0,20.0,1.0,1.0
bazooka,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,15.0,1.0,1.0,15.0,1.0,1.0,20.0,20.0,1.0
bow,1.0,1.0,20.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,20.0,1.0,20.0,20.0,20.0,1.0,1.0,1.0
canon,1.0,20.0,10.0,20.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0
club,1.0,1.0,1.0,1.0,20.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,20.0,20.0,15.0,1.0,1.0
dagger,15.0,1.0,2.0,1.0,1.0,20.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,15.0,1.0,20.0,1.0,1.0
double-barreled shotgun,1.0,1.0,1.0,1.0,10.0,1.0,20.0,1.0,1.0,20.0,15.0,20.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0
grenade,1.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0
knuckle dusters,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
machine gun,1.0,10.0,1.0,1.0,1.0,10.0,20.0,1.0,15.0,20.0,15.0,15.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,10.0
pistol,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,15.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rifle,1.0,15.0,10.0,1.0,1.0,2.0,20.0,1.0,1.0,15.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
rope,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0
shield,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0,1.0
slingshot,1.0,15.0,20.0,15.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0
spear,20.0,1.0,20.0,1.0,20.0,15.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,1.0,1.0
stick,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,1.0,1.0,1.0
sword,20.0,20.0,1.0,1.0,15.0,20.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,20.0,1.0,20.0,1.0,20.0,1.0,1.0
tank,1.0,20.0,1.0,1.0,1.0,1.0,5.0,20.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0
whip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
