exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,7.0,3.0,1.0,8.0,9.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,9.0,10.0,9.0,1.0,4.0
bazooka,7.0,20.0,1.0,11.0,6.0,1.0,15.0,7.0,2.0,16.0,10.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0
bow,3.0,1.0,20.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,8.0,4.0,12.0,11.0,7.0,3.0,1.0,9.0
canon,1.0,11.0,1.0,20.0,1.0,1.0,10.0,8.0,1.0,8.0,7.0,15.0,1.0,1.0,2.0,1.0,3.0,1.0,17.0,1.0
club,8.0,6.0,5.0,1.0,20.0,3.0,8.0,1.0,8.0,1.0,2.0,2.0,2.0,10.0,8.0,8.0,18.0,11.0,1.0,4.0
dagger,9.0,1.0,2.0,1.0,3.0,20.0,2.0,5.0,2.0,1.0,3.0,4.0,1.0,7.0,4.0,11.0,5.0,11.0,2.0,5.0
double-barreled shotgun,2.0,15.0,4.0,10.0,8.0,2.0,20.0,4.0,1.0,11.0,18.0,18.0,1.0,1.0,7.0,5.0,1.0,8.0,3.0,1.0
grenade,1.0,7.0,1.0,8.0,1.0,5.0,4.0,20.0,1.0,7.0,6.0,6.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0
knuckle dusters,1.0,2.0,1.0,1.0,8.0,2.0,1.0,1.0,20.0,1.0,2.0,4.0,3.0,9.0,1.0,4.0,3.0,4.0,1.0,4.0
machine gun,1.0,16.0,1.0,8.0,1.0,1.0,11.0,7.0,1.0,20.0,17.0,18.0,1.0,1.0,4.0,7.0,1.0,3.0,10.0,1.0
pistol,1.0,10.0,3.0,7.0,2.0,3.0,18.0,6.0,2.0,17.0,20.0,18.0,1.0,1.0,9.0,2.0,1.0,1.0,5.0,1.0
rifle,3.0,11.0,2.0,15.0,2.0,4.0,18.0,6.0,4.0,18.0,18.0,20.0,1.0,2.0,3.0,10.0,2.0,4.0,6.0,1.0
rope,1.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,20.0,1.0,8.0,2.0,13.0,2.0,1.0,12.0
shield,2.0,1.0,4.0,1.0,10.0,7.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,20.0,1.0,7.0,10.0,8.0,8.0,3.0
slingshot,5.0,1.0,12.0,2.0,8.0,4.0,7.0,9.0,1.0,4.0,9.0,3.0,8.0,1.0,20.0,5.0,7.0,6.0,1.0,4.0
spear,9.0,1.0,11.0,1.0,8.0,11.0,5.0,10.0,4.0,7.0,2.0,10.0,2.0,7.0,5.0,20.0,10.0,7.0,1.0,7.0
stick,10.0,1.0,7.0,3.0,18.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,13.0,10.0,7.0,10.0,20.0,5.0,1.0,7.0
sword,9.0,1.0,3.0,1.0,11.0,11.0,8.0,1.0,4.0,3.0,1.0,4.0,2.0,8.0,6.0,7.0,5.0,20.0,1.0,10.0
tank,1.0,8.0,1.0,17.0,1.0,2.0,3.0,6.0,1.0,10.0,5.0,6.0,1.0,8.0,1.0,1.0,1.0,1.0,20.0,1.0
whip,4.0,1.0,9.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,12.0,3.0,4.0,7.0,7.0,10.0,1.0,20.0
