exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,5.0,4.0,4.0,12.0,12.0,5.0,7.0,7.0,6.0,5.0,6.0,4.0,5.0,5.0,7.0,9.0,10.0,6.0,4.0
bazooka,5.0,20.0,3.0,14.0,6.0,5.0,10.0,6.0,4.0,9.0,10.0,9.0,4.0,2.0,10.0,4.0,5.0,6.0,10.0,4.0
bow,4.0,3.0,20.0,8.0,5.0,5.0,8.0,3.0,4.0,5.0,8.0,4.0,8.0,2.0,9.0,7.0,8.0,7.0,5.0,10.0
canon,4.0,14.0,8.0,20.0,3.0,3.0,10.0,7.0,7.0,9.0,8.0,11.0,4.0,2.0,10.0,8.0,7.0,4.0,10.0,8.0
club,12.0,6.0,5.0,3.0,20.0,9.0,8.0,6.0,8.0,7.0,8.0,8.0,6.0,5.0,9.0,8.0,11.0,12.0,3.0,11.0
dagger,12.0,5.0,5.0,3.0,9.0,20.0,4.0,4.0,8.0,6.0,5.0,6.0,5.0,2.0,6.0,11.0,12.0,13.0,3.0,6.0
double-barreled shotgun,5.0,10.0,8.0,10.0,8.0,4.0,20.0,4.0,5.0,10.0,12.0,16.0,3.0,6.0,6.0,7.0,8.0,7.0,8.0,5.0
grenade,7.0,6.0,3.0,7.0,6.0,4.0,4.0,20.0,4.0,7.0,8.0,5.0,3.0,3.0,5.0,4.0,6.0,5.0,2.0,6.0
knuckle dusters,7.0,4.0,4.0,7.0,8.0,8.0,5.0,4.0,20.0,6.0,4.0,4.0,7.0,3.0,5.0,4.0,6.0,7.0,6.0,5.0
machine gun,6.0,9.0,5.0,9.0,7.0,6.0,10.0,7.0,6.0,20.0,9.0,14.0,7.0,4.0,9.0,7.0,7.0,7.0,8.0,7.0
pistol,5.0,10.0,8.0,8.0,8.0,5.0,12.0,8.0,4.0,9.0,20.0,15.0,3.0,3.0,7.0,6.0,7.0,6.0,8.0,5.0
rifle,6.0,9.0,4.0,11.0,8.0,6.0,16.0,5.0,4.0,14.0,15.0,20.0,6.0,4.0,6.0,8.0,5.0,6.0,6.0,4.0
rope,4.0,4.0,8.0,4.0,6.0,5.0,3.0,3.0,7.0,7.0,3.0,6.0,20.0,5.0,9.0,8.0,6.0,8.0,3.0,17.0
shield,5.0,2.0,2.0,2.0,5.0,2.0,6.0,3.0,3.0,4.0,3.0,4.0,5.0,20.0,8.0,2.0,9.0,4.0,3.0,4.0
slingshot,5.0,10.0,9.0,10.0,9.0,6.0,6.0,5.0,5.0,9.0,7.0,6.0,9.0,8.0,20.0,13.0,8.0,7.0,8.0,11.0
spear,7.0,4.0,7.0,8.0,8.0,11.0,7.0,4.0,4.0,7.0,6.0,8.0,8.0,2.0,13.0,20.0,9.0,8.0,6.0,7.0
stick,9.0,5.0,8.0,7.0,11.0,12.0,8.0,6.0,6.0,7.0,7.0,5.0,6.0,9.0,8.0,9.0,20.0,9.0,5.0,8.0
sword,10.0,6.0,7.0,4.0,12.0,13.0,7.0,5.0,7.0,7.0,6.0,6.0,8.0,4.0,7.0,8.0,9.0,20.0,3.0,9.0
tank,6.0,10.0,5.0,10.0,3.0,3.0,8.0,2.0,6.0,8.0,8.0,6.0,3.0,3.0,8.0,6.0,5.0,3.0,20.0,3.0
whip,4.0,4.0,10.0,8.0,11.0,6.0,5.0,6.0,5.0,7.0,5.0,4.0,17.0,4.0,11.0,7.0,8.0,9.0,3.0,20.0
