exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,3.0,2.0,2.0,3.0,9.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,18.0,2.0,1.0
bazooka,3.0,20.0,2.0,19.0,2.0,1.0,12.0,14.0,2.0,6.0,10.0,5.0,2.0,1.0,9.0,3.0,2.0,1.0,10.0,2.0
bow,2.0,2.0,20.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,10.0,2.0,14.0,2.0,10.0,2.0,2.0,2.0
canon,2.0,19.0,2.0,20.0,2.0,2.0,12.0,10.0,2.0,8.0,10.0,10.0,2.0,4.0,12.0,5.0,2.0,5.0,16.0,1.0
club,3.0,2.0,5.0,2.0,20.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,16.0,3.0,2.0,2.0
dagger,9.0,1.0,2.0,2.0,2.0,20.0,1.0,5.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,10.0,8.0,15.0,2.0,2.0
double-barreled shotgun,2.0,12.0,2.0,12.0,2.0,1.0,20.0,2.0,3.0,14.0,15.0,15.0,2.0,5.0,5.0,2.0,4.0,3.0,12.0,2.0
grenade,2.0,14.0,2.0,10.0,2.0,5.0,2.0,20.0,3.0,8.0,8.0,5.0,2.0,4.0,5.0,2.0,2.0,2.0,15.0,2.0
knuckle dusters,4.0,2.0,5.0,2.0,2.0,5.0,3.0,3.0,20.0,2.0,5.0,5.0,2.0,12.0,2.0,2.0,2.0,4.0,5.0,2.0
machine gun,5.0,6.0,2.0,8.0,1.0,2.0,14.0,8.0,2.0,20.0,16.0,9.0,1.0,2.0,2.0,3.0,2.0,5.0,9.0,2.0
pistol,2.0,10.0,2.0,10.0,2.0,2.0,15.0,8.0,5.0,16.0,20.0,15.0,2.0,5.0,12.0,2.0,2.0,1.0,15.0,2.0
rifle,2.0,5.0,2.0,10.0,2.0,3.0,15.0,5.0,5.0,9.0,15.0,20.0,2.0,5.0,12.0,3.0,2.0,2.0,13.0,2.0
rope,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,20.0,2.0,5.0,2.0,3.0,2.0,2.0,12.0
shield,4.0,1.0,2.0,4.0,2.0,5.0,5.0,4.0,12.0,2.0,5.0,5.0,2.0,20.0,2.0,2.0,2.0,16.0,5.0,2.0
slingshot,2.0,9.0,14.0,12.0,2.0,2.0,5.0,5.0,2.0,2.0,12.0,12.0,5.0,2.0,20.0,5.0,4.0,2.0,3.0,2.0
spear,2.0,3.0,2.0,5.0,6.0,10.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,20.0,11.0,6.0,4.0,2.0
stick,5.0,2.0,10.0,2.0,16.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,11.0,20.0,16.0,14.0,2.0
sword,18.0,1.0,2.0,5.0,3.0,15.0,3.0,2.0,4.0,5.0,1.0,2.0,2.0,16.0,2.0,6.0,16.0,20.0,4.0,1.0
tank,2.0,10.0,2.0,16.0,2.0,2.0,12.0,15.0,5.0,9.0,15.0,13.0,2.0,5.0,3.0,4.0,14.0,4.0,20.0,2.0
whip,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,2.0,2.0,2.0,1.0,2.0,20.0
