exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,12.0,9.0,13.0,14.0,18.0,16.0,18.0,12.0,13.0,11.0,12.0,3.0,5.0,16.0,14.0,15.0,14.0,5.0,15.0
bazooka,12.0,20.0,15.0,17.0,12.0,12.0,15.0,11.0,11.0,1.0,15.0,15.0,2.0,4.0,16.0,15.0,4.0,15.0,11.0,5.0
bow,9.0,15.0,20.0,12.0,11.0,11.0,15.0,11.0,13.0,12.0,15.0,16.0,11.0,5.0,18.0,11.0,13.0,16.0,5.0,12.0
canon,13.0,17.0,12.0,20.0,15.0,8.0,4.0,7.0,16.0,15.0,16.0,12.0,7.0,2.0,11.0,11.0,4.0,15.0,18.0,5.0
club,14.0,12.0,11.0,15.0,20.0,11.0,13.0,11.0,10.0,11.0,10.0,15.0,6.0,4.0,6.0,4.0,19.0,15.0,10.0,10.0
dagger,18.0,12.0,11.0,8.0,11.0,20.0,13.0,15.0,12.0,10.0,16.0,12.0,10.0,8.0,12.0,16.0,12.0,18.0,10.0,10.0
double-barreled shotgun,16.0,15.0,15.0,4.0,13.0,13.0,20.0,3.0,12.0,15.0,15.0,15.0,10.0,6.0,15.0,12.0,10.0,15.0,10.0,1.0
grenade,18.0,11.0,11.0,7.0,11.0,15.0,3.0,20.0,13.0,13.0,10.0,13.0,1.0,12.0,12.0,13.0,8.0,15.0,12.0,6.0
knuckle dusters,12.0,11.0,13.0,16.0,10.0,12.0,12.0,13.0,20.0,11.0,13.0,15.0,7.0,5.0,14.0,13.0,12.0,14.0,12.0,10.0
machine gun,13.0,1.0,12.0,15.0,11.0,10.0,15.0,13.0,11.0,20.0,15.0,16.0,6.0,8.0,17.0,15.0,2.0,15.0,3.0,5.0
pistol,11.0,15.0,15.0,16.0,10.0,16.0,15.0,10.0,13.0,15.0,20.0,19.0,3.0,3.0,15.0,15.0,13.0,5.0,11.0,12.0
rifle,12.0,15.0,16.0,12.0,15.0,12.0,15.0,13.0,15.0,16.0,19.0,20.0,5.0,5.0,15.0,14.0,16.0,17.0,10.0,7.0
rope,3.0,2.0,11.0,7.0,6.0,10.0,10.0,1.0,7.0,6.0,3.0,5.0,20.0,2.0,5.0,6.0,14.0,2.0,5.0,5.0
shield,5.0,4.0,5.0,2.0,4.0,8.0,6.0,12.0,5.0,8.0,3.0,5.0,2.0,20.0,8.0,6.0,6.0,4.0,10.0,5.0
slingshot,16.0,16.0,18.0,11.0,6.0,12.0,15.0,12.0,14.0,17.0,15.0,15.0,5.0,8.0,20.0,3.0,11.0,15.0,12.0,12.0
spear,14.0,15.0,11.0,11.0,4.0,16.0,12.0,13.0,13.0,15.0,15.0,14.0,6.0,6.0,3.0,20.0,18.0,12.0,16.0,5.0
stick,15.0,4.0,13.0,4.0,19.0,12.0,10.0,8.0,12.0,2.0,13.0,16.0,14.0,6.0,11.0,18.0,20.0,5.0,7.0,11.0
sword,14.0,15.0,16.0,15.0,15.0,18.0,15.0,15.0,14.0,15.0,5.0,17.0,2.0,4.0,15.0,12.0,5.0,20.0,11.0,13.0
tank,5.0,11.0,5.0,18.0,10.0,10.0,10.0,12.0,12.0,3.0,11.0,10.0,5.0,10.0,12.0,16.0,7.0,11.0,20.0,7.0
whip,15.0,5.0,12.0,5.0,10.0,10.0,1.0,6.0,10.0,5.0,12.0,7.0,5.0,5.0,12.0,5.0,11.0,13.0,7.0,20.0
