exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,,,,,,,,,,,,,,,,,,,
bazooka,,20.0,,,,,,,,,,,,,,,,,,
bow,,,20.0,,,,,,,,,,,,,,,,,
canon,,,,20.0,,,,,,,,,,,,,,,,
club,,,,,20.0,,,,,,,,,,,,,,,
dagger,,,,,,20.0,,,,,,,,,,,,,,
double-barreled shotgun,,,,,,,20.0,,,,,,,,,,,,,
grenade,,,,,,,,20.0,,,,,,,,,,,,
knuckle dusters,,,,,,,,,20.0,,,,,,,,,,,
machine gun,,,,,,,,,,20.0,,,,,,,,,,
pistol,,,,,,,,,,,20.0,,,,,,,,,
rifle,,,,,,,,,,,,20.0,,,,,,,,
rope,,,,,,,,,,,,,20.0,,,,,,,
shield,,,,,,,,,,,,,,20.0,,,,,,
slingshot,,,,,,,,,,,,,,,20.0,,,,,
spear,,,,,,,,,,,,,,,,20.0,,,,
stick,,,,,,,,,,,,,,,,,20.0,,,
sword,,,,,,,,,,,,,,,,,,20.0,,
tank,,,,,,,,,,,,,,,,,,,20.0,
whip,,,,,,,,,,,,,,,,,,,,20.0
