exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,12.0,11.0,15.0,12.0,15.0,11.0,17.0,16.0,12.0,1.0,15.0,4.0,15.0,4.0,11.0,2.0,15.0,15.0,5.0
bijl,12.0,20.0,12.0,9.0,18.0,12.0,18.0,13.0,16.0,14.0,13.0,11.0,5.0,14.0,15.0,5.0,3.0,16.0,14.0,15.0
boksbeugel,11.0,12.0,20.0,13.0,12.0,15.0,13.0,16.0,14.0,10.0,11.0,13.0,5.0,13.0,12.0,12.0,7.0,12.0,14.0,10.0
boog,15.0,9.0,13.0,20.0,11.0,16.0,11.0,12.0,18.0,11.0,12.0,15.0,5.0,11.0,13.0,5.0,11.0,15.0,16.0,12.0
dolk,12.0,18.0,12.0,11.0,20.0,12.0,15.0,8.0,12.0,11.0,10.0,16.0,8.0,16.0,12.0,10.0,10.0,13.0,18.0,10.0
geweer,15.0,12.0,15.0,16.0,12.0,20.0,13.0,12.0,15.0,15.0,16.0,19.0,5.0,14.0,16.0,10.0,5.0,15.0,17.0,7.0
granaat,11.0,18.0,13.0,11.0,15.0,13.0,20.0,7.0,12.0,11.0,13.0,10.0,12.0,13.0,8.0,12.0,1.0,3.0,15.0,6.0
kanon,17.0,13.0,16.0,12.0,8.0,12.0,7.0,20.0,11.0,15.0,15.0,16.0,2.0,11.0,4.0,18.0,7.0,4.0,15.0,5.0
katapult,16.0,16.0,14.0,18.0,12.0,15.0,12.0,11.0,20.0,6.0,17.0,15.0,8.0,3.0,11.0,12.0,5.0,15.0,15.0,12.0
knuppel,12.0,14.0,10.0,11.0,11.0,15.0,11.0,15.0,6.0,20.0,11.0,10.0,4.0,4.0,19.0,10.0,6.0,13.0,15.0,10.0
mitrailleur,1.0,13.0,11.0,12.0,10.0,16.0,13.0,15.0,17.0,11.0,20.0,15.0,8.0,15.0,2.0,3.0,6.0,15.0,15.0,5.0
pistool,15.0,11.0,13.0,15.0,16.0,19.0,10.0,16.0,15.0,10.0,15.0,20.0,3.0,15.0,13.0,11.0,3.0,15.0,5.0,12.0
schild,4.0,5.0,5.0,5.0,8.0,5.0,12.0,2.0,8.0,4.0,8.0,3.0,20.0,6.0,6.0,10.0,2.0,6.0,4.0,5.0
speer,15.0,14.0,13.0,11.0,16.0,14.0,13.0,11.0,3.0,4.0,15.0,15.0,6.0,20.0,18.0,16.0,6.0,12.0,12.0,5.0
stok,4.0,15.0,12.0,13.0,12.0,16.0,8.0,4.0,11.0,19.0,2.0,13.0,6.0,18.0,20.0,7.0,14.0,10.0,5.0,11.0
tank,11.0,5.0,12.0,5.0,10.0,10.0,12.0,18.0,12.0,10.0,3.0,11.0,10.0,16.0,7.0,20.0,5.0,10.0,11.0,7.0
touw,2.0,3.0,7.0,11.0,10.0,5.0,1.0,7.0,5.0,6.0,6.0,3.0,2.0,6.0,14.0,5.0,20.0,10.0,2.0,5.0
tweeloop,15.0,16.0,12.0,15.0,13.0,15.0,3.0,4.0,15.0,13.0,15.0,15.0,6.0,12.0,10.0,10.0,10.0,20.0,15.0,1.0
zwaard,15.0,14.0,14.0,16.0,18.0,17.0,15.0,15.0,15.0,15.0,15.0,5.0,4.0,12.0,5.0,11.0,2.0,15.0,20.0,13.0
zweep,5.0,15.0,10.0,12.0,10.0,7.0,6.0,5.0,12.0,10.0,5.0,12.0,5.0,5.0,11.0,7.0,5.0,1.0,13.0,20.0
