exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,,,,,,,,,,,,,,,,,,,
bijl,,20.0,,,,,,,,,,,,,,,,,,
boksbeugel,,,20.0,,,,,,,,,,,,,,,,,
boog,,,,20.0,,,,,,,,,,,,,,,,
dolk,,,,,20.0,,,,,,,,,,,,,,,
geweer,,,,,,20.0,,,,,,,,,,,,,,
granaat,,,,,,,20.0,,,,,,,,,,,,,
kanon,,,,,,,,20.0,,,,,,,,,,,,
katapult,,,,,,,,,20.0,,,,,,,,,,,
knuppel,,,,,,,,,,20.0,,,,,,,,,,
mitrailleur,,,,,,,,,,,20.0,,,,,,,,,
pistool,,,,,,,,,,,,20.0,,,,,,,,
schild,,,,,,,,,,,,,20.0,,,,,,,
speer,,,,,,,,,,,,,,20.0,,,,,,
stok,,,,,,,,,,,,,,,20.0,,,,,
tank,,,,,,,,,,,,,,,,20.0,,,,
touw,,,,,,,,,,,,,,,,,20.0,,,
tweeloop,,,,,,,,,,,,,,,,,,20.0,,
zwaard,,,,,,,,,,,,,,,,,,,20.0,
zweep,,,,,,,,,,,,,,,,,,,,20.0
