exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,5.0,5.0,4.0,5.0,9.0,15.0,14.0,8.0,3.0,10.0,5.0,3.0,2.0,2.0,9.0,1.0,14.0,8.0,3.0
bijl,5.0,20.0,2.0,4.0,4.0,5.0,3.0,2.0,3.0,10.0,3.0,3.0,5.0,6.0,5.0,3.0,2.0,4.0,9.0,4.0
boksbeugel,5.0,2.0,20.0,9.0,6.0,8.0,2.0,2.0,10.0,2.0,2.0,2.0,3.0,12.0,2.0,3.0,3.0,2.0,7.0,4.0
boog,4.0,4.0,9.0,20.0,4.0,9.0,1.0,9.0,9.0,1.0,8.0,8.0,3.0,10.0,9.0,3.0,2.0,10.0,4.0,1.0
dolk,5.0,4.0,6.0,4.0,20.0,10.0,2.0,4.0,3.0,3.0,6.0,11.0,6.0,4.0,8.0,3.0,3.0,4.0,5.0,3.0
geweer,9.0,5.0,8.0,9.0,10.0,20.0,10.0,10.0,10.0,2.0,9.0,15.0,2.0,9.0,4.0,8.0,1.0,18.0,2.0,2.0
granaat,15.0,3.0,2.0,1.0,2.0,10.0,20.0,9.0,8.0,1.0,12.0,6.0,1.0,9.0,8.0,12.0,1.0,8.0,4.0,2.0
kanon,14.0,2.0,2.0,9.0,4.0,10.0,9.0,20.0,8.0,2.0,8.0,9.0,3.0,2.0,4.0,17.0,1.0,9.0,2.0,2.0
katapult,8.0,3.0,10.0,9.0,3.0,10.0,8.0,8.0,20.0,4.0,9.0,8.0,2.0,5.0,2.0,7.0,3.0,3.0,6.0,3.0
knuppel,3.0,10.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,20.0,2.0,2.0,4.0,6.0,15.0,2.0,2.0,3.0,2.0,9.0
mitrailleur,10.0,3.0,2.0,8.0,6.0,9.0,12.0,8.0,9.0,2.0,20.0,10.0,2.0,5.0,3.0,6.0,4.0,8.0,5.0,2.0
pistool,5.0,3.0,2.0,8.0,11.0,15.0,6.0,9.0,8.0,2.0,10.0,20.0,2.0,6.0,4.0,9.0,2.0,10.0,3.0,2.0
schild,3.0,5.0,3.0,3.0,6.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,20.0,5.0,5.0,2.0,4.0,1.0,6.0,3.0
speer,2.0,6.0,12.0,10.0,4.0,9.0,9.0,2.0,5.0,6.0,5.0,6.0,5.0,20.0,8.0,2.0,1.0,3.0,8.0,1.0
stok,2.0,5.0,2.0,9.0,8.0,4.0,8.0,4.0,2.0,15.0,3.0,4.0,5.0,8.0,20.0,2.0,4.0,2.0,5.0,8.0
tank,9.0,3.0,3.0,3.0,3.0,8.0,12.0,17.0,7.0,2.0,6.0,9.0,2.0,2.0,2.0,20.0,1.0,6.0,4.0,2.0
touw,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,1.0,4.0,1.0,20.0,1.0,3.0,6.0
tweeloop,14.0,4.0,2.0,10.0,4.0,18.0,8.0,9.0,3.0,3.0,8.0,10.0,1.0,3.0,2.0,6.0,1.0,20.0,4.0,1.0
zwaard,8.0,9.0,7.0,4.0,5.0,2.0,4.0,2.0,6.0,2.0,5.0,3.0,6.0,8.0,5.0,4.0,3.0,4.0,20.0,5.0
zweep,3.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,9.0,2.0,2.0,3.0,1.0,8.0,2.0,6.0,1.0,5.0,20.0
