exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,1.0,1.0,1.0,1.0,12.0,16.0,19.0,20.0,1.0,11.0,11.0,1.0,1.0,1.0,20.0,1.0,4.0,1.0,1.0
bijl,1.0,20.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,14.0,1.0
boksbeugel,1.0,1.0,20.0,1.0,14.0,1.0,1.0,1.0,1.0,19.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
boog,1.0,9.0,1.0,20.0,1.0,1.0,1.0,6.0,14.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,14.0,1.0,3.0,4.0
dolk,1.0,9.0,14.0,1.0,20.0,2.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,4.0,2.0,1.0,1.0,1.0,20.0,1.0
geweer,12.0,1.0,1.0,1.0,2.0,20.0,1.0,9.0,1.0,1.0,19.0,20.0,1.0,1.0,1.0,16.0,1.0,20.0,4.0,1.0
granaat,16.0,1.0,1.0,1.0,1.0,1.0,20.0,18.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0
kanon,19.0,1.0,1.0,6.0,1.0,9.0,18.0,20.0,20.0,1.0,1.0,11.0,1.0,4.0,1.0,16.0,1.0,1.0,1.0,1.0
katapult,20.0,1.0,1.0,14.0,1.0,1.0,3.0,20.0,20.0,18.0,6.0,1.0,1.0,11.0,1.0,19.0,1.0,1.0,1.0,1.0
knuppel,1.0,9.0,19.0,1.0,4.0,1.0,1.0,1.0,18.0,20.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,11.0,1.0
mitrailleur,11.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,6.0,1.0,20.0,20.0,1.0,1.0,1.0,15.0,1.0,14.0,1.0,1.0
pistool,11.0,1.0,2.0,1.0,7.0,20.0,1.0,11.0,1.0,1.0,20.0,20.0,1.0,4.0,1.0,4.0,1.0,20.0,14.0,1.0
schild,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0
speer,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,11.0,1.0,1.0,4.0,1.0,20.0,19.0,1.0,4.0,1.0,11.0,1.0
stok,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,19.0,20.0,1.0,1.0,1.0,18.0,1.0
tank,20.0,1.0,1.0,1.0,1.0,16.0,17.0,16.0,19.0,1.0,15.0,4.0,18.0,1.0,1.0,20.0,1.0,12.0,1.0,2.0
touw,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,20.0,1.0,1.0,19.0
tweeloop,4.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,14.0,20.0,1.0,1.0,1.0,12.0,1.0,20.0,1.0,1.0
zwaard,1.0,14.0,1.0,3.0,20.0,4.0,1.0,1.0,1.0,11.0,1.0,14.0,1.0,11.0,18.0,1.0,1.0,1.0,20.0,1.0
zweep,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,19.0,1.0,1.0,20.0
