exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,3.0,2.0,2.0,1.0,5.0,14.0,19.0,9.0,2.0,6.0,10.0,1.0,3.0,2.0,10.0,2.0,12.0,1.0,2.0
bijl,3.0,20.0,4.0,2.0,9.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,18.0,1.0
boksbeugel,2.0,4.0,20.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,12.0,2.0,2.0,5.0,2.0,3.0,4.0,2.0
boog,2.0,2.0,5.0,20.0,2.0,2.0,2.0,2.0,14.0,5.0,2.0,2.0,2.0,2.0,10.0,2.0,10.0,2.0,2.0,2.0
dolk,1.0,9.0,5.0,2.0,20.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,10.0,8.0,2.0,2.0,1.0,15.0,2.0
geweer,5.0,2.0,5.0,2.0,3.0,20.0,5.0,10.0,12.0,2.0,9.0,15.0,5.0,3.0,2.0,13.0,2.0,15.0,2.0,2.0
granaat,14.0,2.0,3.0,2.0,5.0,5.0,20.0,10.0,5.0,2.0,8.0,8.0,4.0,2.0,2.0,15.0,2.0,2.0,2.0,2.0
kanon,19.0,2.0,2.0,2.0,2.0,10.0,10.0,20.0,12.0,2.0,8.0,10.0,4.0,5.0,2.0,16.0,2.0,12.0,5.0,1.0
katapult,9.0,2.0,2.0,14.0,2.0,12.0,5.0,12.0,20.0,2.0,2.0,12.0,2.0,5.0,4.0,3.0,5.0,5.0,2.0,2.0
knuppel,2.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,20.0,1.0,2.0,2.0,6.0,16.0,2.0,2.0,2.0,3.0,2.0
mitrailleur,6.0,5.0,2.0,2.0,2.0,9.0,8.0,8.0,2.0,1.0,20.0,16.0,2.0,3.0,2.0,9.0,1.0,14.0,5.0,2.0
pistool,10.0,2.0,5.0,2.0,2.0,15.0,8.0,10.0,12.0,2.0,16.0,20.0,5.0,2.0,2.0,15.0,2.0,15.0,1.0,2.0
schild,1.0,4.0,12.0,2.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,5.0,20.0,2.0,2.0,5.0,2.0,5.0,16.0,2.0
speer,3.0,2.0,2.0,2.0,10.0,3.0,2.0,5.0,5.0,6.0,3.0,2.0,2.0,20.0,11.0,4.0,2.0,2.0,6.0,2.0
stok,2.0,5.0,2.0,10.0,8.0,2.0,2.0,2.0,4.0,16.0,2.0,2.0,2.0,11.0,20.0,14.0,3.0,4.0,16.0,2.0
tank,10.0,2.0,5.0,2.0,2.0,13.0,15.0,16.0,3.0,2.0,9.0,15.0,5.0,4.0,14.0,20.0,2.0,12.0,4.0,2.0
touw,2.0,2.0,2.0,10.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,20.0,2.0,2.0,12.0
tweeloop,12.0,2.0,3.0,2.0,1.0,15.0,2.0,12.0,5.0,2.0,14.0,15.0,5.0,2.0,4.0,12.0,2.0,20.0,3.0,2.0
zwaard,1.0,18.0,4.0,2.0,15.0,2.0,2.0,5.0,2.0,3.0,5.0,1.0,16.0,6.0,16.0,4.0,2.0,3.0,20.0,1.0
zweep,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,1.0,20.0
