exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,1.0,2.0,16.0,1.0,17.0,4.0,2.0,1.0,2.0,3.0,10.0,3.0,4.0,4.0,2.0,1.0,5.0,4.0,2.0
bijl,1.0,20.0,3.0,1.0,19.0,5.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,17.0,2.0
boksbeugel,2.0,3.0,20.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0
boog,16.0,1.0,2.0,20.0,1.0,1.0,3.0,3.0,12.0,2.0,4.0,12.0,4.0,10.0,8.0,1.0,10.0,1.0,3.0,2.0
dolk,1.0,19.0,4.0,1.0,20.0,5.0,3.0,4.0,1.0,2.0,3.0,8.0,3.0,10.0,12.0,2.0,2.0,2.0,18.0,1.0
geweer,17.0,5.0,2.0,1.0,5.0,20.0,15.0,18.0,7.0,8.0,13.0,20.0,3.0,12.0,1.0,5.0,1.0,20.0,11.0,8.0
granaat,4.0,2.0,3.0,3.0,3.0,15.0,20.0,4.0,3.0,2.0,2.0,16.0,2.0,2.0,2.0,19.0,1.0,3.0,3.0,2.0
kanon,2.0,1.0,2.0,3.0,4.0,18.0,4.0,20.0,3.0,2.0,2.0,12.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0
katapult,1.0,1.0,1.0,12.0,1.0,7.0,3.0,3.0,20.0,2.0,2.0,4.0,1.0,8.0,10.0,1.0,10.0,2.0,2.0,2.0
knuppel,2.0,2.0,1.0,2.0,2.0,8.0,2.0,2.0,2.0,20.0,2.0,4.0,2.0,5.0,14.0,2.0,2.0,2.0,10.0,1.0
mitrailleur,3.0,5.0,2.0,4.0,3.0,13.0,2.0,2.0,2.0,2.0,20.0,2.0,5.0,4.0,4.0,8.0,1.0,9.0,2.0,2.0
pistool,10.0,2.0,3.0,12.0,8.0,20.0,16.0,12.0,4.0,4.0,2.0,20.0,2.0,8.0,1.0,8.0,1.0,18.0,8.0,3.0
schild,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,20.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0
speer,4.0,1.0,1.0,10.0,10.0,12.0,2.0,1.0,8.0,5.0,4.0,8.0,2.0,20.0,12.0,3.0,2.0,3.0,10.0,8.0
stok,4.0,1.0,1.0,8.0,12.0,1.0,2.0,1.0,10.0,14.0,4.0,1.0,2.0,12.0,20.0,1.0,4.0,1.0,6.0,10.0
tank,2.0,3.0,1.0,1.0,2.0,5.0,19.0,1.0,1.0,2.0,8.0,8.0,2.0,3.0,1.0,20.0,1.0,2.0,2.0,1.0
touw,1.0,1.0,3.0,10.0,2.0,1.0,1.0,1.0,10.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,20.0,1.0,1.0,10.0
tweeloop,5.0,3.0,1.0,1.0,2.0,20.0,3.0,3.0,2.0,2.0,9.0,18.0,1.0,3.0,1.0,2.0,1.0,20.0,1.0,1.0
zwaard,4.0,17.0,2.0,3.0,18.0,11.0,3.0,6.0,2.0,10.0,2.0,8.0,5.0,10.0,6.0,2.0,1.0,1.0,20.0,8.0
zweep,2.0,2.0,1.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,8.0,10.0,1.0,10.0,1.0,8.0,20.0
