exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,7.0,2.0,1.0,1.0,11.0,7.0,11.0,1.0,6.0,16.0,10.0,1.0,1.0,1.0,8.0,1.0,15.0,1.0,1.0
bijl,7.0,20.0,1.0,3.0,9.0,3.0,1.0,1.0,5.0,8.0,1.0,1.0,2.0,9.0,10.0,1.0,1.0,2.0,9.0,4.0
boksbeugel,2.0,1.0,20.0,1.0,2.0,4.0,1.0,1.0,1.0,8.0,1.0,2.0,9.0,4.0,3.0,1.0,3.0,1.0,4.0,4.0
boog,1.0,3.0,1.0,20.0,2.0,2.0,1.0,1.0,12.0,5.0,1.0,3.0,4.0,11.0,7.0,1.0,8.0,4.0,3.0,9.0
dolk,1.0,9.0,2.0,2.0,20.0,4.0,5.0,1.0,4.0,3.0,1.0,3.0,7.0,11.0,5.0,2.0,1.0,2.0,11.0,5.0
geweer,11.0,3.0,4.0,2.0,4.0,20.0,6.0,15.0,3.0,2.0,18.0,18.0,2.0,10.0,2.0,6.0,1.0,18.0,4.0,1.0
granaat,7.0,1.0,1.0,1.0,5.0,6.0,20.0,8.0,9.0,1.0,7.0,6.0,1.0,10.0,1.0,6.0,1.0,4.0,1.0,1.0
kanon,11.0,1.0,1.0,1.0,1.0,15.0,8.0,20.0,2.0,1.0,8.0,7.0,1.0,1.0,3.0,17.0,1.0,10.0,1.0,1.0
katapult,1.0,5.0,1.0,12.0,4.0,3.0,9.0,2.0,20.0,8.0,4.0,9.0,1.0,5.0,7.0,1.0,8.0,7.0,6.0,4.0
knuppel,6.0,8.0,8.0,5.0,3.0,2.0,1.0,1.0,8.0,20.0,1.0,2.0,10.0,8.0,18.0,1.0,2.0,8.0,11.0,4.0
mitrailleur,16.0,1.0,1.0,1.0,1.0,18.0,7.0,8.0,4.0,1.0,20.0,17.0,1.0,7.0,1.0,10.0,1.0,11.0,3.0,1.0
pistool,10.0,1.0,2.0,3.0,3.0,18.0,6.0,7.0,9.0,2.0,17.0,20.0,1.0,2.0,1.0,5.0,1.0,18.0,1.0,1.0
schild,1.0,2.0,9.0,4.0,7.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,20.0,7.0,10.0,8.0,1.0,1.0,8.0,3.0
speer,1.0,9.0,4.0,11.0,11.0,10.0,10.0,1.0,5.0,8.0,7.0,2.0,7.0,20.0,10.0,1.0,2.0,5.0,7.0,7.0
stok,1.0,10.0,3.0,7.0,5.0,2.0,1.0,3.0,7.0,18.0,1.0,1.0,10.0,10.0,20.0,1.0,13.0,1.0,5.0,7.0
tank,8.0,1.0,1.0,1.0,2.0,6.0,6.0,17.0,1.0,1.0,10.0,5.0,8.0,1.0,1.0,20.0,1.0,3.0,1.0,1.0
touw,1.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,2.0,13.0,1.0,20.0,1.0,2.0,12.0
tweeloop,15.0,2.0,1.0,4.0,2.0,18.0,4.0,10.0,7.0,8.0,11.0,18.0,1.0,5.0,1.0,3.0,1.0,20.0,8.0,1.0
zwaard,1.0,9.0,4.0,3.0,11.0,4.0,1.0,1.0,6.0,11.0,3.0,1.0,8.0,7.0,5.0,1.0,2.0,8.0,20.0,10.0
zweep,1.0,4.0,4.0,9.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,7.0,7.0,1.0,12.0,1.0,10.0,20.0
