exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
arend,16.0,28.0,12.0,20.0,19.0,16.0,17.0,15.0,13.0,13.0,13.0,17.0,9.0,10.0,10.0,10.0,6.0,1.0,9.0,1.0
duif,4.0,2.0,8.0,10.0,3.0,3.0,3.0,2.0,8.0,7.0,5.0,11.0,5.0,3.0,8.0,5.0,11.0,5.0,1.0,22.0
eend,17.0,27.0,17.0,16.0,6.0,25.0,22.0,27.0,28.0,23.0,8.0,19.0,17.0,25.0,25.0,25.0,17.0,24.0,26.0,23.0
ekster,25.0,4.0,2.0,9.0,20.0,5.0,7.0,13.0,4.0,10.0,2.0,5.0,11.0,4.0,4.0,15.0,12.0,3.0,4.0,12.0
fazant,26.0,21.0,20.0,22.0,17.0,21.0,23.0,16.0,21.0,25.0,15.0,24.0,13.0,19.0,21.0,24.0,24.0,23.0,28.0,24.0
gier,22.0,13.0,14.0,21.0,24.0,15.0,19.0,20.0,14.0,19.0,29.0,18.0,26.0,20.0,13.0,18.0,20.0,6.0,17.0,2.0
haan,9.0,19.0,26.0,26.0,29.0,23.0,25.0,23.0,23.0,27.0,10.0,13.0,25.0,30.0,22.0,14.0,27.0,29.0,22.0,25.0
kalkoen,21.0,23.0,25.0,27.0,26.0,24.0,28.0,24.0,24.0,26.0,23.0,14.0,15.0,21.0,24.0,19.0,26.0,28.0,23.0,27.0
kanarie,2.0,14.0,6.0,13.0,9.0,12.0,2.0,3.0,10.0,2.0,12.0,21.0,7.0,24.0,16.0,7.0,19.0,18.0,14.0,20.0
kip,8.0,20.0,27.0,25.0,5.0,22.0,26.0,22.0,22.0,28.0,9.0,12.0,24.0,17.0,23.0,13.0,23.0,27.0,21.0,26.0
koekoek,15.0,16.0,15.0,12.0,13.0,14.0,13.0,17.0,18.0,10.0,21.0,10.0,10.0,27.0,7.0,23.0,5.0,9.0,11.0,15.0
kraai,14.0,15.0,11.0,6.0,10.0,10.0,11.0,6.0,6.0,17.0,7.0,6.0,19.0,11.0,6.0,11.0,4.0,10.0,13.0,9.0
mees,1.0,8.0,28.0,4.0,12.0,8.0,4.0,5.0,3.0,3.0,22.0,2.0,,12.0,1.0,9.0,8.0,14.0,6.0,17.0
meeuw,11.0,12.0,7.0,8.0,4.0,7.0,12.0,12.0,17.0,8.0,11.0,8.0,6.0,5.0,14.0,6.0,13.0,2.0,5.0,10.0
merel,3.0,17.0,1.0,2.0,2.0,2.0,6.0,10.0,9.0,4.0,3.0,3.0,4.0,15.0,2.0,4.0,7.0,7.0,10.0,14.0
mus,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,9.0,4.0,3.0,18.0
ooievaar,28.0,18.0,22.0,19.0,15.0,17.0,16.0,18.0,19.0,15.0,26.0,25.0,13.0,24.0,19.0,22.0,22.0,16.0,30.0,6.0
papegaai,23.0,11.0,9.0,17.0,8.0,18.0,21.0,15.0,20.0,16.0,16.0,28.0,22.0,6.0,28.0,28.0,10.0,22.0,25.0,19.0
parkiet,10.0,3.0,10.0,11.0,7.0,11.0,8.0,11.0,15.0,5.0,25.0,22.0,12.0,16.0,15.0,3.0,18.0,17.0,20.0,21.0
pauw,24.0,22.0,21.0,28.0,25.0,28.0,24.0,26.0,26.0,18.0,14.0,23.0,23.0,18.0,29.0,17.0,28.0,19.0,24.0,28.0
pelikaan,29.0,29.0,24.0,24.0,28.0,27.0,20.0,21.0,27.0,21.0,20.0,27.0,18.0,28.0,20.0,26.0,29.0,12.0,15.0,5.0
pinguïn,30.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,30.0,30.0,30.0,30.0,28.0,26.0,30.0,30.0,30.0,30.0,29.0,29.0
reiger,27.0,10.0,18.0,18.0,16.0,13.0,15.0,19.0,15.0,12.0,27.0,16.0,14.0,14.0,18.0,21.0,14.0,21.0,8.0,7.0
roodborstje,6.0,9.0,5.0,3.0,11.0,4.0,5.0,7.0,2.0,6.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,11.0,19.0,16.0
specht,7.0,5.0,16.0,7.0,18.0,9.0,10.0,8.0,7.0,11.0,24.0,7.0,16.0,7.0,9.0,11.0,2.0,20.0,7.0,11.0
struisvogel,20.0,26.0,29.0,29.0,27.0,29.0,30.0,25.0,25.0,29.0,28.0,24.0,27.0,22.0,27.0,29.0,25.0,26.0,18.0,30.0
uil,12.0,24.0,19.0,14.0,21.0,19.0,14.0,14.0,11.0,22.0,17.0,15.0,20.0,8.0,17.0,20.0,16.0,8.0,12.0,3.0
valk,19.0,6.0,13.0,15.0,22.0,20.0,18.0,9.0,12.0,14.0,19.0,16.0,8.0,9.0,12.0,12.0,1.0,15.0,16.0,4.0
zwaan,18.0,25.0,23.0,23.0,23.0,26.0,27.0,28.0,29.0,24.0,18.0,20.0,21.0,23.0,26.0,27.0,21.0,25.0,27.0,8.0
zwaluw,13.0,7.0,3.0,5.0,14.0,6.0,9.0,4.0,5.0,9.0,6.0,9.0,1.0,13.0,11.0,8.0,15.0,13.0,2.0,13.0
