exemplar,log(lemmaFreq)
ant,2.49
bee,5.21
beetle,2.16
bumblebee,1.68
butterfly,2.65
caterpillar,2.1
centipede,1.38
cockchafer,1.48
cockroach,2.0
cricket,2.15
dragonfly,1.92
earwig,0.48
flee,2.27
fly,2.89
fruit fly,0.0
grasshopper,1.96
horsefly,1.3
ladybug,1.04
leech,1.76
louse,2.31
mosquito,2.41
moth,1.96
spider,2.6
wasp,2.24
wood louse,1.48
worm,2.63
