exemplar,log(lemmaFreq)
apron,2.43
bottle,3.68
bowl,3.16
can opener,1.54
colander,1.23
electric kettle,0.0
fork,2.7
fridge,2.39
glass,3.81
grater,1.34
kettle,2.63
knife,3.24
microwave oven,1.36
mixer,1.61
mug,0.3
nutcracker,0.7
oven,2.72
pan,3.17
percolator,1.18
place mat,1.36
plate,3.43
pot,6.31
scales,2.3
scissors,1.51
sieve,2.2
spatula,1.66
spoon,2.89
stove,2.35
teaspoon,2.79
toaster,1.45
towel,2.84
whisk,1.51
wok,1.98
