exemplar,log(lemmaFreq)
apple,3.0
apricot,1.97
banana,2.42
blackberry,1.0
blueberry,1.79
cherry,2.33
coconut,1.78
dates,1.87
fig,2.07
grape,3.0
grapefruit,0.9
kiwi,1.94
lemon,2.68
lime,1.38
lychee,0.0
mandarine,2.42
mango,1.72
melon,2.15
nectarine,0.0
orange,2.55
papaya,1.18
passion fruit,0.85
peach,2.23
pear,2.63
pineapple,1.99
plum,2.52
pumpkin,1.92
raspberry,1.86
red currant,1.2
strawberry,2.31
