exemplar,log(lemmaFreq)
anchovy,1.91
carp,2.39
cod,1.93
dolphin,2.18
eel,2.42
flatfish,1.46
goldfish,1.93
herring,2.34
orca,0.3
pike,1.99
piranha,0.95
plaice,0.3
ray,1.36
salmon,2.33
sardine,1.85
shark,2.14
sole,3.36
sperm whale,0.48
squid,1.9
stickleback,1.69
swordfish,0.85
trout,2.12
whale,2.11
