exemplar,log(lemmaFreq)
Brussels sprouts,2.37
asparagus,2.02
beans,2.81
beet,2.12
black salsify,1.08
carrot,3.33
cauliflower,1.98
celery,1.11
chervil,1.77
corn,2.54
cucumber,2.18
eggplant,1.85
endive,0.95
garlic,1.57
gherkins,1.88
leek,2.21
lettuce,4.44
mushrooms,2.46
onions,1.08
parsley,2.57
peas,2.31
pepper,2.35
potato,3.07
radish,1.69
red cabbage,0.0
spinach,2.12
tomato,2.59
water cress,1.69
white cabbage,0.0
zucchini,1.41
