feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
werkt in een apotheek,1,2,1,-3,3,2,2,3,2,2,2,0,1.4166666666666667,1.621353717973928
werkt in een bakkerij,1,2,2,-3,3,2,1,3,2,2,1,0,1.3333333333333333,1.6143297699232972
werkt in een bedrijf,0,2,0,1,1,-1,3,2,0,2,1,1,1.0,1.1281521496355325
werkt in een instelling,1,2,0,-2,2,-2,2,2,1,2,1,0,0.75,1.4847711791873706
werkt in een kazerne,1,2,0,-3,2,3,1,2,-1,2,1,0,0.8333333333333334,1.6422453217986943
werkt in een keuken,1,1,1,-2,2,1,1,3,2,2,1,0,1.0833333333333333,1.2401124093721456
werkt in een politiekantoor,1,2,1,-3,2,3,2,3,2,2,1,0,1.3333333333333333,1.6143297699232972
werkt in een rechtbank,0,2,0,-3,2,1,1,2,2,2,1,0,0.8333333333333334,1.4668044012461756
werkt in een restaurant,1,2,0,-2,1,-2,1,2,0,2,1,0,0.5,1.381698559415515
werkt in een slagerij,1,2,0,-3,3,1,1,3,2,2,1,0,1.0833333333333333,1.6213537179739275
werkt in een vliegtuig,1,2,0,-3,2,1,1,2,1,2,1,0,0.8333333333333334,1.403458930534474
werkt in een winkel,-2,2,1,-2,2,1,1,3,-1,1,1,0,0.5833333333333334,1.5642792899510296
werkt in een ziekenhuis,2,2,1,-2,2,1,2,2,1,1,1,0,1.0833333333333333,1.164500152881315
werkt in het weekend,-1,1,0,-1,-1,-1,-2,0,1,2,1,1,0.0,1.2060453783110545
werkt in team,0,1,2,1,-2,-2,3,1,0,2,1,1,0.6666666666666666,1.497472618255253
werkt met computers,-1,1,0,1,1,-2,2,1,0,-2,1,0,0.16666666666666666,1.2673044646258473
werkt met internet,-2,1,0,1,-3,-2,1,-1,0,0,0,0,-0.4166666666666667,1.3113721705515067
werkt met kinderen,1,2,2,-1,1,1,1,2,1,2,1,0,1.0833333333333333,0.90033663737852
werkt met kinderen of gehandicapten,0,2,1,-2,2,2,1,2,2,2,1,0,1.0833333333333333,1.2401124093721456
werkt met sportmensen,0,2,2,-3,1,-1,-2,2,0,2,1,0,0.3333333333333333,1.6696942198734437
werkt met zijn handen,2,1,1,1,0,-3,1,2,2,0,1,0,0.6666666666666666,1.3706888336846839
werkt ook op zondag,1,1,0,-2,0,1,-3,1,0,-1,1,1,0.0,1.348399724926484
werkt op een kantoor,2,2,1,1,0,2,2,1,2,2,1,0,1.3333333333333333,0.778498944161523
werkt op een school,2,2,1,-1,2,1,1,2,1,2,1,0,1.1666666666666667,0.9374368665610922
werkt soms op vrijwillige basis,1,0,1,-2,3,-2,1,2,0,2,1,1,0.6666666666666666,1.497472618255253
werkt voor de staat,1,2,1,-1,0,-1,1,2,2,2,1,0,0.8333333333333334,1.1146408580454255
werkt voor vliegtuigmaatschappij,1,2,1,-3,1,1,1,2,2,2,1,0,0.9166666666666666,1.3789543689024488
wordt beschouwd als een held,-3,1,0,-3,-1,2,-2,-2,-2,2,-1,-2,-0.9166666666666666,1.781640374554423
wordt bijgestaan door co-piloot,1,2,1,-3,3,3,1,3,2,2,1,0,1.3333333333333333,1.6696942198734437
wordt gerespecteerd,0,1,1,1,-2,0,2,1,2,3,0,0,0.75,1.2880570286640687
wordt goed betaald,0,0,1,0,1,2,2,0,-1,1,1,1,0.6666666666666666,0.8876253645985945
wordt in het straatbeeld gezien,-2,0,1,-1,1,-2,-2,1,1,0,1,0,-0.16666666666666666,1.2673044646258476
wordt niet gerespecteerd,-2,0,0,1,-3,0,-3,1,-2,0,0,0,-0.6666666666666666,1.4354811251305468
wordt niet goed betaald,0,1,1,1,1,-1,-2,-1,-2,0,0,1,-0.08333333333333333,1.1645001528813148
wordt soms gebeten door een hond,-2,0,0,-3,-3,-1,-3,-2,2,0,1,0,-0.9166666666666666,1.6764862244009227
wordt vaak ondergewaardeerd,1,1,0,-1,0,1,-2,1,0,0,0,0,0.08333333333333333,0.90033663737852
wordt veel gevraagd,-2,1,0,-1,-1,-1,-1,2,0,1,0,1,-0.08333333333333333,1.164500152881315
wordt verkozen,0,2,0,-3,2,3,1,2,2,2,1,0,1.0,1.5954480704349312
zet koffie,0,1,0,-3,1,-2,-3,-2,0,2,0,0,-0.5,1.6236882817719773
ziet goed,-1,1,0,-3,1,-2,-2,1,-1,1,1,0,-0.3333333333333333,1.4354811251305468
zit aan de kassa,1,1,1,-3,3,1,1,3,0,2,2,0,1.0,1.5954480704349312
zit aan een bureau,1,1,1,1,1,-1,3,1,0,-1,2,0,0.75,1.1381803659589922
zit in de cockpit,1,2,1,-3,3,3,2,3,2,2,2,0,1.5,1.6787441193290353
zit in de politiek,1,1,0,-3,3,1,1,2,0,-2,1,0,0.4166666666666667,1.6213537179739277
zit in de regering,0,2,1,-3,2,2,1,3,1,2,1,0,1.0,1.5374122295716148
zit in een rechtszaal,1,1,0,-3,3,2,1,2,1,2,2,0,1.0,1.5374122295716148
zit in het parlement,1,2,2,-3,2,3,1,3,2,2,1,0,1.3333333333333333,1.6143297699232972
zit veel voor de computer,-2,0,0,1,2,2,2,0,-1,1,0,0,0.4166666666666667,1.2401124093721454
