feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
wordt ijs van gemaakt,-2,0,2,1,0,-1,1,-2,1,-3,1,-3,-0.4166666666666667,1.7298624923456323
wordt in België gekweekt,1,2,0,0,-3,-1,0,1,1,-3,1,-3,-0.3333333333333333,1.775250729197189
wordt na een tijdje rot,2,3,3,2,3,1,3,2,-2,1,2,1,1.75,1.4222261679238197
wordt ook in blik verkocht,-1,-3,0,1,3,0,1,2,0,-1,-2,-3,-0.25,1.864744681524183
wordt snel rot,-1,3,1,2,2,1,2,1,0,0,1,2,1.1666666666666667,1.1146408580454257
wordt vaak bij konijn gegeten,-1,1,2,1,-3,-1,0,0,3,-3,-2,-3,-0.5,2.0225995873897262
wordt veel gebruikt bij desserts,1,1,2,3,1,-1,3,-1,0,1,2,1,1.0833333333333333,1.3113721705515065
wordt wijn van gemaakt,-1,1,2,2,1,-1,0,-1,3,-3,2,-3,0.16666666666666666,1.9924098397912438
zaadjes,0,3,-1,1,2,-1,2,1,1,-3,-1,-3,0.08333333333333333,1.9286515936521478
"zit vaak in shampoos, douchegel",1,-3,0,-3,-3,-1,0,0,1,-2,-2,-3,-1.25,1.6025547785276542
zoet-zuur,3,3,0,0,3,0,2,2,2,-3,2,-3,0.9166666666666666,2.151461800448216
zoete smaak,2,3,0,2,3,2,3,1,1,-3,2,-3,1.0833333333333333,2.108783937953269
zomerfruit,0,3,3,2,2,1,3,-1,1,-3,2,1,1.1666666666666667,1.80067327475704
zuiden,3,3,1,1,1,-2,3,1,-1,-3,2,-3,0.5,2.23606797749979
