exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,1.0,0.20208333333333334,0.17708333333333331,0.22291666666666665,0.19791666666666669,0.60625,0.4770833333333333,0.675,0.35208333333333336,0.19791666666666669,0.5666666666666667,0.4875,0.15,0.19583333333333333,0.15208333333333332,0.56875,0.12708333333333333,0.49347826086956526,0.28043478260869564,0.1565217391304348
bijl,0.20208333333333334,1.0,0.25416666666666665,0.33125,0.5375,0.225,0.2,0.20208333333333334,0.25,0.4291666666666667,0.25416666666666665,0.23333333333333334,0.28541666666666665,0.4625,0.4333333333333333,0.22916666666666666,0.23541666666666666,0.24130434782608695,0.6239130434782608,0.2652173913043478
boksbeugel,0.17708333333333331,0.25416666666666665,1.0,0.1875,0.29166666666666663,0.21666666666666665,0.22083333333333335,0.19583333333333333,0.21458333333333335,0.35625,0.21875,0.20208333333333334,0.25625,0.24166666666666664,0.22708333333333336,0.175,0.1875,0.2,0.25869565217391305,0.24347826086956523
boog,0.22291666666666665,0.33125,0.1875,1.0,0.3125,0.27291666666666664,0.21666666666666665,0.3,0.58125,0.24375,0.18333333333333332,0.30833333333333335,0.3416666666666667,0.4645833333333333,0.38333333333333336,0.17708333333333331,0.4395833333333333,0.2347826086956522,0.31956521739130433,0.3108695652173913
dolk,0.19791666666666669,0.5375,0.29166666666666663,0.3125,1.0,0.30208333333333337,0.19791666666666669,0.17708333333333331,0.27708333333333335,0.2791666666666667,0.23125,0.30833333333333335,0.33958333333333335,0.5208333333333333,0.4083333333333333,0.16875,0.23541666666666666,0.23695652173913043,0.6543478260869565,0.25652173913043474
geweer,0.60625,0.225,0.21666666666666665,0.27291666666666664,0.30208333333333337,1.0,0.38125,0.50625,0.34375,0.2520833333333333,0.6791666666666667,0.85625,0.17708333333333331,0.33541666666666664,0.25,0.35,0.15625,0.8217391304347826,0.3239130434782609,0.2108695652173913
granaat,0.4770833333333333,0.2,0.22083333333333335,0.21666666666666665,0.19791666666666669,0.38125,1.0,0.5104166666666667,0.30208333333333337,0.225,0.41875,0.35625,0.18958333333333333,0.24375,0.1875,0.5333333333333333,0.11041666666666668,0.33695652173913043,0.2673913043478261,0.16304347826086957
kanon,0.675,0.20208333333333334,0.19583333333333333,0.3,0.17708333333333331,0.50625,0.5104166666666667,1.0,0.37083333333333335,0.19166666666666668,0.43125,0.45625,0.19583333333333333,0.20416666666666666,0.15833333333333333,0.5979166666666667,0.14375,0.3847826086956522,0.22391304347826088,0.14130434782608697
katapult,0.35208333333333336,0.25,0.21458333333333335,0.58125,0.27708333333333335,0.34375,0.30208333333333337,0.37083333333333335,1.0,0.32708333333333334,0.25625,0.2875,0.20625,0.32291666666666663,0.4395833333333333,0.26666666666666666,0.3375,0.3130434782608696,0.26956521739130435,0.3108695652173913
knuppel,0.19791666666666669,0.4291666666666667,0.35625,0.24375,0.2791666666666667,0.2520833333333333,0.225,0.19166666666666668,0.32708333333333334,1.0,0.20416666666666666,0.24583333333333335,0.35208333333333336,0.4708333333333333,0.6791666666666667,0.1625,0.23333333333333334,0.25869565217391305,0.4326086956521739,0.32608695652173914
mitrailleur,0.5666666666666667,0.25416666666666665,0.21875,0.18333333333333332,0.23125,0.6791666666666667,0.41875,0.43125,0.25625,0.20416666666666666,1.0,0.675,0.20625,0.3104166666666667,0.2125,0.4770833333333333,0.13333333333333333,0.6282608695652174,0.35,0.1934782608695652
pistool,0.4875,0.23333333333333334,0.20208333333333334,0.30833333333333335,0.30833333333333335,0.85625,0.35625,0.45625,0.2875,0.24583333333333335,0.675,1.0,0.18958333333333333,0.27083333333333337,0.2,0.3458333333333333,0.13541666666666669,0.7326086956521739,0.29347826086956524,0.23695652173913043
schild,0.15,0.28541666666666665,0.25625,0.3416666666666667,0.33958333333333335,0.17708333333333331,0.18958333333333333,0.19583333333333333,0.20625,0.35208333333333336,0.20625,0.18958333333333333,1.0,0.30833333333333335,0.26041666666666663,0.2791666666666667,0.18333333333333332,0.18043478260869567,0.45434782608695656,0.18695652173913044
speer,0.19583333333333333,0.4625,0.24166666666666664,0.4645833333333333,0.5208333333333333,0.33541666666666664,0.24375,0.20416666666666666,0.32291666666666663,0.4708333333333333,0.3104166666666667,0.27083333333333337,0.30833333333333335,1.0,0.6541666666666667,0.19583333333333333,0.21041666666666664,0.24130434782608695,0.4521739130434782,0.2608695652173913
stok,0.15208333333333332,0.4333333333333333,0.22708333333333336,0.38333333333333336,0.4083333333333333,0.25,0.1875,0.15833333333333333,0.4395833333333333,0.6791666666666667,0.2125,0.2,0.26041666666666663,0.6541666666666667,1.0,0.14583333333333331,0.32916666666666666,0.22391304347826088,0.4913043478260869,0.4108695652173913
tank,0.56875,0.22916666666666666,0.175,0.17708333333333331,0.16875,0.35,0.5333333333333333,0.5979166666666667,0.26666666666666666,0.1625,0.4770833333333333,0.3458333333333333,0.2791666666666667,0.19583333333333333,0.14583333333333331,1.0,0.15833333333333333,0.41956521739130437,0.2152173913043478,0.1565217391304348
