exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,10.0,6.0,11.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,10.0,5.0,10.0,12.0,5.0,5.0,10.0,5.0,5.0,8.0,5.0,10.0,10.0,10.0,9.0,10.0,5.0
actor,10.0,20.0,10.0,12.0,10.0,5.0,5.0,10.0,5.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,6.0,5.0,7.0,5.0,10.0,10.0,5.0,5.0,13.0,10.0,5.0
archaeologist,6.0,10.0,20.0,10.0,10.0,5.0,5.0,10.0,10.0,5.0,5.0,8.0,10.0,10.0,8.0,5.0,5.0,9.0,5.0,5.0,11.0,15.0,9.0,9.0,5.0,5.0,5.0,12.0,10.0,11.0
architect,11.0,12.0,10.0,20.0,8.0,5.0,8.0,5.0,7.0,5.0,5.0,5.0,9.0,5.0,10.0,10.0,5.0,6.0,10.0,15.0,11.0,15.0,8.0,5.0,5.0,5.0,5.0,10.0,10.0,13.0
baker,5.0,10.0,10.0,8.0,20.0,10.0,15.0,6.0,5.0,9.0,8.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,10.0,10.0,8.0,4.0,10.0,5.0,5.0,5.0,12.0
butcher,5.0,5.0,5.0,5.0,10.0,20.0,15.0,8.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0,10.0,5.0,5.0,5.0,7.0,10.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0
cook,5.0,5.0,5.0,8.0,15.0,15.0,20.0,5.0,6.0,10.0,5.0,6.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,10.0,12.0,5.0,10.0
dentist,5.0,10.0,10.0,5.0,6.0,8.0,5.0,20.0,15.0,5.0,5.0,5.0,10.0,10.0,12.0,5.0,5.0,14.0,10.0,5.0,5.0,8.0,5.0,5.0,5.0,7.0,5.0,10.0,5.0,18.0
doctor,5.0,5.0,10.0,7.0,5.0,6.0,6.0,15.0,20.0,5.0,8.0,5.0,10.0,5.0,11.0,5.0,10.0,13.0,12.0,12.0,5.0,10.0,5.0,12.0,5.0,5.0,5.0,16.0,5.0,16.0
educator,5.0,10.0,5.0,5.0,9.0,5.0,10.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,8.0,5.0,5.0,8.0,5.0,16.0,10.0,8.0,5.0,10.0,14.0,5.0
fireman,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,8.0,5.0,20.0,5.0,10.0,5.0,5.0,11.0,5.0,5.0,5.0,5.0,12.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,12.0,7.0
