exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,7.0,11.0,4.0,3.0,9.0,4.0,7.0,10.0,11.0,8.0,5.0,11.0,5.0,8.0,14.0,9.0,7.0,8.0,8.0,10.0,5.0,6.0,4.0,15.0,10.0,5.0,5.0,11.0,9.0
actor,7.0,20.0,4.0,8.0,4.0,5.0,16.0,5.0,8.0,10.0,5.0,5.0,6.0,9.0,15.0,8.0,17.0,9.0,5.0,8.0,4.0,8.0,5.0,11.0,13.0,11.0,14.0,11.0,12.0,8.0
archaeologist,11.0,4.0,20.0,7.0,8.0,5.0,8.0,17.0,15.0,11.0,5.0,15.0,8.0,8.0,4.0,5.0,6.0,10.0,5.0,5.0,4.0,14.0,5.0,4.0,5.0,14.0,6.0,13.0,4.0,7.0
architect,4.0,8.0,7.0,20.0,4.0,6.0,5.0,5.0,4.0,4.0,8.0,5.0,12.0,14.0,6.0,8.0,6.0,5.0,5.0,9.0,14.0,8.0,14.0,14.0,5.0,8.0,15.0,8.0,8.0,3.0
baker,3.0,4.0,8.0,4.0,20.0,16.0,18.0,4.0,8.0,9.0,8.0,5.0,5.0,4.0,5.0,8.0,5.0,16.0,8.0,15.0,4.0,4.0,8.0,4.0,13.0,14.0,15.0,4.0,5.0,4.0
butcher,9.0,5.0,5.0,6.0,16.0,20.0,17.0,12.0,5.0,7.0,7.0,5.0,3.0,5.0,8.0,8.0,4.0,14.0,16.0,4.0,5.0,5.0,4.0,5.0,5.0,9.0,4.0,5.0,5.0,15.0
cook,4.0,16.0,8.0,5.0,18.0,17.0,20.0,5.0,14.0,9.0,4.0,4.0,6.0,8.0,8.0,6.0,5.0,12.0,13.0,7.0,4.0,9.0,7.0,5.0,8.0,15.0,8.0,13.0,8.0,5.0
dentist,7.0,5.0,17.0,5.0,4.0,12.0,5.0,20.0,17.0,9.0,5.0,5.0,16.0,9.0,6.0,7.0,5.0,13.0,18.0,9.0,7.0,3.0,11.0,8.0,7.0,10.0,11.0,7.0,14.0,11.0
doctor,10.0,8.0,15.0,4.0,8.0,5.0,14.0,17.0,20.0,12.0,5.0,5.0,10.0,14.0,7.0,10.0,10.0,12.0,9.0,6.0,4.0,15.0,5.0,17.0,5.0,14.0,5.0,5.0,9.0,15.0
educator,11.0,10.0,11.0,4.0,9.0,7.0,9.0,9.0,12.0,20.0,8.0,7.0,9.0,8.0,9.0,14.0,3.0,6.0,12.0,8.0,2.0,16.0,5.0,18.0,7.0,7.0,10.0,11.0,19.0,8.0
fireman,8.0,5.0,5.0,8.0,8.0,7.0,4.0,5.0,5.0,8.0,20.0,12.0,5.0,8.0,8.0,5.0,4.0,12.0,5.0,7.0,8.0,17.0,12.0,5.0,10.0,5.0,4.0,9.0,7.0,7.0
