exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,10.0,11.0,11.0,7.0,9.0,7.0,11.0,11.0,11.0,8.0,8.0,13.0,12.0,14.0,11.0,7.0,6.0,10.0,10.0,9.0,11.0,8.0,11.0,12.0,11.0,8.0,8.0,13.0,7.0
actor,10.0,20.0,8.0,10.0,9.0,6.0,9.0,9.0,10.0,11.0,7.0,7.0,10.0,11.0,7.0,11.0,11.0,9.0,7.0,12.0,5.0,1.0,8.0,12.0,5.0,11.0,12.0,8.0,12.0,11.0
archaeologist,11.0,8.0,20.0,13.0,7.0,7.0,6.0,12.0,11.0,11.0,7.0,10.0,7.0,12.0,12.0,8.0,8.0,13.0,12.0,5.0,6.0,10.0,9.0,13.0,7.0,7.0,7.0,7.0,9.0,12.0
architect,11.0,10.0,13.0,20.0,9.0,8.0,7.0,13.0,11.0,11.0,9.0,5.0,13.0,13.0,14.0,12.0,13.0,12.0,12.0,11.0,12.0,7.0,8.0,14.0,9.0,7.0,11.0,7.0,11.0,12.0
baker,7.0,9.0,7.0,9.0,20.0,12.0,14.0,8.0,7.0,10.0,11.0,8.0,7.0,7.0,10.0,7.0,7.0,12.0,9.0,11.0,11.0,8.0,11.0,10.0,8.0,14.0,11.0,7.0,12.0,10.0
butcher,9.0,6.0,7.0,8.0,12.0,20.0,12.0,8.0,7.0,5.0,8.0,7.0,8.0,7.0,6.0,5.0,7.0,6.0,6.0,8.0,8.0,8.0,12.0,8.0,8.0,14.0,10.0,5.0,11.0,9.0
cook,7.0,9.0,6.0,7.0,14.0,12.0,20.0,11.0,6.0,7.0,8.0,10.0,7.0,7.0,6.0,9.0,7.0,11.0,9.0,7.0,10.0,7.0,11.0,8.0,9.0,10.0,7.0,10.0,10.0,7.0
dentist,11.0,9.0,12.0,13.0,8.0,8.0,11.0,20.0,14.0,10.0,8.0,8.0,10.0,11.0,11.0,11.0,11.0,14.0,13.0,8.0,8.0,8.0,10.0,12.0,7.0,11.0,8.0,8.0,11.0,13.0
doctor,11.0,10.0,11.0,11.0,7.0,7.0,6.0,14.0,20.0,11.0,11.0,7.0,11.0,11.0,14.0,13.0,12.0,13.0,12.0,12.0,7.0,10.0,6.0,15.0,11.0,7.0,6.0,7.0,12.0,15.0
educator,11.0,11.0,11.0,11.0,10.0,5.0,7.0,10.0,11.0,20.0,6.0,8.0,10.0,12.0,11.0,10.0,10.0,11.0,14.0,7.0,11.0,7.0,9.0,13.0,11.0,9.0,7.0,11.0,14.0,11.0
fireman,8.0,7.0,7.0,9.0,11.0,8.0,8.0,8.0,11.0,6.0,20.0,14.0,6.0,8.0,9.0,11.0,10.0,9.0,8.0,12.0,13.0,14.0,12.0,6.0,4.0,10.0,8.0,7.0,11.0,10.0
garbage collector,8.0,7.0,10.0,5.0,8.0,7.0,10.0,8.0,7.0,8.0,14.0,20.0,8.0,8.0,6.0,5.0,4.0,6.0,7.0,9.0,12.0,9.0,11.0,7.0,7.0,8.0,9.0,8.0,9.0,8.0
information scientist,13.0,10.0,7.0,13.0,7.0,8.0,7.0,10.0,11.0,10.0,6.0,8.0,20.0,7.0,12.0,8.0,6.0,9.0,11.0,10.0,11.0,9.0,8.0,8.0,11.0,7.0,8.0,9.0,10.0,8.0
judge,12.0,11.0,12.0,13.0,7.0,7.0,7.0,11.0,11.0,12.0,8.0,8.0,7.0,20.0,15.0,14.0,14.0,12.0,11.0,11.0,9.0,7.0,6.0,14.0,9.0,6.0,8.0,8.0,13.0,14.0
lawyer,14.0,7.0,12.0,14.0,10.0,6.0,6.0,11.0,14.0,11.0,9.0,6.0,12.0,15.0,20.0,12.0,13.0,12.0,11.0,11.0,8.0,8.0,10.0,14.0,8.0,8.0,7.0,7.0,11.0,13.0
manager,11.0,11.0,8.0,12.0,7.0,5.0,9.0,11.0,13.0,10.0,11.0,5.0,8.0,14.0,12.0,20.0,13.0,14.0,11.0,11.0,8.0,8.0,8.0,12.0,14.0,7.0,9.0,8.0,9.0,13.0
minister,7.0,11.0,8.0,13.0,7.0,7.0,7.0,11.0,12.0,10.0,10.0,4.0,6.0,14.0,13.0,13.0,20.0,11.0,11.0,11.0,9.0,9.0,9.0,14.0,11.0,9.0,10.0,8.0,12.0,13.0
pharmacist,6.0,9.0,13.0,12.0,12.0,6.0,11.0,14.0,13.0,11.0,9.0,6.0,9.0,12.0,12.0,14.0,11.0,20.0,12.0,12.0,6.0,8.0,7.0,12.0,5.0,12.0,5.0,7.0,11.0,12.0
physiotherapist,10.0,7.0,12.0,12.0,9.0,6.0,9.0,13.0,12.0,14.0,8.0,7.0,11.0,11.0,11.0,11.0,11.0,12.0,20.0,6.0,7.0,9.0,9.0,12.0,10.0,8.0,6.0,9.0,11.0,13.0
pilot,10.0,12.0,5.0,11.0,11.0,8.0,7.0,8.0,12.0,7.0,12.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,6.0,20.0,8.0,13.0,15.0,6.0,9.0,8.0,7.0,14.0,9.0,7.0
plumber,9.0,5.0,6.0,12.0,11.0,8.0,10.0,8.0,7.0,11.0,13.0,12.0,11.0,9.0,8.0,8.0,9.0,6.0,7.0,8.0,20.0,8.0,10.0,7.0,10.0,7.0,11.0,7.0,8.0,9.0
police officer,11.0,1.0,10.0,7.0,8.0,8.0,7.0,8.0,10.0,7.0,14.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,13.0,8.0,20.0,12.0,8.0,8.0,10.0,6.0,8.0,10.0,8.0
postman,8.0,8.0,9.0,8.0,11.0,12.0,11.0,10.0,6.0,9.0,12.0,11.0,8.0,6.0,10.0,8.0,9.0,7.0,9.0,15.0,10.0,12.0,20.0,6.0,13.0,11.0,6.0,7.0,10.0,8.0
