exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,14.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,13.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,15.0,14.0,14.0,15.0,15.0,14.0
actor,14.0,20.0,14.0,15.0,15.0,15.0,14.0,12.0,15.0,14.0,15.0,15.0,14.0,16.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0
archaeologist,14.0,14.0,20.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0
architect,15.0,15.0,15.0,20.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,14.0,15.0,14.0,15.0,14.0,15.0
baker,14.0,15.0,14.0,14.0,20.0,15.0,16.0,14.0,16.0,15.0,16.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0,16.0,15.0,14.0,15.0,16.0,15.0,15.0,15.0,14.0
butcher,14.0,15.0,14.0,15.0,15.0,20.0,15.0,15.0,14.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,15.0,15.0,14.0,15.0,16.0,16.0,14.0,14.0,14.0
cook,14.0,14.0,14.0,14.0,16.0,15.0,20.0,14.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,17.0,14.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,16.0,15.0,14.0
dentist,15.0,12.0,15.0,15.0,14.0,15.0,14.0,20.0,18.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,14.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,17.0
doctor,15.0,15.0,15.0,15.0,16.0,14.0,14.0,18.0,20.0,14.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,17.0,16.0,15.0,14.0,14.0,15.0,14.0,14.0,14.0,16.0,14.0,18.0
educator,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,20.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,15.0,16.0,15.0,15.0,14.0,15.0,17.0,14.0
