exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,10.0,8.0,12.0,11.0,8.0,9.0,10.0,10.0,7.0,7.0,8.0,12.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,9.0,9.0,8.0,12.0,14.0,10.0,10.0,8.0,12.0,7.0
actor,10.0,20.0,10.0,9.0,13.0,10.0,9.0,8.0,7.0,8.0,8.0,10.0,10.0,7.0,13.0,9.0,8.0,9.0,10.0,10.0,8.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0
archaeologist,8.0,10.0,20.0,12.0,7.0,8.0,10.0,8.0,11.0,9.0,12.0,9.0,12.0,13.0,8.0,12.0,12.0,6.0,9.0,9.0,6.0,9.0,9.0,8.0,8.0,10.0,7.0,11.0,9.0,8.0
architect,12.0,9.0,12.0,20.0,9.0,9.0,9.0,11.0,10.0,7.0,9.0,4.0,14.0,13.0,11.0,13.0,11.0,10.0,12.0,13.0,8.0,8.0,8.0,13.0,9.0,8.0,9.0,7.0,12.0,14.0
baker,11.0,13.0,7.0,9.0,20.0,12.0,14.0,12.0,8.0,9.0,12.0,9.0,7.0,6.0,9.0,7.0,6.0,9.0,9.0,8.0,11.0,9.0,8.0,9.0,8.0,14.0,13.0,9.0,8.0,8.0
butcher,8.0,10.0,8.0,9.0,12.0,20.0,12.0,10.0,10.0,7.0,9.0,10.0,7.0,8.0,6.0,9.0,8.0,9.0,6.0,8.0,9.0,10.0,10.0,9.0,9.0,12.0,11.0,8.0,11.0,12.0
cook,9.0,9.0,10.0,9.0,14.0,12.0,20.0,14.0,9.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,10.0,10.0,8.0,8.0,11.0,10.0,11.0,10.0,9.0
dentist,10.0,8.0,8.0,11.0,12.0,10.0,14.0,20.0,14.0,11.0,8.0,5.0,13.0,9.0,11.0,11.0,8.0,14.0,12.0,10.0,7.0,9.0,9.0,12.0,8.0,10.0,8.0,10.0,10.0,14.0
doctor,10.0,7.0,11.0,10.0,8.0,10.0,9.0,14.0,20.0,12.0,7.0,7.0,13.0,11.0,12.0,12.0,11.0,14.0,15.0,13.0,4.0,10.0,7.0,14.0,11.0,8.0,6.0,10.0,10.0,12.0
educator,7.0,8.0,9.0,7.0,9.0,7.0,11.0,11.0,12.0,20.0,7.0,8.0,5.0,9.0,12.0,11.0,7.0,8.0,7.0,9.0,9.0,12.0,11.0,12.0,8.0,8.0,7.0,10.0,16.0,11.0
fireman,7.0,8.0,12.0,9.0,12.0,9.0,9.0,8.0,7.0,7.0,20.0,12.0,4.0,8.0,9.0,8.0,8.0,7.0,9.0,6.0,12.0,11.0,10.0,9.0,8.0,6.0,6.0,9.0,11.0,8.0
garbage collector,8.0,10.0,9.0,4.0,9.0,10.0,8.0,5.0,7.0,8.0,12.0,20.0,4.0,4.0,4.0,5.0,4.0,6.0,8.0,5.0,12.0,6.0,11.0,7.0,7.0,8.0,11.0,8.0,9.0,7.0
information scientist,12.0,10.0,12.0,14.0,7.0,7.0,9.0,13.0,13.0,5.0,4.0,4.0,20.0,11.0,14.0,12.0,12.0,8.0,7.0,11.0,6.0,10.0,8.0,13.0,11.0,7.0,8.0,9.0,11.0,8.0
judge,12.0,7.0,13.0,13.0,6.0,8.0,9.0,9.0,11.0,9.0,8.0,4.0,11.0,20.0,14.0,11.0,13.0,10.0,9.0,11.0,7.0,11.0,5.0,12.0,10.0,6.0,6.0,8.0,8.0,12.0
lawyer,12.0,13.0,8.0,11.0,9.0,6.0,9.0,11.0,12.0,12.0,9.0,4.0,14.0,14.0,20.0,12.0,14.0,9.0,10.0,13.0,6.0,13.0,8.0,14.0,11.0,7.0,4.0,9.0,12.0,9.0
manager,12.0,9.0,12.0,13.0,7.0,9.0,8.0,11.0,12.0,11.0,8.0,5.0,12.0,11.0,12.0,20.0,13.0,9.0,10.0,11.0,9.0,10.0,10.0,12.0,12.0,10.0,9.0,10.0,12.0,7.0
minister,12.0,8.0,12.0,11.0,6.0,8.0,8.0,8.0,11.0,7.0,8.0,4.0,12.0,13.0,14.0,13.0,20.0,11.0,7.0,11.0,6.0,9.0,6.0,10.0,12.0,9.0,5.0,10.0,10.0,10.0
