exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,2.0,2.0,9.0,6.0,2.0,6.0,2.0,5.0,2.0,3.0,3.0,15.0,9.0,10.0,7.0,6.0,8.0,5.0,1.0,3.0,9.0,11.0,4.0,13.0,8.0,8.0,4.0,5.0,3.0
actor,2.0,20.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,5.0,1.0,3.0,3.0,3.0,5.0,2.0,7.0,3.0,8.0,9.0,3.0
archaeologist,2.0,5.0,20.0,3.0,5.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,7.0,3.0,5.0,3.0,5.0,3.0,2.0,6.0,3.0
architect,9.0,4.0,3.0,20.0,3.0,4.0,3.0,11.0,3.0,2.0,2.0,3.0,15.0,5.0,3.0,8.0,5.0,3.0,5.0,11.0,9.0,6.0,5.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0
baker,6.0,3.0,5.0,3.0,20.0,11.0,11.0,3.0,3.0,2.0,6.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,5.0,3.0,5.0,12.0,11.0,2.0,2.0,3.0
butcher,2.0,3.0,2.0,4.0,11.0,20.0,14.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,6.0,3.0,3.0,8.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,11.0,10.0,4.0,4.0,5.0
cook,6.0,3.0,3.0,3.0,11.0,14.0,20.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,8.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0
dentist,2.0,2.0,3.0,11.0,3.0,3.0,3.0,20.0,17.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,5.0,11.0,14.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,1.0,5.0,3.0
doctor,5.0,4.0,3.0,3.0,3.0,3.0,3.0,17.0,20.0,3.0,7.0,3.0,5.0,9.0,10.0,10.0,5.0,11.0,12.0,9.0,3.0,8.0,2.0,13.0,4.0,3.0,3.0,5.0,14.0,15.0
educator,2.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,20.0,3.0,3.0,9.0,13.0,3.0,7.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,15.0,3.0,2.0,3.0,2.0,11.0,3.0
fireman,3.0,3.0,5.0,2.0,6.0,2.0,2.0,2.0,7.0,3.0,20.0,2.0,3.0,3.0,2.0,9.0,3.0,1.0,3.0,3.0,15.0,9.0,3.0,8.0,3.0,3.0,6.0,3.0,5.0,10.0
garbage collector,3.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,20.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,3.0,2.0,9.0,2.0,3.0,2.0,3.0,2.0,3.0
information scientist,15.0,3.0,8.0,15.0,3.0,3.0,3.0,3.0,5.0,9.0,3.0,3.0,20.0,6.0,5.0,5.0,6.0,6.0,3.0,15.0,5.0,3.0,8.0,3.0,6.0,5.0,3.0,4.0,12.0,2.0
judge,9.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,9.0,13.0,3.0,2.0,6.0,20.0,17.0,12.0,16.0,9.0,2.0,6.0,2.0,10.0,5.0,7.0,4.0,3.0,2.0,3.0,5.0,4.0
lawyer,10.0,5.0,5.0,3.0,3.0,6.0,3.0,5.0,10.0,3.0,2.0,3.0,5.0,17.0,20.0,13.0,13.0,3.0,3.0,5.0,3.0,16.0,5.0,11.0,8.0,2.0,2.0,3.0,8.0,4.0
manager,7.0,3.0,5.0,8.0,4.0,3.0,5.0,3.0,10.0,7.0,9.0,3.0,5.0,12.0,13.0,20.0,6.0,6.0,2.0,3.0,3.0,12.0,3.0,7.0,14.0,8.0,2.0,3.0,5.0,4.0
minister,6.0,2.0,3.0,5.0,2.0,3.0,3.0,5.0,5.0,2.0,3.0,3.0,6.0,16.0,13.0,6.0,20.0,2.0,3.0,3.0,1.0,2.0,2.0,5.0,8.0,3.0,2.0,4.0,2.0,3.0
pharmacist,8.0,3.0,3.0,3.0,3.0,8.0,8.0,11.0,11.0,3.0,1.0,3.0,6.0,9.0,3.0,6.0,2.0,20.0,5.0,6.0,5.0,2.0,3.0,3.0,9.0,11.0,3.0,3.0,2.0,3.0
physiotherapist,5.0,5.0,2.0,5.0,5.0,2.0,3.0,14.0,12.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,20.0,2.0,3.0,4.0,3.0,8.0,3.0,5.0,3.0,2.0,5.0,3.0
pilot,1.0,1.0,3.0,11.0,3.0,2.0,3.0,3.0,9.0,4.0,3.0,3.0,15.0,6.0,5.0,3.0,3.0,6.0,2.0,20.0,7.0,8.0,3.0,5.0,2.0,3.0,4.0,17.0,3.0,4.0
plumber,3.0,3.0,3.0,9.0,2.0,2.0,3.0,3.0,3.0,4.0,15.0,9.0,5.0,2.0,3.0,3.0,1.0,5.0,3.0,7.0,20.0,3.0,2.0,3.0,3.0,6.0,2.0,2.0,2.0,3.0
police officer,9.0,3.0,7.0,6.0,2.0,4.0,3.0,2.0,8.0,2.0,9.0,3.0,3.0,10.0,16.0,12.0,2.0,2.0,4.0,8.0,3.0,20.0,10.0,4.0,3.0,5.0,3.0,5.0,8.0,3.0
postman,11.0,3.0,3.0,5.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,8.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,10.0,20.0,2.0,13.0,3.0,2.0,3.0,3.0,2.0
psychologist,4.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,13.0,15.0,8.0,9.0,3.0,7.0,11.0,7.0,5.0,3.0,8.0,5.0,3.0,4.0,2.0,20.0,3.0,2.0,3.0,2.0,13.0,6.0
secretary,13.0,2.0,3.0,2.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,6.0,4.0,8.0,14.0,8.0,9.0,3.0,2.0,3.0,3.0,13.0,3.0,20.0,7.0,5.0,2.0,3.0,2.0
shop-assistant,8.0,7.0,5.0,3.0,12.0,11.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,8.0,3.0,11.0,5.0,3.0,6.0,5.0,3.0,2.0,7.0,20.0,4.0,6.0,4.0,3.0
stallholder,8.0,3.0,3.0,2.0,11.0,10.0,3.0,3.0,3.0,3.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,4.0,20.0,3.0,3.0,3.0
stewardess,4.0,8.0,2.0,4.0,2.0,4.0,3.0,1.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,17.0,2.0,5.0,3.0,2.0,2.0,6.0,3.0,20.0,2.0,2.0
teacher,5.0,9.0,6.0,4.0,2.0,4.0,4.0,5.0,14.0,11.0,5.0,2.0,12.0,5.0,8.0,5.0,2.0,2.0,5.0,3.0,2.0,8.0,3.0,13.0,3.0,4.0,3.0,2.0,20.0,4.0
veterinarian,3.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,15.0,3.0,10.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,6.0,2.0,3.0,3.0,2.0,4.0,20.0
