exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,1.0,14.0,1.0,2.0,1.0,4.0,1.0,6.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,15.0,1.0,1.0,11.0,13.0,12.0,2.0
ballet,1.0,20.0,2.0,4.0,1.0,13.0,2.0,1.0,4.0,2.0,16.0,4.0,2.0,11.0,6.0,6.0,6.0,2.0,1.0,1.0,3.0,5.0,1.0,4.0,2.0,5.0,3.0,5.0,2.0,3.0
baseball,14.0,2.0,20.0,5.0,2.0,4.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,4.0,1.0,4.0,10.0,5.0,1.0,13.0,1.0,3.0,1.0,12.0,1.0,1.0,3.0,6.0,4.0,2.0
basketball,1.0,4.0,5.0,20.0,1.0,5.0,1.0,1.0,1.0,2.0,5.0,10.0,1.0,7.0,1.0,2.0,2.0,8.0,1.0,8.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0
billiards,2.0,1.0,2.0,1.0,20.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0
boxing,1.0,13.0,4.0,5.0,1.0,20.0,2.0,1.0,13.0,1.0,12.0,2.0,1.0,4.0,9.0,3.0,9.0,4.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,6.0,2.0,4.0
chess,4.0,2.0,1.0,1.0,2.0,2.0,20.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
cycling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fencing,6.0,4.0,3.0,1.0,2.0,13.0,1.0,1.0,20.0,2.0,6.0,1.0,1.0,5.0,12.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,8.0,10.0,2.0,5.0
golfing,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,20.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,10.0,1.0,1.0,4.0,2.0,2.0,16.0
gymnastics,3.0,16.0,5.0,5.0,1.0,12.0,1.0,2.0,6.0,2.0,20.0,4.0,1.0,5.0,14.0,8.0,9.0,7.0,1.0,4.0,11.0,10.0,1.0,5.0,4.0,5.0,1.0,6.0,10.0,6.0
handball,4.0,4.0,3.0,10.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,20.0,1.0,5.0,2.0,2.0,11.0,4.0,1.0,9.0,1.0,12.0,1.0,3.0,1.0,1.0,6.0,5.0,4.0,2.0
horseback riding,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,4.0,1.0,6.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ice hockey,4.0,11.0,4.0,7.0,2.0,4.0,1.0,1.0,5.0,7.0,5.0,5.0,1.0,20.0,4.0,2.0,8.0,4.0,1.0,1.0,5.0,7.0,2.0,2.0,1.0,3.0,3.0,9.0,3.0,4.0
judo,1.0,6.0,1.0,1.0,1.0,9.0,1.0,1.0,12.0,1.0,14.0,2.0,1.0,4.0,20.0,4.0,12.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
long jump,1.0,6.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,8.0,2.0,4.0,2.0,4.0,20.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
rugby,2.0,6.0,10.0,2.0,1.0,9.0,1.0,1.0,2.0,1.0,9.0,11.0,1.0,8.0,12.0,1.0,20.0,6.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,7.0,4.0
running,1.0,2.0,5.0,8.0,1.0,4.0,1.0,5.0,2.0,3.0,7.0,4.0,6.0,4.0,2.0,4.0,6.0,20.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,5.0,4.0,15.0
sailing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,10.0,1.0,14.0,8.0,2.0,2.0,1.0,2.0
