exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,14.0,5.0,7.0,7.0,2.0,13.0,4.0,8.0,8.0,12.0,6.0,3.0,8.0,6.0,2.0,2.0,4.0,4.0,6.0,3.0,8.0,3.0,15.0,5.0,8.0,14.0,4.0,6.0,6.0
ballet,14.0,20.0,2.0,2.0,15.0,1.0,7.0,4.0,5.0,4.0,18.0,4.0,4.0,1.0,2.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,11.0,7.0,9.0,8.0
baseball,5.0,2.0,20.0,7.0,4.0,13.0,3.0,4.0,2.0,2.0,5.0,7.0,3.0,14.0,6.0,2.0,18.0,8.0,4.0,16.0,4.0,10.0,3.0,17.0,3.0,3.0,2.0,2.0,13.0,3.0
basketball,7.0,2.0,7.0,20.0,4.0,9.0,2.0,3.0,3.0,7.0,6.0,16.0,4.0,5.0,4.0,10.0,5.0,6.0,3.0,10.0,2.0,15.0,3.0,5.0,6.0,3.0,4.0,4.0,9.0,7.0
billiards,7.0,15.0,4.0,4.0,20.0,2.0,14.0,4.0,6.0,14.0,5.0,4.0,3.0,8.0,2.0,2.0,2.0,3.0,4.0,6.0,3.0,3.0,5.0,5.0,5.0,8.0,4.0,6.0,4.0,12.0
boxing,2.0,1.0,13.0,9.0,2.0,20.0,1.0,4.0,2.0,2.0,1.0,6.0,3.0,4.0,12.0,11.0,16.0,11.0,3.0,11.0,4.0,9.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0
chess,13.0,7.0,3.0,2.0,14.0,1.0,20.0,2.0,10.0,16.0,6.0,3.0,4.0,5.0,3.0,2.0,7.0,1.0,3.0,2.0,2.0,2.0,9.0,4.0,4.0,2.0,13.0,5.0,2.0,15.0
cycling,4.0,4.0,4.0,3.0,4.0,4.0,2.0,20.0,2.0,6.0,5.0,5.0,10.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,13.0
fencing,8.0,5.0,2.0,3.0,6.0,2.0,10.0,2.0,20.0,4.0,3.0,4.0,3.0,4.0,3.0,6.0,3.0,4.0,8.0,3.0,5.0,6.0,2.0,6.0,3.0,2.0,6.0,6.0,4.0,4.0
golfing,8.0,4.0,2.0,7.0,14.0,2.0,16.0,6.0,4.0,20.0,8.0,3.0,7.0,12.0,6.0,4.0,4.0,3.0,8.0,7.0,3.0,4.0,4.0,14.0,6.0,4.0,12.0,6.0,3.0,8.0
gymnastics,12.0,18.0,5.0,6.0,5.0,1.0,6.0,5.0,3.0,8.0,20.0,6.0,3.0,3.0,7.0,8.0,3.0,5.0,4.0,6.0,3.0,2.0,3.0,4.0,3.0,8.0,3.0,3.0,8.0,4.0
handball,6.0,4.0,7.0,16.0,4.0,6.0,3.0,5.0,4.0,3.0,6.0,20.0,3.0,5.0,4.0,9.0,6.0,9.0,4.0,7.0,5.0,16.0,3.0,3.0,3.0,3.0,9.0,9.0,14.0,3.0
horseback riding,3.0,4.0,3.0,4.0,3.0,3.0,4.0,10.0,3.0,7.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,11.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
ice hockey,8.0,1.0,14.0,5.0,8.0,4.0,5.0,3.0,4.0,12.0,3.0,5.0,3.0,20.0,12.0,4.0,15.0,10.0,6.0,5.0,3.0,6.0,4.0,4.0,5.0,11.0,3.0,3.0,5.0,3.0
judo,6.0,2.0,6.0,4.0,2.0,12.0,3.0,4.0,3.0,6.0,7.0,4.0,3.0,12.0,20.0,4.0,9.0,9.0,5.0,7.0,2.0,3.0,3.0,7.0,3.0,3.0,3.0,8.0,6.0,2.0
