exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,3.0,3.0,7.0,2.0,6.0,3.0,6.0,3.0,6.0,2.0,3.0,7.0,5.0,6.0,5.0,6.0,7.0,3.0,6.0,6.0,10.0,2.0,12.0,3.0,7.0,12.0,8.0,10.0,3.0
ballet,3.0,20.0,2.0,1.0,3.0,2.0,3.0,10.0,1.0,3.0,12.0,3.0,9.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,6.0,3.0,3.0,3.0,3.0,6.0,2.0,7.0
baseball,3.0,2.0,20.0,10.0,3.0,8.0,2.0,6.0,6.0,3.0,6.0,6.0,3.0,9.0,6.0,6.0,8.0,8.0,3.0,11.0,6.0,6.0,3.0,11.0,3.0,6.0,3.0,3.0,11.0,3.0
basketball,7.0,1.0,10.0,20.0,3.0,6.0,2.0,5.0,5.0,3.0,3.0,12.0,2.0,7.0,6.0,6.0,8.0,10.0,3.0,7.0,5.0,10.0,3.0,7.0,2.0,9.0,3.0,6.0,14.0,2.0
billiards,2.0,3.0,3.0,3.0,20.0,2.0,14.0,3.0,3.0,9.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,9.0,3.0,3.0,3.0,10.0,2.0,8.0,2.0,10.0,3.0,5.0,10.0
boxing,6.0,2.0,8.0,6.0,2.0,20.0,2.0,3.0,10.0,2.0,2.0,5.0,3.0,7.0,3.0,6.0,13.0,3.0,2.0,8.0,3.0,6.0,2.0,6.0,3.0,2.0,3.0,4.0,9.0,3.0
chess,3.0,3.0,2.0,2.0,14.0,2.0,20.0,2.0,2.0,11.0,2.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,9.0,1.0,5.0,1.0,10.0,3.0,1.0,2.0,3.0,6.0,2.0,9.0
cycling,6.0,10.0,6.0,5.0,3.0,3.0,2.0,20.0,3.0,3.0,3.0,6.0,4.0,4.0,3.0,7.0,7.0,12.0,3.0,3.0,3.0,8.0,6.0,6.0,3.0,3.0,5.0,3.0,6.0,6.0
fencing,3.0,1.0,6.0,5.0,3.0,10.0,2.0,3.0,20.0,6.0,3.0,5.0,7.0,6.0,3.0,2.0,6.0,3.0,2.0,3.0,4.0,9.0,7.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0
golfing,6.0,3.0,3.0,3.0,9.0,2.0,11.0,3.0,6.0,20.0,6.0,6.0,6.0,2.0,6.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,9.0,6.0,8.0,6.0,7.0,11.0,5.0,10.0
gymnastics,2.0,12.0,6.0,3.0,2.0,2.0,2.0,3.0,3.0,6.0,20.0,3.0,6.0,2.0,6.0,7.0,3.0,6.0,3.0,3.0,9.0,5.0,1.0,7.0,6.0,4.0,3.0,7.0,6.0,2.0
handball,3.0,3.0,6.0,12.0,2.0,5.0,3.0,6.0,5.0,6.0,3.0,20.0,3.0,7.0,6.0,8.0,8.0,8.0,3.0,4.0,4.0,10.0,3.0,9.0,6.0,6.0,3.0,10.0,15.0,3.0
horseback riding,7.0,9.0,3.0,2.0,3.0,3.0,6.0,4.0,7.0,6.0,6.0,3.0,20.0,3.0,6.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,6.0,3.0,2.0,5.0,3.0,3.0,2.0,8.0
ice hockey,5.0,1.0,9.0,7.0,2.0,7.0,2.0,4.0,6.0,2.0,2.0,7.0,3.0,20.0,6.0,7.0,12.0,6.0,2.0,6.0,12.0,10.0,2.0,8.0,2.0,7.0,2.0,6.0,9.0,2.0
judo,6.0,2.0,6.0,6.0,2.0,3.0,1.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,20.0,5.0,6.0,6.0,3.0,3.0,2.0,6.0,6.0,9.0,3.0,2.0,2.0,6.0,6.0,2.0
long jump,5.0,2.0,6.0,6.0,1.0,6.0,1.0,7.0,2.0,3.0,7.0,8.0,3.0,7.0,5.0,20.0,6.0,12.0,3.0,8.0,9.0,8.0,1.0,7.0,4.0,9.0,3.0,6.0,3.0,3.0
rugby,6.0,2.0,8.0,8.0,3.0,13.0,1.0,7.0,6.0,2.0,3.0,8.0,2.0,12.0,6.0,6.0,20.0,6.0,3.0,6.0,3.0,15.0,3.0,9.0,3.0,6.0,3.0,3.0,8.0,3.0
running,7.0,2.0,8.0,10.0,2.0,3.0,2.0,12.0,3.0,2.0,6.0,8.0,4.0,6.0,6.0,12.0,6.0,20.0,3.0,6.0,6.0,10.0,3.0,12.0,6.0,3.0,3.0,3.0,6.0,10.0
sailing,3.0,3.0,3.0,3.0,9.0,2.0,9.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,20.0,3.0,6.0,2.0,8.0,4.0,18.0,6.0,3.0,7.0,3.0,8.0
shot-put,6.0,1.0,11.0,7.0,3.0,8.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,6.0,3.0,8.0,6.0,6.0,3.0,20.0,2.0,6.0,6.0,3.0,4.0,7.0,8.0,7.0,6.0,3.0
skiing,6.0,2.0,6.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,9.0,4.0,3.0,12.0,2.0,9.0,3.0,6.0,6.0,2.0,20.0,5.0,3.0,7.0,10.0,15.0,3.0,3.0,3.0,7.0
