exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,6.0,11.0,10.0,6.0,6.0,5.0,4.0,9.0,4.0,9.0,11.0,7.0,7.0,3.0,9.0,8.0,7.0,6.0,10.0,7.0,5.0,3.0,16.0,6.0,8.0,13.0,17.0,8.0,6.0
ballet,6.0,20.0,3.0,1.0,7.0,7.0,7.0,5.0,7.0,5.0,16.0,4.0,4.0,3.0,13.0,15.0,2.0,6.0,8.0,4.0,10.0,3.0,1.0,9.0,8.0,10.0,7.0,6.0,6.0,5.0
baseball,11.0,3.0,20.0,12.0,6.0,8.0,6.0,8.0,7.0,9.0,8.0,11.0,5.0,8.0,8.0,6.0,9.0,15.0,4.0,12.0,5.0,14.0,5.0,15.0,3.0,3.0,8.0,10.0,10.0,3.0
basketball,10.0,1.0,12.0,20.0,7.0,6.0,8.0,8.0,7.0,10.0,3.0,13.0,5.0,5.0,3.0,4.0,16.0,16.0,5.0,8.0,6.0,9.0,4.0,9.0,4.0,5.0,8.0,6.0,8.0,9.0
billiards,6.0,7.0,6.0,7.0,20.0,6.0,6.0,8.0,6.0,6.0,4.0,7.0,9.0,8.0,8.0,3.0,6.0,3.0,6.0,12.0,6.0,11.0,2.0,9.0,6.0,3.0,7.0,7.0,4.0,5.0
boxing,6.0,7.0,8.0,6.0,6.0,20.0,6.0,7.0,11.0,9.0,4.0,6.0,3.0,8.0,10.0,12.0,13.0,5.0,4.0,11.0,5.0,3.0,6.0,11.0,6.0,4.0,6.0,5.0,6.0,6.0
chess,5.0,7.0,6.0,8.0,6.0,6.0,20.0,8.0,6.0,3.0,3.0,6.0,3.0,4.0,3.0,6.0,11.0,5.0,7.0,7.0,6.0,12.0,3.0,6.0,4.0,5.0,8.0,6.0,8.0,3.0
cycling,4.0,5.0,8.0,8.0,8.0,7.0,8.0,20.0,6.0,5.0,7.0,7.0,8.0,4.0,7.0,7.0,6.0,11.0,6.0,5.0,7.0,6.0,8.0,5.0,5.0,9.0,4.0,8.0,5.0,11.0
fencing,9.0,7.0,7.0,7.0,6.0,11.0,6.0,6.0,20.0,4.0,8.0,7.0,2.0,6.0,6.0,13.0,9.0,6.0,7.0,5.0,3.0,3.0,5.0,6.0,7.0,7.0,7.0,6.0,8.0,5.0
golfing,4.0,5.0,9.0,10.0,6.0,9.0,3.0,5.0,4.0,20.0,5.0,7.0,9.0,12.0,4.0,3.0,3.0,4.0,6.0,6.0,2.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,11.0,2.0
gymnastics,9.0,16.0,8.0,3.0,4.0,4.0,3.0,7.0,8.0,5.0,20.0,6.0,6.0,4.0,12.0,12.0,6.0,8.0,4.0,5.0,5.0,8.0,3.0,8.0,6.0,10.0,3.0,8.0,6.0,5.0
handball,11.0,4.0,11.0,13.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,20.0,4.0,9.0,8.0,7.0,12.0,11.0,7.0,16.0,4.0,12.0,5.0,7.0,16.0,9.0,4.0,8.0,12.0,7.0
horseback riding,7.0,4.0,5.0,5.0,9.0,3.0,3.0,8.0,2.0,9.0,6.0,4.0,20.0,5.0,5.0,4.0,6.0,12.0,8.0,6.0,6.0,9.0,4.0,8.0,6.0,6.0,6.0,5.0,6.0,7.0
ice hockey,7.0,3.0,8.0,5.0,8.0,8.0,4.0,4.0,6.0,12.0,4.0,9.0,5.0,20.0,6.0,8.0,14.0,5.0,7.0,7.0,11.0,5.0,5.0,12.0,5.0,4.0,8.0,6.0,6.0,6.0
judo,3.0,13.0,8.0,3.0,8.0,10.0,3.0,7.0,6.0,4.0,12.0,8.0,5.0,6.0,20.0,4.0,16.0,9.0,4.0,5.0,10.0,9.0,6.0,8.0,7.0,5.0,8.0,9.0,6.0,8.0
long jump,9.0,15.0,6.0,4.0,3.0,12.0,6.0,7.0,13.0,3.0,12.0,7.0,4.0,8.0,4.0,20.0,9.0,5.0,5.0,2.0,7.0,13.0,3.0,18.0,6.0,4.0,8.0,7.0,9.0,14.0
rugby,8.0,2.0,9.0,16.0,6.0,13.0,11.0,6.0,9.0,3.0,6.0,12.0,6.0,14.0,16.0,9.0,20.0,12.0,6.0,8.0,4.0,16.0,4.0,7.0,6.0,6.0,5.0,5.0,9.0,2.0
running,7.0,6.0,15.0,16.0,3.0,5.0,5.0,11.0,6.0,4.0,8.0,11.0,12.0,5.0,9.0,5.0,12.0,20.0,12.0,5.0,6.0,16.0,7.0,11.0,8.0,8.0,7.0,11.0,6.0,1.0
sailing,6.0,8.0,4.0,5.0,6.0,4.0,7.0,6.0,7.0,6.0,4.0,7.0,8.0,7.0,4.0,5.0,6.0,12.0,20.0,7.0,9.0,7.0,10.0,9.0,17.0,9.0,4.0,6.0,6.0,5.0
shot-put,10.0,4.0,12.0,8.0,12.0,11.0,7.0,5.0,5.0,6.0,5.0,16.0,6.0,7.0,5.0,2.0,8.0,5.0,7.0,20.0,6.0,8.0,5.0,10.0,9.0,5.0,7.0,8.0,7.0,4.0
skiing,7.0,10.0,5.0,6.0,6.0,5.0,6.0,7.0,3.0,2.0,5.0,4.0,6.0,11.0,10.0,7.0,4.0,6.0,9.0,6.0,20.0,9.0,3.0,4.0,3.0,7.0,5.0,10.0,5.0,8.0
soccer,5.0,3.0,14.0,9.0,11.0,3.0,12.0,6.0,3.0,9.0,8.0,12.0,9.0,5.0,9.0,13.0,16.0,16.0,7.0,8.0,9.0,20.0,4.0,7.0,6.0,10.0,6.0,12.0,7.0,6.0
sport fishing,3.0,1.0,5.0,4.0,2.0,6.0,3.0,8.0,5.0,9.0,3.0,5.0,4.0,5.0,6.0,3.0,4.0,7.0,10.0,5.0,3.0,4.0,20.0,6.0,8.0,5.0,4.0,4.0,6.0,9.0
squash,16.0,9.0,15.0,9.0,9.0,11.0,6.0,5.0,6.0,8.0,8.0,7.0,8.0,12.0,8.0,18.0,7.0,11.0,9.0,10.0,4.0,7.0,6.0,20.0,6.0,4.0,11.0,18.0,11.0,3.0
surfing,6.0,8.0,3.0,4.0,6.0,6.0,4.0,5.0,7.0,8.0,6.0,16.0,6.0,5.0,7.0,6.0,6.0,8.0,17.0,9.0,3.0,6.0,8.0,6.0,20.0,11.0,5.0,7.0,5.0,6.0
swimming,8.0,10.0,3.0,5.0,3.0,4.0,5.0,9.0,7.0,8.0,10.0,9.0,6.0,4.0,5.0,4.0,6.0,8.0,9.0,5.0,7.0,10.0,5.0,4.0,11.0,20.0,3.0,6.0,5.0,9.0
table tennis,13.0,7.0,8.0,8.0,7.0,6.0,8.0,4.0,7.0,8.0,3.0,4.0,6.0,8.0,8.0,8.0,5.0,7.0,4.0,7.0,5.0,6.0,4.0,11.0,5.0,3.0,20.0,17.0,11.0,5.0
tennis,17.0,6.0,10.0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,8.0,8.0,5.0,6.0,9.0,7.0,5.0,11.0,6.0,8.0,10.0,12.0,4.0,18.0,7.0,6.0,17.0,20.0,10.0,4.0
volleyball,8.0,6.0,10.0,8.0,4.0,6.0,8.0,5.0,8.0,11.0,6.0,12.0,6.0,6.0,6.0,9.0,9.0,6.0,6.0,7.0,5.0,7.0,6.0,11.0,5.0,5.0,11.0,10.0,20.0,8.0
walking,6.0,5.0,3.0,9.0,5.0,6.0,3.0,11.0,5.0,2.0,5.0,7.0,7.0,6.0,8.0,14.0,2.0,1.0,5.0,4.0,8.0,6.0,9.0,3.0,6.0,9.0,5.0,4.0,8.0,20.0
