exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,5.0,2.0,5.0,4.0,3.0,1.0,1.0,2.0,5.0,4.0,5.0,2.0,7.0,3.0,3.0,4.0,5.0,1.0,5.0,2.0,4.0,2.0,9.0,3.0,1.0,10.0,17.0,7.0,3.0
ballet,5.0,20.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,15.0,8.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,6.0,6.0
baseball,2.0,3.0,20.0,5.0,2.0,4.0,3.0,4.0,2.0,7.0,2.0,4.0,2.0,3.0,3.0,5.0,11.0,15.0,1.0,4.0,1.0,8.0,2.0,7.0,1.0,2.0,4.0,14.0,2.0,5.0
basketball,5.0,4.0,5.0,20.0,3.0,5.0,1.0,2.0,1.0,4.0,2.0,7.0,1.0,1.0,3.0,4.0,6.0,7.0,2.0,14.0,2.0,10.0,2.0,3.0,1.0,1.0,3.0,3.0,8.0,6.0
billiards,4.0,2.0,2.0,3.0,20.0,1.0,9.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,6.0,3.0,5.0,3.0
boxing,3.0,3.0,4.0,5.0,1.0,20.0,1.0,3.0,5.0,1.0,3.0,4.0,1.0,2.0,10.0,3.0,12.0,8.0,3.0,5.0,1.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0
chess,1.0,2.0,3.0,1.0,9.0,1.0,20.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0
cycling,1.0,2.0,4.0,2.0,1.0,3.0,3.0,20.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,10.0,3.0,1.0,2.0,8.0,1.0,1.0,2.0,4.0,3.0,4.0,1.0,5.0
fencing,2.0,4.0,2.0,1.0,2.0,5.0,5.0,1.0,20.0,1.0,3.0,4.0,4.0,2.0,12.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0
golfing,5.0,4.0,7.0,4.0,5.0,1.0,1.0,2.0,1.0,20.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0,5.0,6.0,4.0,5.0
gymnastics,4.0,15.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,20.0,3.0,2.0,2.0,5.0,6.0,4.0,8.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,7.0
handball,5.0,8.0,4.0,7.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,20.0,2.0,7.0,4.0,2.0,8.0,7.0,1.0,16.0,3.0,13.0,2.0,4.0,1.0,1.0,4.0,4.0,11.0,5.0
horseback riding,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,20.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0
ice hockey,7.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,20.0,3.0,2.0,7.0,1.0,1.0,3.0,10.0,7.0,2.0,3.0,6.0,5.0,3.0,2.0,3.0,4.0
judo,3.0,4.0,3.0,3.0,1.0,10.0,2.0,2.0,12.0,1.0,5.0,4.0,1.0,3.0,20.0,5.0,7.0,4.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,6.0
long jump,3.0,4.0,5.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,6.0,2.0,6.0,2.0,5.0,20.0,7.0,12.0,1.0,7.0,2.0,6.0,1.0,4.0,4.0,3.0,3.0,5.0,2.0,7.0
rugby,4.0,3.0,11.0,6.0,2.0,12.0,1.0,3.0,1.0,2.0,4.0,8.0,1.0,7.0,7.0,7.0,20.0,12.0,2.0,5.0,3.0,14.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,4.0
running,5.0,4.0,15.0,7.0,1.0,8.0,1.0,10.0,4.0,2.0,8.0,7.0,2.0,1.0,4.0,12.0,12.0,20.0,3.0,3.0,3.0,14.0,1.0,7.0,4.0,4.0,3.0,8.0,2.0,16.0
sailing,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,20.0,2.0,4.0,1.0,10.0,1.0,16.0,5.0,2.0,3.0,2.0,3.0
shot-put,5.0,3.0,4.0,14.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,16.0,1.0,3.0,6.0,7.0,5.0,3.0,2.0,20.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,7.0,4.0
skiing,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,10.0,1.0,2.0,3.0,3.0,4.0,1.0,20.0,2.0,5.0,2.0,12.0,1.0,1.0,1.0,1.0,4.0
soccer,4.0,3.0,8.0,10.0,1.0,5.0,1.0,8.0,1.0,4.0,5.0,13.0,3.0,7.0,6.0,6.0,14.0,14.0,1.0,3.0,2.0,20.0,4.0,4.0,1.0,2.0,3.0,6.0,8.0,10.0
sport fishing,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,10.0,1.0,5.0,4.0,20.0,4.0,8.0,5.0,2.0,2.0,1.0,2.0
squash,9.0,1.0,7.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,7.0,1.0,3.0,2.0,4.0,4.0,20.0,2.0,3.0,16.0,14.0,5.0,5.0
surfing,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,6.0,2.0,4.0,3.0,4.0,16.0,3.0,12.0,1.0,8.0,2.0,20.0,14.0,1.0,1.0,1.0,4.0
swimming,1.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,3.0,3.0,3.0,4.0,5.0,1.0,1.0,2.0,5.0,3.0,14.0,20.0,1.0,2.0,2.0,1.0
table tennis,10.0,1.0,4.0,3.0,6.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,16.0,1.0,1.0,20.0,18.0,3.0,4.0
tennis,17.0,1.0,14.0,3.0,3.0,4.0,3.0,4.0,1.0,6.0,4.0,4.0,1.0,2.0,3.0,5.0,6.0,8.0,3.0,3.0,1.0,6.0,2.0,14.0,1.0,2.0,18.0,20.0,4.0,2.0
volleyball,7.0,6.0,2.0,8.0,5.0,4.0,1.0,1.0,2.0,4.0,3.0,11.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,7.0,1.0,8.0,1.0,5.0,1.0,2.0,3.0,4.0,20.0,3.0
