exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
beha,25.0,25.0,24.0,20.0,22.0,22.0,22.0,4.0,20.0,20.0,15.0,19.0,12.0,2.0,24.0,28.0,13.0,20.0,12.0,28.0
bloes,13.0,7.0,5.0,7.0,2.0,5.0,3.0,15.0,7.0,10.0,14.0,9.0,4.0,4.0,4.0,19.0,11.0,8.0,30.0,13.0
broek,6.0,1.0,1.0,2.0,23.0,12.0,11.0,1.0,1.0,1.0,3.0,1.0,11.0,7.0,9.0,2.0,3.0,7.0,11.0,2.0
das,5.0,28.0,21.0,21.0,21.0,15.0,19.0,23.0,17.0,24.0,21.0,27.0,25.0,21.0,19.0,21.0,25.0,24.0,10.0,19.0
hemd,8.0,3.0,8.0,4.0,11.0,10.0,8.0,5.0,11.0,5.0,8.0,8.0,8.0,17.0,7.0,8.0,6.0,5.0,2.0,1.0
hoed,19.0,22.0,29.0,27.0,17.0,19.0,26.0,27.0,21.0,22.0,27.0,24.0,22.0,20.0,14.0,16.0,27.0,26.0,25.0,23.0
jas,20.0,10.0,11.0,24.0,15.0,6.0,10.0,16.0,3.0,13.0,5.0,6.0,3.0,26.0,2.0,17.0,12.0,17.0,16.0,20.0
jeans,4.0,12.0,4.0,10.0,3.0,3.0,1.0,12.0,10.0,3.0,4.0,11.0,14.0,5.0,1.0,10.0,4.0,10.0,1.0,4.0
jogging,12.0,6.0,12.0,15.0,14.0,13.0,14.0,20.0,15.0,12.0,19.0,16.0,15.0,10.0,11.0,12.0,17.0,16.0,7.0,27.0
kleed,3.0,11.0,9.0,9.0,9.0,2.0,6.0,11.0,4.0,6.0,11.0,5.0,13.0,28.0,15.0,4.0,9.0,3.0,29.0,10.0
kostuum,9.0,15.0,13.0,14.0,10.0,1.0,5.0,3.0,9.0,29.0,12.0,15.0,1.0,14.0,10.0,11.0,18.0,1.0,6.0,25.0
laarzen,23.0,23.0,20.0,17.0,19.0,28.0,18.0,24.0,28.0,16.0,22.0,28.0,20.0,10.0,20.0,22.0,28.0,27.0,9.0,18.0
muts,21.0,20.0,27.0,22.0,26.0,26.0,,29.0,24.0,21.0,24.0,23.0,30.0,20.0,16.0,20.0,26.0,25.0,20.0,15.0
pet,29.0,18.0,28.0,29.0,18.0,20.0,24.0,28.0,23.0,23.0,26.0,26.0,24.0,22.0,25.0,25.0,24.0,23.0,22.0,24.0
pyjama,14.0,19.0,15.0,16.0,13.0,16.0,12.0,29.0,18.0,18.0,20.0,17.0,10.0,13.0,17.0,13.0,15.0,11.0,8.0,29.0
riem,27.0,24.0,23.0,25.0,28.0,18.0,27.0,17.0,29.0,27.0,29.0,21.0,28.0,8.0,27.0,29.0,21.0,22.0,14.0,22.0
rok,1.0,2.0,6.0,12.0,5.0,8.0,2.0,9.0,8.0,7.0,6.0,4.0,6.0,1.0,13.0,5.0,7.0,4.0,5.0,17.0
salopet,18.0,21.0,10.0,26.0,12.0,,15.0,25.0,16.0,28.0,18.0,13.0,19.0,18.0,,18.0,16.0,12.0,15.0,16.0
schoenen,15.0,26.0,19.0,8.0,7.0,24.0,16.0,6.0,25.0,14.0,10.0,12.0,26.0,24.0,23.0,27.0,23.0,29.0,3.0,6.0
short,17.0,8.0,14.0,3.0,24.0,11.0,7.0,10.0,14.0,11.0,7.0,10.0,5.0,15.0,8.0,6.0,8.0,9.0,17.0,8.0
sjaal,26.0,17.0,25.0,19.0,20.0,27.0,23.0,22.0,26.0,17.0,23.0,22.0,29.0,23.0,26.0,24.0,22.0,21.0,13.0,11.0
slip,28.0,27.0,26.0,18.0,25.0,21.0,21.0,2.0,19.0,19.0,16.0,18.0,23.0,6.0,18.0,15.0,14.0,19.0,18.0,9.0
sokken,24.0,14.0,17.0,11.0,27.0,23.0,20.0,7.0,13.0,15.0,13.0,20.0,7.0,18.0,22.0,23.0,19.0,15.0,27.0,7.0
sweater,10.0,5.0,7.0,6.0,6.0,4.0,4.0,14.0,5.0,9.0,9.0,14.0,17.0,9.0,6.0,9.0,5.0,2.0,4.0,21.0
t-shirt,11.0,4.0,18.0,13.0,4.0,14.0,13.0,18.0,12.0,2.0,17.0,7.0,18.0,3.0,12.0,7.0,10.0,14.0,18.0,3.0
topje,7.0,16.0,3.0,5.0,8.0,9.0,17.0,13.0,2.0,8.0,2.0,2.0,9.0,11.0,5.0,3.0,1.0,6.0,21.0,5.0
trui,2.0,9.0,2.0,1.0,1.0,7.0,9.0,8.0,6.0,4.0,1.0,3.0,2.0,12.0,3.0,1.0,2.0,13.0,23.0,26.0
wanten,22.0,29.0,22.0,23.0,29.0,25.0,28.0,26.0,27.0,26.0,25.0,25.0,21.0,25.0,21.0,26.0,29.0,18.0,24.0,12.0
zwempak,16.0,13.0,16.0,28.0,16.0,17.0,25.0,21.0,22.0,25.0,28.0,29.0,16.0,27.0,28.0,14.0,20.0,28.0,26.0,17.0
